offset,text_en,byte_budget
STR_DIALOGS_GAMEINTRO_D1_SOLDIER_1,Now what?,9
STR_DIALOGS_GAMEINTRO_D1_BRIGARD_1,Silence!,8
STR_DIALOGS_GAMEINTRO_D1_VALKIRIE_1,"Oh, brave warriors who have fallen in the heat of battle!",57
STR_DIALOGS_GAMEINTRO_D2_BRIGARD_1,Who are you?_500_ Is this your doing?,37
STR_DIALOGS_GAMEINTRO_D2_VALKIRIE_1,"I am a <color=CHA>Valkyrie</color>._500_ We are the key of the fallen, we serve to perpetuate their existence beyond this world._500_
You must accompany me.",156
STR_DIALOGS_GAMEINTRO_D2_VALKIRIE_2,You must accompany me.,22
STR_DIALOGS_GAMEINTRO_D3_SOLDIER_1,Valkyries really do exist!,26
STR_DIALOGS_GAMEINTRO_D4_SOLDIER_1,I thought they were just a legend...,36
STR_DIALOGS_GAMEINTRO_D5_BRIGARD_1,"There must be a mistake, Valkyrie._500_
We are still alive and will rejoin the rest of our army when we get out of here.",120
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_1,"Get out of here?_500_ Listen to me carefully, mortals._300_ We are gifted with the knowledge of life and death._500_ I can see in the palm of my hand how the lifeline that ties you to this world ended when you became trapped.",225
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_2,"It is not only rocks and earth that separate you from the outside._500_ There is something else,_500_ more powerful than any attempt you can make to escape.",156
STR_DIALOGS_GAMEINTRO_D5_BRIGARD_2,"Maybe you're unaware, but we have a grand sorcerer among our ranks who could...",79
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_3,"I see you still do not understand your situation._500_
There is no one here with the power you suggest.",103
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_4,"My mere presence excludes all possibility of doubt._700_
You must accompany me._700_
Your destiny lies here no longer.",118
STR_DIALOGS_GAMEINTRO_D6_SOLDIER_1,Is she really a Valkyrie?,25
STR_DIALOGS_GAMEINTRO_D7_SOLDIER_1,It could be a witch!,20
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_1,What will happen if we don't go with you?,41
STR_DIALOGS_GAMEINTRO_D8_VALKIRIE_1,"In that case, I will leave,_300_ you will never see me again and those who decide to stay will fade into dust with the passage of time.",135
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_2,...,3
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_3,...,3
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_4,"Alright.
Listen to me, everyone! No one expected it to end like this, but we have run out of options.
I'm going in!",115
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_5,"Riva..._700_ I will not be able to keep my promise._700_
May the Gods help <color=LOC>Zarga</color>...",102
STR_DIALOGS_GAMEINTRO_D9_SOLDIER_1,"If our general has entered, I will follow him!",46
STR_DIALOGS_GAMEINTRO_D10_SOLDIER_1,Yes! He has never failed us!,28
STR_DIALOGS_GAMEINTRO_D11_SOLDIER_1,"General Brigard, wait! We stand with you!",41
