offset,text_target
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_1,POXA!!
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_2,"E aí, soldado?"
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_3,A gente se treina pra se manter em forma enquanto se recupera.
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_4,Nosso general é incrível! É tipo magia ele mexer aquela espada gigante!
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_5,AÊ!!
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_6,Aprender esgrima é MUITO mais legal que estudar magia.
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_7,Mas seria show demais conseguir usar uma espada...
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_8,Saca só... Pode me fazer um favorzão? Fico ouvindo histórias de aventureiros o tempo todo e sabe o que é? Todas batem em um lance bem específico.
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_9,Eles sempre falam de uma espada que sobrou perto da mina na Planície de Tempes.
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_10,Sempre quis ir lá e ver com meus próprios olhos quando aquele chato do Jivan me deixa sair de Hafin.
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_11,Acho que seria a espada perfeita pra mim!
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_12,"Se você me trazer, aí muda minha missão de procurar pra trazer de volta depois que eu aprender a usar."
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_13,Topa? Você aceita minha missão?
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_14,POXA!!
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_1,"Fala, soldado! Veio contar das suas últimas aventuras incríveis?"
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_2,"Pois é, eu tava justo pensando em te mandar numa aventura nova e insana demais."
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_3,Ver nosso general treinar foi maneiro demais! Quero dominar a espada igual ele!
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_4,Pode me fazer um favorzão? Fico ouvindo histórias de aventureiros o tempo todo e sabe o que é? Todas batem em um lance bem específico.
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_5,Eles sempre falam de uma espada que sobrou perto da mina na Planície de Tempes.
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_6,Sempre quis ir lá e ver com meus próprios olhos quando aquele chato do Jivan me deixa sair de Hafin.
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_7,Acho que seria a espada perfeita pra mim!
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_8,"Se você me trazer, aí muda minha missão de procurar pra trazer de volta depois que eu aprender a usar."
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_9,Topa? Você aceita minha missão? Pago bem!
