offset,text_target
STR_DIALOGS_SL_D1_FISHCHIEF_1,"Certo, estamos dentro agora."
STR_DIALOGS_SL_D1_FISHCHIEF_2,Parece ser uma espécie de laboratório...
STR_DIALOGS_SL_D1_FISHCHIEF_3,O que Baydral está fazendo?
STR_DIALOGS_SL_D1_FISHMINION_4,Chefe! Devemos nos apressar!
STR_DIALOGS_SL_D1_FISHCHIEF_5,"Sim... Humano, isto é para você."
STR_DIALOGS_SL_D2_FISHCHIEF_1,"Permite que você se mova debaixo d'água sem afogar. Não é ruim, não é?"
STR_DIALOGS_SL_D2_FISHCHIEF_2,Você é praticamente um Fise agora.
STR_DIALOGS_SL_D2_FISHMINION_3,"Chefe, tenho uma pergunta."
STR_DIALOGS_SL_D2_FISHCHIEF_4,"Sim, Baiyu?"
STR_DIALOGS_SL_D2_FISHMINION_5,Por que os fizemos nos carregar até aqui se não encontramos áreas aquáticas?
STR_DIALOGS_SL_D2_FISHCHIEF_6,Baiyu... Por favor...
STR_DIALOGS_SL_D2_FISHMINION_7,"Não, sério. Qual era a necessidade? A gente caminha também."
STR_DIALOGS_SL_D3_FISHCHIEF_1,"Baiyu, há um braj atrás de você!"
STR_DIALOGS_SL_D6_WL14_MELIAN_1,"Avisei que seria útil. Vamos, podemos prosseguir."
STR_DIALOGS_SL_D6_WL14_MELIAN_2,Tentarei encontrá-lo depois.
STR_DIALOGS_SL_D6_WL14_MELIAN_3,Boa sorte!
STR_DIALOGS_SL_D9_WL13_MELIAN_1,Entendido!
STR_DIALOGS_SL_D9_WL13_MELIAN_2,"Infelizmente, parece que ainda não consigo chegar aonde você está."
STR_DIALOGS_SL_D9_WL13_MELIAN_3,É claro que vamos precisar seguir caminhos separados por um pouco mais.
STR_DIALOGS_SL_D9_WL13_MELIAN_4,"Boa sorte, soldado!"
STR_DIALOGS_SL_D10_WL09_FISHMINION_1,Esse comporta não tem leitor de cartão... Conseguimos abri-lo?
STR_DIALOGS_SL_D10_WL09_FISHCHIEF_2,"Baiyu, deixe as pessoas importantes falar."
STR_DIALOGS_SL_D10_WL09_FISHMINION_3,(Por que não só conversa consigo mesmo?)
STR_DIALOGS_SL_D10_WL09_FISHCHIEF_4,Referia-me ao soldado aqui.
STR_DIALOGS_SL_D10_WL09_FISHCHIEF_5,"O que você acha? Parece que aquela cápsula contém algo com várias conexões. Talvez se quebrarmos, cause falha no sistema da porta."
STR_DIALOGS_SL_D10_WL09_FISHMINION_6,"Quebrar coisas... Sério mesmo, chefe?"
