offset,text_en,byte_budget
STR_DIALOGS_TOWN_AC_D1_BALOF_1,Is that possible?,17
STR_DIALOGS_TOWN_AC_D2_BALOF_1,It's..._500_ It's...,20
STR_DIALOGS_TOWN_AC_D2_BALOF_2,"I thought my glasses were fogging up._300_ Wait..._100_ Actually, yes they are.",79
STR_DIALOGS_TOWN_AC_D2_BALOF_3,"Honestly, you took so long to get here that I thought something had happened to you. I did think about going to find you but, as you can imagine, I'd prefer not to set foot in that cave for a while.",198
STR_DIALOGS_TOWN_AC_D2_BALOF_4,"I give you Hafin, the eternal city.",35
STR_DIALOGS_TOWN_AC_D2_BALOF_5,"Now that you're here, I can reward you properly. You didn't think I was only going to give you some of my spare bombs, did you?",127
STR_DIALOGS_TOWN_AC_D2_BALOF_6,"A couple of days ago, I found the perfect gift for you at home.",63
STR_DIALOGS_TOWN_AC_D2_BALOF_7,Although I lost it again shortly after...,41
STR_DIALOGS_TOWN_AC_D2_BALOF_8,I know! Why don't you wander around the city while I figure out where I left it?_100_ I'm running home. Don't go far until I find it!,133
STR_DIALOGS_TOWN_AC_D2_BALOF_9,I'll see you at my place in a little while.,43
STR_DIALOGS_TOWN_AC_D7_JIVAN_1,"Come on, Edil, it doesn't normally take you so long to get to this part.",72
STR_DIALOGS_TOWN_AC_D7_EDIL_2,(...),5
STR_DIALOGS_TOWN_AC_D7_EDIL_3,I'm doing what I can!,21
STR_DIALOGS_TOWN_AC_D7_JIVAN_4,"No, you're not concentrating. Do you think I don't realise that your head is in the clouds?",91
STR_DIALOGS_TOWN_AC_D7_EDIL_5,...,3
STR_DIALOGS_TOWN_AC_D7_EDIL_6,...,3
STR_DIALOGS_TOWN_AC_D8_EDIL_1,"Bah, it's useless.",18
STR_DIALOGS_TOWN_AC_D8_EDIL_2,"Maybe if, instead of just teaching me magic, you'd actually let me use it some time...",86
STR_DIALOGS_TOWN_AC_D8_JIVAN_3,"We've already talked about this. I teach you these powers so that you can defend yourself, not for you to use them unnecessarily.",129
STR_DIALOGS_TOWN_AC_D8_EDIL_4,But...,6
STR_DIALOGS_TOWN_AC_D8_JIVAN_5,"No ""buts"", Edil. You are a smart girl; you just need to focus on what you're doing.
Rest for a while and we'll try again later.",127
STR_DIALOGS_TOWN_AC_D8_EDIL_6,Okaaay.,7
STR_DIALOGS_TOWN_AC_D2_BRIGARD_1,"Soldier!_100_ Come, I need to discuss a matter in private.",58
STR_DIALOGS_TOWN_AC_D2_1_MAKEREL_1,Huff... Huff... There you are.,30
STR_DIALOGS_TOWN_AC_D2_1_GRUPER_2,"If you ate more, you'd be less tired.",37
STR_DIALOGS_TOWN_AC_D2_2_MAKEREL_1,"If you didn't eat all the supplies, maybe I would.",50
