offset,text_target
STR_DIALOGS_EDIL_AC_INTRO_1_1,"Desculpe você ter vindo parar aqui; não parece ser sua hora ainda. Quer dizer, se você tivesse 400 anos de idade como Jivan, eu entenderia, mas..."
STR_DIALOGS_EDIL_AC_INTRO_1_2,"Edil, estou bem aqui."
STR_DIALOGS_EDIL_AC_INTRO_1_3,"(E mesmo que você não estivesse, você conseguiria me ouvir mesmo dentro de casa)."
STR_DIALOGS_EDIL_AC_INTRO_1_4,...
STR_DIALOGS_EDIL_AC_INTRO_1_5,"Como eu estava dizendo, sei que no começo é meio triste mesmo, mas você acostuma com o tempo. Jivan virou minha família e, apesar dele ser um velho eremita resmungão, nunca me senti sozinho desde que ele me acolheu."
STR_DIALOGS_EDIL_AC_INTRO_1_6,"Dá pra dizer que devo a vida a ele, ou minha segunda vida, melhor dizendo..."
STR_DIALOGS_EDIL_AC_INTRO_1_7,"Não vou mentir pra você. Amo quando aventureiros como você chegam em Hafin. Você sabe quantas vezes imaginei a mim mesmo viajando por Terragaya com uma armadura dessas, enfrentando perigo?!"
STR_DIALOGS_EDIL_AC_INTRO_1_8,Jivan é muito protetor comigo. Ele não deixa eu sair da cidade. Vai ser difícil convencê-lo que consigo me defender sozinho.
STR_DIALOGS_EDIL_AC_INTRO_1_9,Mas não vou te entediar com meus problemas. Passa aqui de vez em quando. Fico ansioso pra ouvir tudo sobre suas aventuras!
STR_DIALOGS_EDIL_AC_INTRO_2_1,Passa aqui de vez em quando. Fico ansioso pra ouvir tudo sobre suas aventuras!
