offset,text_target
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_1,"Ah, e quem temos aqui? Sente-se."
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_2,"Ah, vejo que o mundo inteiro está ocupado hoje. Planejando uma festa sem me convidar?"
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_3,"É brincadeira, soldado. Relaxe."
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_4,"O quê? Itens mágicos? Sim, pedi a Brigard que colocasse esse conhecimento em prática, então estou montando equipamentos com propriedades mágicas diferentes."
STR_DIALOGS_TOWN_ASL_D1_SIRFIEL_5,"Resistência a altas temperaturas, é? Sim, tenho algo para isso por aqui em algum lugar..."
STR_DIALOGS_TOWN_ASL_D2_SIRFIEL_1,Um momento...
STR_DIALOGS_TOWN_ASL_D2_SIRFIEL_2,Mas deixei ali mesmo...
STR_DIALOGS_TOWN_ASL_D2_SIRFIEL_3,Não consigo ver em lugar algum.
STR_DIALOGS_TOWN_ASL_D2_SIRFIEL_4,...
STR_DIALOGS_TOWN_ASL_D3_SIRFIEL_1,"Soldado, tenho más notícias."
STR_DIALOGS_TOWN_ASL_D3_SIRFIEL_2,Parece que alguém pegou o <color=OBJ>Pingente Vulcânico</color> que o protegeria do calor extremo.
STR_DIALOGS_TOWN_ASL_D3_SIRFIEL_3,Sem minha permissão!
STR_DIALOGS_TOWN_ASL_D3_SIRFIEL_4,"Mas não se desespere ainda, posso fazer outro para você."
STR_DIALOGS_TOWN_ASL_D4_SIRFIEL_1,Vamos ver como ficou...
STR_DIALOGS_TOWN_ASL_D4_SIRFIEL_2,Aha... sim... eu vejo...
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_1,Tudo bem. Criei o último amuleto usando um elemento que um de seus amigos foi gentil o bastante em trazer para mim. Pode ser encontrado <color=LOC>nos picos nevados mais altos na beira ocidental das Planícies Tempes</color>.
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_2,"O elemento em questão é fruto de Gelo, gerado pela árvore de Gelo."
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_3,"Temo que, se quiser o amuleto, não há outra opção senão ir procurá-lo. Se decidir fazer o esforço, terei prazer em ajudá-lo."
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_4,"Ah sim, algo de importância particular. Coletar o fruto de Gelo é metade da tarefa."
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_5,"Quando tiver, <color=IMP>terá que voltar correndo o quanto antes</color>. Assim que for colhido da árvore, começará a derreter."
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_6,"Então, se perder no caminho, terá que voltar para pegar outro."
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_7,"Bem, acho que é tudo o que você precisa saber. Venha o que vier, estarei aqui."
STR_DIALOGS_TOWN_ASL_D5_SIRFIEL_8,Vou continuar lendo enquanto você pensa no assunto.
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_1,O quê?!
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_2,Ah!
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_3,Você conseguiu!
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_4,"Rápido, não há tempo a perder."
STR_DIALOGS_TOWN_ASL_D6_SIRFIEL_5,Um momento.
STR_DIALOGS_TOWN_ASL_D7_SIRFIEL_1,"Uf... Foi por pouco, aqui está ele, o <color=OBJ>Pingente Vulcânico</color>."
STR_DIALOGS_TOWN_ASL_D8_SIRFIEL_1,"Espero que tenha valido a pena. É uma coisinha tão útil que você nem precisa pendurar no pescoço para funcionar, apenas mantê-lo consigo será o suficiente."
STR_DIALOGS_TOWN_ASL_D8_SIRFIEL_2,"Acho que se deixasse o exército de Zarga e abrisse minha própria loja de encantamentos, ficaria muito rico. E você, o que acha?"
STR_DIALOGS_TOWN_ASL_D8_SIRFIEL_3,Mas não consigo deixar de pensar... Onde deixei o outro amuleto?
STR_DIALOGS_TOWN_ASL_D8_SIRFIEL_4,"Enfim... Essas coisas aparecem quando não estamos olhando. Se é tudo o que posso fazer por você, vou continuar com minha leitura fascinante."
