offset,text_target
scena/mp0010_01.dat:0x153e6,Estelle. Não vou mais chorar.
scena/mp0010_01.dat:0x1541a,O Luke não pode me ver assim.
scena/mp0010_01.dat:0x1544c,Oh! Estelle...
scena/mp0010_01.dat:0x1546a,"É de manhã, mas o Luke ainda dorme."
scena/mp0010_01.dat:0x154a0,Acho que ele nem ouve a Maggy...
scena/mp0010_01.dat:0x154d7,"Mas, sabe..."
scena/mp0010_01.dat:0x154f7,deve ser um sonho bem bom.
scena/mp0010_01.dat:0x15517,"Está sorrindo, então o sonho"
scena/mp0010_01.dat:0x15546,bem legal.
scena/mp0010_01.dat:0x15551,Luke sempre sabe deixar tudo
scena/mp0010_01.dat:0x15585,estar se divertindo.
scena/mp0010_01.dat:0x1559b,"Luke ainda não acordou, mas parece"
scena/mp0010_01.dat:0x155cf,Deve estar no melhor sonho de todos.
scena/mp0010_01.dat:0x15608,"Eu queria ir ficar com o Luke, mas..."
scena/mp0010_01.dat:0x1563d,Mãe me puxou pra casa.
scena/mp0010_01.dat:0x15664,Eu já fiz um lanche.
scena/mp0010_01.dat:0x1567f,Vou voltar e vê-lo depois disso.
scena/mp0010_01.dat:0x156b2,"quer ir lá fora brincar, né"
scena/mp0010_01.dat:0x156d0,"Se ele souber que estou lá, vai"
scena/mp0010_01.dat:0x15701,Será que isso basta pra acordá-lo?
scena/mp0010_01.dat:0x15735,Vou ver o Luke depois que terminar de comer.
scena/mp0010_01.dat:0x15771,quer ir lá fora brincar.
scena/mp0010_01.dat:0x1578c,"Se eu estiver lá, ele vai..."
scena/mp0010_01.dat:0x157ba,"Agora, onde foi parar aquele moleque travesso?"
scena/mp0010_01.dat:0x157fb,Sério...! Já tá quase na hora do almoço!
scena/mp0010_01.dat:0x15838,puxou esse lado travesso.
scena/mp0010_01.dat:0x15858,"Juro, nem sei quem o Luke"
scena/mp0010_01.dat:0x15888,saiu pela porta sem tomar café.
scena/mp0010_01.dat:0x158ae,"Lá foi aquele furacãozinho de novo,"
scena/mp0010_01.dat:0x158e3,mas com as manias de sempre.
scena/mp0010_01.dat:0x15905,"Começou treinamento de espada,"
scena/mp0010_01.dat:0x15936,O pai dele era uma criança tão calma
scena/mp0010_01.dat:0x1596c,puxou esse lado travesso.
scena/mp0010_01.dat:0x1598c,"Juro, nem sei quem o Luke"
scena/mp0010_01.dat:0x159bc,Abençoe-o por tentar treinar o menino
scena/mp0010_01.dat:0x159e3,Tenho certeza de que causa problemas a Ashton
scena/mp0010_01.dat:0x15a20,já no limite agora.
scena/mp0010_01.dat:0x15a39,Mas aposto que tem uns
scena/mp0010_01.dat:0x15a62,é o melhor traço desse danado.
scena/mp0010_01.dat:0x15a86,"Francamente, tanta energia assim"
scena/mp0010_01.dat:0x15ab6,"todo dia, igual a todo dia"
scena/mp0010_01.dat:0x15ad1,"Tenho certeza que ele acorda com o sol,"
scena/mp0010_01.dat:0x15b0b,"café da manhã, como sempre..."
scena/mp0010_01.dat:0x15b2e,Aí ele sai correndo sem uma única
scena/mp0010_01.dat:0x15b62,é o melhor traço desse danado.
scena/mp0010_01.dat:0x15b86,"Francamente, tanta energia assim"
scena/mp0010_01.dat:0x15bb6,"todo dia, igual a todo dia"
scena/mp0010_01.dat:0x15bd1,"Tenho certeza que ele acorda com o sol,"
scena/mp0010_01.dat:0x15c0b,"Luke... Hora de acordar, querido."
scena/mp0010_01.dat:0x15c3d,nunca sabe com essa neblina.
scena/mp0010_01.dat:0x15c64,"Vamo, é manhã. Embora, você vê"
scena/mp0010_01.dat:0x15c96,"Nunca deixe-o esperando, né?"
scena/mp0010_01.dat:0x15cb4,Pat veio brincar também. Você não
scena/mp0010_01.dat:0x15cee,"Ah, Luke... Acorde logo..."
scena/mp0010_01.dat:0x15d20,"Vá lá, vá se divertir"
scena/mp0010_01.dat:0x15d39,Pat veio brincar também.
scena/mp0010_01.dat:0x15d66,"Vamos, você não vive numa correria?"
scena/mp0010_01.dat:0x15da0,Meu filho Ashton passou aqui.
scena/mp0010_01.dat:0x15dd1,e voltou direto pra patrulha dele.
scena/mp0010_01.dat:0x15df4,"Veio ver o Luke, depois"
scena/mp0010_01.dat:0x15e22,Acho que ele tá se forçando demais.
