offset,text_en,byte_budget
STR_INGAME_DIALOGS_SOLDIER1_CAVE4_1_1,Hahaah! They've just saved us from being buried alive in one cave and we've ended up in another.,96
STR_INGAME_DIALOGS_SOLDIER2_CAVE4_1_1,I can't believe we've ended up 'ere. What'll happen to Zarga with half its army gone?,85
STR_INGAME_DIALOGS_SOLDIER2_CAVE4_1_2,Nasty lookin' place... We 'sposed to start our grand mission somewhere as creepy as 'ere?,89
STR_INGAME_DIALOGS_SOLDIER3_CAVE4_1_1,"If we ain't dead, why've we ended up 'ere? That Valkyrie was talkin' about some power or something like that, right?",116
STR_INGAME_DIALOGS_GRUPER_CAVE4_1_1,There are already several groups of soldiers exploring this cave.,65
STR_INGAME_DIALOGS_MAKEREL_CAVE4_1_1,We're getting ready to inspect this area.,41
STR_INGAME_DIALOGS_SOLDIER4_CAVE4_1_1,This statue thingy makes me all strong again. You feel it too?,62
STR_INGAME_DIALOGS_GRUPER_CAVE4_2_1,"If they don't come back in one piece, I don't know if I'll be able to sleep again.",82
STR_INGAME_DIALOGS_GRUPER_CAVE4_2_2,At least the supplies are safe.,31
STR_INGAME_DIALOGS_MAKEREL_CAVE4_2_1,I hope you can bring them back safe and sound.,46
STR_INGAME_DIALOGS_MAKEREL_CAVE4_2_2,I think spending so long in here is starting to get to me. I could've sworn I heard a pig in the distance.,106
STR_INGAME_DIALOGS_SINKA_CAVE4_1_1,Stop him! Don't let him hurt them!,34
STR_INGAME_DIALOGS_SINKA_CAVE4_2_1,Stop worrying about us. I can take care of this. Go.,52
STR_INGAME_DIALOGS_MAKEREL_CAVE4_3_1,Let's try to find out what just happened.,41
STR_INGAME_DIALOGS_GRUPER_CAVE4_3_1,What on earth happened to him?,30
STR_INGAME_DIALOGS_MAKEREL_CAVE4_4_1,We trust you to free the rest!,30
STR_INGAME_DIALOGS_GRUPER_CAVE4_4_1,That door ahead gives me the creeps.,36
STR_INGAME_DIALOGS_SINKA_CAVE4_3_1,"From your expression, I'd hazard a guess that you've already found all the gems, but I would wipe that smile off my face if I were you.",135
STR_INGAME_DIALOGS_SINKA_CAVE4_3_2,"Look closely. Doesn't that door make your hairs stand on end?_100_ You seem so carefree about this, it makes me nervous.",120
