offset,file,text_en,byte_budget
scena/talk_common.dat:0xb724,scena/talk_common.dat,"and Joshua, too!",17
scena/talk_common.dat:0xb735,scena/talk_common.dat,"Well, if it isn't Estelle...",29
scena/talk_common.dat:0xb761,scena/talk_common.dat,"Good to see you again, Fate.",29
scena/talk_common.dat:0xb791,scena/talk_common.dat,and you go and grow into a real man.,37
scena/talk_common.dat:0xb7b6,scena/talk_common.dat,"I take my eye off you for one minute,",38
scena/talk_common.dat:0xb7eb,scena/talk_common.dat,you're doing fine work as bracers.,35
scena/talk_common.dat:0xb80e,scena/talk_common.dat,I'm so relieved. The two of you look like,42
scena/talk_common.dat:0xb847,scena/talk_common.dat,"Well, we do what we can.",25
scena/talk_common.dat:0xb874,scena/talk_common.dat,It looks like Liberl is facing a serious crisis.,49
scena/talk_common.dat:0xb8b4,scena/talk_common.dat,now he's back in uniform.,26
scena/talk_common.dat:0xb8ce,scena/talk_common.dat,I'm sure Cassius has his hands full,36
scena/talk_common.dat:0xb901,scena/talk_common.dat,Bracers don't let anything get them down.,42
scena/talk_common.dat:0xb92b,scena/talk_common.dat,"Both of you, just keep on pushing.",35
scena/talk_common.dat:0xb95d,scena/talk_common.dat,We'll give it everything we've got!,36
scena/talk_common.dat:0xb981,scena/talk_common.dat,That goes without saying!,26
scena/talk_common.dat:0xb9ae,scena/talk_common.dat,don't hesitate to contact the guild.,37
scena/talk_common.dat:0xb9d3,scena/talk_common.dat,"If you ever find yourself in trouble,",38
scena/talk_common.dat:0xba0c,scena/talk_common.dat,"Well then, take care, you two.",31
scena/talk_common.dat:0xba2b,scena/talk_common.dat,I'll do that.,14
scena/talk_common.dat:0xba48,scena/talk_common.dat,"Hey there, it's you guys, huh.",31
scena/talk_common.dat:0xba76,scena/talk_common.dat,Thanks for making the trip out here.,37
scena/talk_common.dat:0xbaaa,scena/talk_common.dat,"Hi, Gundolf.",13
scena/talk_common.dat:0xbaca,scena/talk_common.dat,It's been a while.,19
scena/talk_common.dat:0xbaf0,scena/talk_common.dat,Out on patrol?,15
scena/talk_common.dat:0xbb12,scena/talk_common.dat,Patrolling the area?,21
scena/talk_common.dat:0xbb3a,scena/talk_common.dat,Are you out on patrol?,23
scena/talk_common.dat:0xbb64,scena/talk_common.dat,"Yeah, something like that.",27
scena/talk_common.dat:0xbb8e,scena/talk_common.dat,and keep an eye out for any trouble.,37
scena/talk_common.dat:0xbbb3,scena/talk_common.dat,Figured I'd cover as much ground as I can,42
scena/talk_common.dat:0xbbec,scena/talk_common.dat,Oh yeah. I should probably give you this.,42
scena/talk_common.dat:0xbc27,scena/talk_common.dat,Obtained ,10
scena/talk_common.dat:0xbc31,scena/talk_common.dat,Is that ancient quartz?,24
scena/talk_common.dat:0xbc64,scena/talk_common.dat,"get hold of that, Gundolf?",27
scena/talk_common.dat:0xbc7f,scena/talk_common.dat,How in the world did you,25
scena/talk_common.dat:0xbcab,scena/talk_common.dat,monster somewhere near Carnelia Tower.,39
scena/talk_common.dat:0xbcd2,scena/talk_common.dat,"Well, I came across this really weird",38
scena/talk_common.dat:0xbd07,scena/talk_common.dat,I found this when I defeated it.,33
scena/talk_common.dat:0xbd37,scena/talk_common.dat,I felt like I was looking at a living fossil.,46
scena/talk_common.dat:0xbd65,scena/talk_common.dat,The monster was a giant snail-shaped thing.,44
scena/talk_common.dat:0xbda0,scena/talk_common.dat,"Hey, that sounds familiar...",29
scena/talk_common.dat:0xbdd0,scena/talk_common.dat,took out on the roof of the tower.,35
