offset,text_target
STR_INGAME_DIALOGS_SOLDIER1_CAVE4_1_1,Hahaa! Fomos salvos de ser enterrados vivos numa caverna e acabamos em outra.
STR_INGAME_DIALOGS_SOLDIER2_CAVE4_1_1,Não consigo acreditar que acabamos aqui. O que vai ser de Zarga com metade do exército sumido?
STR_INGAME_DIALOGS_SOLDIER2_CAVE4_1_2,Lugar feio demais... A gente era pra começar a grande missão num lugar assustador assim?
STR_INGAME_DIALOGS_SOLDIER3_CAVE4_1_1,"Se não estamos mortos, por que acabamos aqui? Aquela Valquíria falava de um poder ou algo assim, certo?"
STR_INGAME_DIALOGS_GRUPER_CAVE4_1_1,Já há vários grupos de soldados explorando essa caverna.
STR_INGAME_DIALOGS_MAKEREL_CAVE4_1_1,Estamos nos preparando pra revistar essa área.
STR_INGAME_DIALOGS_SOLDIER4_CAVE4_1_1,Essa estátua me deixa bem forte de novo. Você sente também?
STR_INGAME_DIALOGS_GRUPER_CAVE4_2_1,"Se não voltarem em um só pedaço, não sei se consigo dormir de novo."
STR_INGAME_DIALOGS_GRUPER_CAVE4_2_2,Pelo menos os suprimentos estão seguros.
STR_INGAME_DIALOGS_MAKEREL_CAVE4_2_1,Espero que você consiga trazê-los de volta são e salvos.
STR_INGAME_DIALOGS_MAKEREL_CAVE4_2_2,Acho que ficar tanto tempo aqui dentro tá mexendo comigo. Juro que ouvi um porco ao longe.
STR_INGAME_DIALOGS_SINKA_CAVE4_1_1,Parem com ele! Não deixem ele machucar eles!
STR_INGAME_DIALOGS_SINKA_CAVE4_2_1,Para de se preocupar com a gente. Eu dou conta disso. Vai.
STR_INGAME_DIALOGS_MAKEREL_CAVE4_3_1,Vamos tentar descobrir o que acabou de acontecer.
STR_INGAME_DIALOGS_GRUPER_CAVE4_3_1,Que diabos aconteceu com ele?
STR_INGAME_DIALOGS_MAKEREL_CAVE4_4_1,A gente confia em você pra libertar o resto!
STR_INGAME_DIALOGS_GRUPER_CAVE4_4_1,Aquele portão ali na frente me dá arrepio.
STR_INGAME_DIALOGS_SINKA_CAVE4_3_1,"Pela sua expressão, chuto que você já encontrou todas as joias, mas eu apagaria esse sorriso se fosse você."
STR_INGAME_DIALOGS_SINKA_CAVE4_3_2,Olhe com cuidado. Aquele portão não te faz os cabelos eriçar?_100_ Você age tão despreocupado que isso me deixa nervoso.
