offset,text_target
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_1,Não consigo enxergar bem este caminho..._300_ Este outro leva para...
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_2,"Sim?_100_ Como posso ajudar...? Aha,_100_ Eu sabia que você voltaria, sim._100_ Vocês sempre voltam depois de me colocar de lado, embora eu juraria que tinham ido na outra direção."
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_3,"De qualquer forma, o importante é que você reconsiderou e voltou pelos meus <color=OBJ>mapas</color>._100_ Este velho cachorro ainda pode ser útil, sim."
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_4,"Como já lhe disse, adoraria distribui-los de graça, mas se quero continuar ajudando viajantes perdidos como você, não posso me permitir."
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_1,"Assinei especialmente para você, veja?_300_ Aqui está:_100_ ""Skribles""."
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_2,"Isto deve impedi-lo de se perder,_100_ mas você deve saber que minha memória não é o que era,_100_ então pode encontrar rotas próprias, sim?_300_ Adiante, homem de lata."
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_1_NEGATIVE,"Pensei que você fosse levar desta vez. _300_ Não se preocupe, sim?_300_ Vou esperar alguém que aprecie meu trabalho."
STR_DIALOGS_PLAINS2_11_D3_SKRIBLES_1,"Aha..._300_ De volta?_100_ Não me incomoda você interromper meu trabalho, não._300_ É só que você deveria ser mais decidido na vida, sim?_300_ Suponho que esteja aqui pelo mapa."
STR_DIALOGS_PLAINS2_11_D4_SKRIBLES_1,"Não é fácil fazer estes mapas._100_ Toda vez que viajo pelas planícies, encontro novos caminhos. Tenha isso em mente, sim?"
STR_DIALOGS_PLAINS2_11_D5_SKRIBLES_1,Aqui tem uma colina..._100_ e isto é..._300_ uma árvore?
STR_DIALOGS_PLAINS2_11_D6_SKRIBLES_1,"Se eu não marcar este rio no mapa, as pessoas vão cair?_300_ Eu definitivamente cairia..."
