offset,text_target
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_1,Hã?
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_2,Você tá parecendo bem confuso aí.
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_3,"Ó, vem cá! Você ouviu aquela Valquíria? A gente tem trabalho a fazer. Acorda!"
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_4,"Mas, se você tá nessa estrada, quer dizer que foi designado pro grupo de exploração da caverna. Os outros já tão bem à frente."
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_5,"Olha, isso não é brincadeira, então acorda e abre os olhos porque esse lugar tá cheio de bichos nojentos igual aquele aí."
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_6,"Enfim, vou indo. Já perdi tempo demais com você."
STR_DIALOGS_PLAINS1_TUTO2_D1_SINKA_7,Faz um favor pra você e não fica pra trás.
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_1,Sorte sua que aquela criatura fez barulho o bastante pra chamar minha atenção.
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_2,Não me agradeça. Melhor se eu não tiver que salvar sua pele de novo.
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_3,Que é isso? Cê não sabe como <color=IMP>desviar</color> e <color=IMP>bloquear</color> os ataques inimigos?
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_4,"Tsk... Olha, eu também não sei nada sobre esse lugar. O que eu sei é que se você não aprender a se mover, não vai durar mais que uma moeda perdida nos becos de Zarga."
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_5,"Quanto mais cedo você perceber isso, melhor."
STR_DIALOGS_PLAINS1_TUTO2_D2_SINKA_6,"Anda, vai indo. Vou ficar de olho por aqui."
STR_DIALOGS_PLAINS1_TUTO2_D3_SINKA_1,"Ótimo começo, né..."
