offset,file,entry_idx,ptr_idx,text_en,byte_budget,speaker_code
AREAD140.DAT:11:5,AREAD140.DAT,11,5,Do you want to return to[01]the outside world?[12],62,
AREAD140.DAT:11:6,AREAD140.DAT,11,6,It looks like these pillars[01]are what's keeping whoever[01]that is here.,96,
AREAD140.DAT:11:7,AREAD140.DAT,11,7,"[14][01][01]""As you can see, I'm[01]trapped here.[02]I'd really appreciate[01]it if you could get[01]me out of here.""",135,[14][01]
AREAD140.DAT:11:8,AREAD140.DAT,11,8,"[14][02][02]""Um...Are you[01][04][05]...?""",34,[14][02]
AREAD140.DAT:11:9,AREAD140.DAT,11,9,"[14][03][03]""So you're [04][05],[01]huh?""",33,[14][03]
AREAD140.DAT:11:10,AREAD140.DAT,11,10,"[14][01][01]""Who else do you[01]think it could be!?[01]Of course I am![02]Now get rid of those[01]pillars and get me[01]out of here!""",153,[14][01]
AREAD140.DAT:11:11,AREAD140.DAT,11,11,"[14][01][01]""If you want to get[01]me out of here,[02]you're going to have[01]to destroy those[01]pillars.""",121,[14][01]
AREAD140.DAT:11:12,AREAD140.DAT,11,12,"[14][01][01]""Finally![02]I thought I'd never[01]get out of there!""",72,[14][01]
AREAD140.DAT:11:13,AREAD140.DAT,11,13,"[14][01][01]""First, let me thank[01]you for helping me.[02]There's still one[01]little problem,[01]though...""",124,[14][01]
AREAD140.DAT:11:14,AREAD140.DAT,11,14,"[14][01][01]""You see, well, I[01]don't have a body.""",57,[14][01]
AREAD140.DAT:11:15,AREAD140.DAT,11,15,"[14][01][01]""That means I can't[01]leave here.""",50,[14][01]
AREAD140.DAT:11:16,AREAD140.DAT,11,16,"[14][01][01]""That's why I want[01]you to find me a[02]medium who can loan[01]me a body, OK?""",104,[14][01]
AREAD140.DAT:11:17,AREAD140.DAT,11,17,"[14][01][01]""Don't worry--this[01]is where they summon[01]gods and whatnot![02]There's bound to be[01]lots of mediums[01]around!""",148,[14][01]
AREAD140.DAT:11:18,AREAD140.DAT,11,18,"[14][01][01]""Remember, once you[01]get back out,[02]you need to find me[01]a medium.[02]Oh, and...Try to find[01]a good-looking one[01]if you can, OK?""",174,[14][01]
