term,category,target_translation,handling_rule,spoiler_level,aliases,notes,updated_date
Pwr,Mecânica,For.,abreviacao_traduzida,none,Power,Stat de força/ataque físico. Abreviação em PT-BR: For. (Força). (cap.all),2026-06-21
Def,Mecânica,Def.,abreviacao_traduzida,none,Defense,Stat de defesa física. Abreviação PT-BR: Def. (Defesa) — coincide. (cap.all),2026-06-21
Agl,Mecânica,Agi.,abreviacao_traduzida,none,Agility,Stat de agilidade. Abreviação PT-BR: Agi. (Agilidade). (cap.all),2026-06-21
Wis,Mecânica,Sab.,abreviacao_traduzida,none,Wisdom,Stat de sabedoria/magia. Abreviação PT-BR: Sab. (Sabedoria). (cap.all),2026-06-21
Wgt,Mecânica,Pes.,abreviacao_traduzida,none,Weight,Peso do item/equipamento. Abreviação PT-BR: Pes. (Peso). (cap.all),2026-06-21
HP,Mecânica,HP,manter_original,none,Hit Points,Pontos de vida. Manter 'HP' — universal em JRPGs PT-BR. (cap.all),2026-06-21
AP,Mecânica,AP,manter_original,none,Action Points,Pontos de ação/magia. Manter 'AP' — universal em JRPGs PT-BR. (cap.all),2026-06-21
Hit,Mecânica,Acerto,traduzir,none,To-Hit,Taxa de acerto. 'Acerto' ou 'Precisão'; manter forma curta nos menus. (cap.all),2026-06-21
Dodge,Mecânica,Esquiva,traduzir,none,,Taxa de esquiva. 'Esquiva' em PT-BR. (cap.all),2026-06-21
Hex,Mecânica,maldição,traduzir,none,,Magia de maldicao imperial; mecanismo central da historia. Corpus: exposure to hex energy. 159x. Traducao: maldicao em narrativa e diálogos. (cap.all),2026-06-21
Dragon,Conceito,Dragão,traduzir,none,,Forma dragão de Ryu. 'Dragão' em PT-BR; manter 'Yorae Dragon' como nome próprio composto. (cap.all),2026-06-21
Endless,Conceito,Eternos,traduzir,none,,Os deuses do mundo; definicao corpus: The Endless are fading away. 72x. Traducao confirmada: Eternos. (cap.all),2026-06-21
Empire,Facção,Império,traduzir,none,Fou Empire,O Império Fou; traduzir 'Empire' como 'Império' no texto; manter 'Fou Empire' como nome completo da facção. (cap.all),2026-06-21
Faeries,Criatura,Fadas,traduzir,none,Faerie,"Criaturas feéricas da vila. Traduzir 'Faeries'→'Fadas', 'Faerie'→'Fada'. (cap.all)",2026-06-21
Manillo,Criatura,Manillo,manter_original,none,,Raça peixe-mercador; nome próprio de raça — manter. (cap.all),2026-06-21
Woren,Cultural,Woren,manter_original,none,,Nome da raça/povo-tigre — manter. (cap.all),2026-06-21
Kecak,Cultural,Kecak,manter_original,none,,Jogo de dados do mundo de BoF4 — manter nome original. (cap.all),2026-06-21
