offset,text_target
STR_DIALOGS_TOWN_AAF_D1_JIVAN_1,Que sorte o mensageiro ter te encontrado a tempo. Não creio conseguir usar este feitiço novamente tão cedo.
STR_DIALOGS_TOWN_AAF_D1_JIVAN_2,Mas não podemos esperar mais. Não posso perder a Edil.
STR_DIALOGS_TOWN_AAF_D2_JIVAN_1,Consumiu mais energia do que imaginei. Tamanho poder...
STR_DIALOGS_TOWN_AAF_D3_EDIL_1,Velhinho...?
STR_DIALOGS_TOWN_AAF_D4_JIVAN_1,Edil?
STR_DIALOGS_TOWN_AAF_D4_JIVAN_2,Edil!
STR_DIALOGS_TOWN_AAF_D5_JIVAN_1,"Você está segura agora, Edil. Não há nada a temer."
STR_DIALOGS_TOWN_AAF_D5_EDIL_2,"Uma daquelas coisas me pegou, não foi?"
STR_DIALOGS_TOWN_AAF_D5_EDIL_3,"Sentia que tentava me dominar, mas resisti. Às vezes conseguia até ouvir suas vozes."
STR_DIALOGS_TOWN_AAF_D5_JIVAN_4,"Não consigo nem imaginar o que você enfrentou, minha querida."
STR_DIALOGS_TOWN_AAF_D5_EDIL_5,Tive sorte de você estar lá.
STR_DIALOGS_TOWN_AAF_D6_BRIGARD_1,"RECUEM, SOLDADO!"
STR_DIALOGS_TOWN_AAF_D6_BRIGARD_2,Hum... O quê? Onde estamos?
STR_DIALOGS_TOWN_AAF_D7_JIVAN_1,"Está seguro, General. Estamos em Hafin, no meu observatório."
STR_DIALOGS_TOWN_AAF_D7_BRIGARD_2,...
STR_DIALOGS_TOWN_AAF_D7_BRIGARD_3,Entendo... Peço desculpas por qualquer coisa que tenha feito.
STR_DIALOGS_TOWN_AAF_D8_JIVAN_1,Liandris... Faz tempo.
STR_DIALOGS_TOWN_AAF_D8_JIVAN_2,"Se está se mostrando em Hafin, deve ser por algo importante. O que está acontecendo?"
STR_DIALOGS_TOWN_AAF_D8_LIANDRIS_3,Você que me diga. Estou aqui por respostas.
STR_DIALOGS_TOWN_AAF_D8_LIANDRIS_4,Preciso falar com o general humano.
STR_DIALOGS_TOWN_AAF_D9_BRIGARD_1,Eu?
STR_DIALOGS_TOWN_AAF_D10_LIANDRIS_1,Você foi preso por uma daquelas coisas. Me diga o que aconteceu.
STR_DIALOGS_TOWN_AAF_D10_BRIGARD_2,"Vi... Conseguia ver milhares de olhos nas sombras, olhando para mim e depois... só escuridão. Não consigo explicar... Você sente como se uma força avassaladora tomasse conta de dentro e, quando termina, você deixa de resistir porque agora faz parte de você..."
STR_DIALOGS_TOWN_AAF_D10_LIANDRIS_3,É só? Sangrigor viu bem mais que isso.
STR_DIALOGS_TOWN_AAF_D11_JIVAN_1,Uma Valquíria foi infectada?
STR_DIALOGS_TOWN_AAF_D11_JIVAN_2,"Traga-a aqui. Embora não esteja totalmente recuperado, estou disposto a tentar..."
STR_DIALOGS_TOWN_AAF_D11_LIANDRIS_3,"Poupe suas forças, sábio. Ela removeu o parasita sozinha, bem diante dos meus olhos, e nada aconteceu."
STR_DIALOGS_TOWN_AAF_D11_JIVAN_4,"Isso é possível? Ela deveria voltar ao normal, como os outros."
