offset,text_target
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_1,"Ó, queria te perguntar uma coisa!"
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_2,Acha que esses óculos me deixam com cara de míope?
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_3,Heheh... Na verdade é o contrário! Esses óculos me deixam detectar toda sucata aleatória que acho por aí quando tô fora procurando.
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_4,Você já tá entendendo aonde vou chegar...
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_5,"Aquele trambolho aero lá nas nuvens não passou despercebido, não."
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_6,"Tem histórias sobre a Croma que falam dessa estrutura assim, mas essa é a primeira vez que vejo com meus próprios olhos que existem de verdade."
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_7,"Pra alguém como eu, isso muda tudo! Tecnologia Croma é conhecida por Terragaya inteira, mas aqui é impossível usar — minerais vimana não ocorrem naturalmente neste mundo."
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_8,"Ou seja, essa máquina vem de outro lugar."
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_9,"Tô certo, né? Relaxa, não conto pra ninguém, não."
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_10,Mas... gostaria de pedir um megafavor de um megaamigo que admira você muito.
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_11,Você podia trazer uns pezinhos daquele trambolho voador pra mim? <color=OBJ>Vinte Vimana Cogs</color> dá conta. Você não faz ideia de como quero analisar essa sorte de tecnologia.
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_12,Que emoção conseguir conversar com alguém que foi lá pra cima! E ainda por cima é você!
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_13,"Se fizer esse favorzinho pra mim, dou um item especial só pra clientes VIP tipo você."
STR_DIALOGS_QS_BALOF_VIMANA_GEARS_PART1_14,Vou tá te esperando!
