offset,text_target
STR_DIALOGS_GAMEINTRO_D1_SOLDIER_1,E agora?
STR_DIALOGS_GAMEINTRO_D1_BRIGARD_1,Silêncio!
STR_DIALOGS_GAMEINTRO_D1_VALKIRIE_1,Ó bravo guerreiro que caiu no calor da batalha!
STR_DIALOGS_GAMEINTRO_D2_BRIGARD_1,Quem é você?_500_ Isto é obra sua?
STR_DIALOGS_GAMEINTRO_D2_VALKIRIE_1,"Eu sou uma <color=CHA>Valquíria</color>._500_ Somos a chave dos caídos, servimos para perpetuar sua existência além deste mundo._500_ Você deve me acompanhar."
STR_DIALOGS_GAMEINTRO_D2_VALKIRIE_2,Você deve me acompanhar.
STR_DIALOGS_GAMEINTRO_D3_SOLDIER_1,Valquírias realmente existem!
STR_DIALOGS_GAMEINTRO_D4_SOLDIER_1,Pensei que fossem apenas uma lenda...
STR_DIALOGS_GAMEINTRO_D5_BRIGARD_1,"Deve haver um erro, Valquíria._500_ Ainda estamos vivos e nos reuniremos ao resto do exército quando sairmos daqui."
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_1,"Sair daqui?_500_ Ouçam-me com atenção, mortais._300_ Somos dotados do conhecimento da vida e da morte._500_ Posso ver na palma da minha mão como a linha que vos prende a este mundo se extinguiu quando ficastes aprisionados."
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_2,"Não é apenas rocha e terra que vos separam do exterior._500_ Há algo mais,_500_ mais poderoso que qualquer tentativa que possais fazer para escapar."
STR_DIALOGS_GAMEINTRO_D5_BRIGARD_2,"Talvez você ignore, mas temos um grande feiticeiro entre nossos filhos que poderia..."
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_3,Vejo que ainda não compreendeis vossa situação._500_ Não há ninguém aqui com o poder que sugeristes.
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_4,Mera presença elimina toda possibilidade de dúvida._700_ Você deve me acompanhar._700_ Vosso destino não reside mais aqui.
STR_DIALOGS_GAMEINTRO_D6_SOLDIER_1,Ela é realmente uma Valquíria?
STR_DIALOGS_GAMEINTRO_D7_SOLDIER_1,Pode ser uma bruxa!
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_1,O que acontecerá se não formos com você?
STR_DIALOGS_GAMEINTRO_D8_VALKIRIE_1,"Nesse caso, partirei,_300_ nunca mais me vereis e aqueles que decidirem ficar desaparecerão em pó com a passagem do tempo."
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_2,...
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_3,...
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_4,"Certo. Ouvçam-me, todos! Ninguém esperava que terminasse assim, mas ficamos sem opções. Vou entrando!"
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_5,Riva..._700_ Não poderei manter minha promessa._700_ Que os Deuses protejam <color=LOC>Zarga</color>...
STR_DIALOGS_GAMEINTRO_D9_SOLDIER_1,"Se nosso general entrou, eu o seguirei!"
STR_DIALOGS_GAMEINTRO_D10_SOLDIER_1,Sim! Ele nunca nos falhou!
STR_DIALOGS_GAMEINTRO_D11_SOLDIER_1,"General Brigard, espera! Estamos contigo!"
