offset,text_target
STR_DIALOGS_PLAINS3_AP2_D1_FINSE_1,"Neste lugar, somos os convidados. Simplesmente sou responsável por preservar nossos anfitriões."
STR_DIALOGS_PLAINS3_AP2_D1_FINSE_2,Posso ajudá-lo em algo?
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_1,...
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_2,O brasão de Hafin City...
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_3,Tão cedo...
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_4,Jivan me disse que isso poderia acontecer um dia.
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_5,Prossiga. Compreendo que as circunstâncias o exigem.
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_6,A flor que procura está aqui. Mantive-a viva para você.
STR_DIALOGS_PLAINS3_AP2_D2_FINSE_7,"Por favor, remova-a com extrema delicadeza e, acima de tudo, reconheça seu sacrifício com respeito."
STR_DIALOGS_PLAINS3_AP2_D3_FINSE_1,Ela é sua.
STR_DIALOGS_PLAINS3_AP2_D3_FINSE_2,"Leve-a a Jivan e diga-lhe que, caso precise de algo, estarei aqui."
STR_DIALOGS_PLAINS3_AP2_D3_FINSE_3,"Não se preocupe, ficará bem."
