offset,text_target
STR_DIALOGS_FT_D1_FT7_RATATOSK_1,Praga maldita.
STR_DIALOGS_FT_D1_FT7_RATATOSK_2,Pensou que eu ia ficar de braços cruzados enquanto você passava por trás de mim?
STR_DIALOGS_FT_D1_FT7_MELIAN_3,Ugh...
STR_DIALOGS_FT_D1_FT7_RATATOSK_4,Pareço uma Valquíria pra você? Uma tola tremulante presa à inação?
STR_DIALOGS_FT_D1_FT7_MELIAN_5,Não... mais como um roedor gigante...
STR_DIALOGS_FT_D1_FT7_RATATOSK_6,Como ousa?!
STR_DIALOGS_FT_D2_FT7_RATATOSK_1,Mais um chupa-sangue...
STR_DIALOGS_FT_D2_FT7_RATATOSK_2,"Certo então, faço isso rápido."
STR_DIALOGS_FT_D3_FT7_SIRFIEL_1,"Afastem-se dela, criatura!"
STR_DIALOGS_FT_D3_FT7_RATATOSK_2,Sabe... você está ficando muito irritante.
STR_DIALOGS_FT_D3_FT7_SIRFIEL_3,"Fale o que quiser, mas se tocá-los, será a última coisa que fará."
STR_DIALOGS_FT_D3_FT7_RATATOSK_4,Palavras grandes para alguém tão insignificante.
STR_DIALOGS_FT_D3_FT7_SIRFIEL_5,"Não subestime o poder da insignificância, monstro."
STR_DIALOGS_FT_D3_FT7_RATATOSK_6,O quê...?
STR_DIALOGS_FT_D3_FT7_SIRFIEL_7,Você— você ouviu sim!
STR_DIALOGS_FT_D3_FT7_RATATOSK_8,"Ah, como odeio vocês mortais, sempre lutando acima do seu próprio nível."
STR_DIALOGS_FT_D3_FT7_RATATOSK_9,Não tenho tempo pro seu disparate.
STR_DIALOGS_FT_D4_FT7_SIRFIEL_1,"Bom, parece que ele foi embora."
STR_DIALOGS_FT_D4_FT7_SIRFIEL_2,Duvido que os dois juntos conseguíssemos enfrentar aquela coisa.
STR_DIALOGS_FT_D5_FT7_SIRFIEL_1,Melian!
STR_DIALOGS_FT_D6_FT7_SIRFIEL_1,Melian!
STR_DIALOGS_FT_D6_FT7_SIRFIEL_2,"Melian, você me ouve?!"
STR_DIALOGS_FT_D7_FT7_SIRFIEL_1,"Eu sabia que você tinha pegado o outro pendente vulcânico. Melian, como pôde? Por que teve que se envolver nisso sozinha? Você não precisa provar nada!"
STR_DIALOGS_FT_D7_FT7_MELIAN_2,"Heh... Olha pra mim... Sempre contando com você, como sempre. Você deve estar cansado disso. Você deveria me deixar aqui, serei menos fardo pra você e pros outros."
STR_DIALOGS_FT_D7_FT7_SIRFIEL_3,Nunca diga isso de novo! Você sabe que é tudo o que me sobrou depois que mãe e pai morreram. Eu não quero... Eu não quero que a mesma coisa aconteça com você. Você está me ouvindo?!
STR_DIALOGS_FT_D7_FT7_MELIAN_4,Eu também sinto falta deles... É por isso que eles nunca me pedem pra participar? Pra que você cuide de mim?
STR_DIALOGS_FT_D7_FT7_SIRFIEL_5,"Não, idiota... É porque só me sinto protegida quando você está perto, porque sei que ninguém se preocuparia comigo do jeito que você faz."
STR_DIALOGS_FT_D7_FT7_MELIAN_6,...
STR_DIALOGS_FT_D7_FT7_MELIAN_7,"Eu não sabia... Acho que é difícil falar sobre isso. Parece que só nos temos um ao outro, né?"
STR_DIALOGS_FT_D7_FT7_SIRFIEL_8,"Nunca mais faça isso comigo... De agora em diante, cuidaremos um do outro, como mãe e pai gostariam. Combinado?"
STR_DIALOGS_FT_D7_FT7_MELIAN_9,Você e eu contra o mundo. Não soa tão ruim assim... Combinado.
STR_DIALOGS_FT_D7_FT7_SIRFIEL_10,"Devemos voltar. Se não cuidarmos desses ferimentos logo, podem ficar sérios."
STR_DIALOGS_FT_D7_FT7_SIRFIEL_11,"Você também vem, soldado."
STR_DIALOGS_FT_D7_FT7_MELIAN_12,"Sirfiel, espera."
STR_DIALOGS_FT_D7_FT7_MELIAN_13,Amiga... Você precisa detê-lo.
STR_DIALOGS_FT_D8_FT7_SIRFIEL_1,Você pirou?
STR_DIALOGS_FT_D8_FT7_SIRFIEL_2,Você quer ir atrás daquele monstro?
STR_DIALOGS_FT_D8_FT7_MELIAN_3,"Sirfiel, é importante. Algo terrível vai acontecer se ninguém detê-lo."
STR_DIALOGS_FT_D9_FT7_SIRFIEL_1,"Não sei em que você se meteu, mas não posso mandar reforços aqui, também não tenho material suficiente pra mais amuletos. É melhor você ser bem cuidadoso se planeja enfrentar aquele monstro e voltar inteira."
STR_DIALOGS_FT_D9_FT7_MELIAN_2,"Chegue mais perto, amiga, preciso contar algo pra você..."
STR_DIALOGS_FT_D9_FT7_MELIAN_3,Não posso mais usar isso. Gostaria que você ficasse com isso e continuasse o que começamos. Você sabe o que está em jogo...
STR_DIALOGS_FT_D10_FT7_SIRFIEL_1,Você não soltou aquele orbe desde que encontrou. Isso será o suficiente pra salvá-lo?
STR_DIALOGS_FT_D10_FT7_MELIAN_2,"Não se preocupe, irmã. Ele sabe cuidar de si mesmo."
STR_DIALOGS_FT_D10_FT7_SIRFIEL_3,Certo...
STR_DIALOGS_FT_D10_FT7_SIRFIEL_4,Estamos indo. Volte logo ou vou ter que preocupar o Brigard.
