offset,text_en,byte_budget
STR_DIALOGS_PLAINS3_AHT_D1_GALATH_1,"You must be brave to stand before me, witch, after everything you've done to me!",80
STR_DIALOGS_PLAINS3_AHT_D1_SANGRIGOR_2,Would you rather have turned to dust and bones?,47
STR_DIALOGS_PLAINS3_AHT_D1_GALATH_3,I would've survived an arrow if you hadn't dragged me here!,59
STR_DIALOGS_PLAINS3_AHT_D1_SANGRIGOR_4,"If there's one thing that's certain, mortal, it's that our gift makes no mistakes. Calm your rage.",98
STR_DIALOGS_PLAINS3_AHT_D1_GALATH_5,Mistakes like bringing still-living soldiers from Zarga to the afterlife?,73
STR_DIALOGS_PLAINS3_AHT_D1_SANGRIGOR_6,Zarga?,6
STR_DIALOGS_PLAINS3_AHT_D1_SANGRIGOR_7,Oh... THOSE soldiers...,23
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_1,Tsk...,6
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_2,"I have absolutely no idea why they were brought in that state, but it is exactly them I have come to speak to you about.",120
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_3,"I don't plan on hanging around here much longer, so be quick.",61
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_4,"I have seen the hate you have for them, though you don't have to be particularly observant to notice it, I must say.",116
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_5,I would like to propose an alliance both of us would benefit from.,66
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_6,Go on...,8
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_7,You want to finish them and I want to finish... certain plans.,62
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_8,"Why don't you do it yourself? Unlike the others, you seem to take things into your own hands.",93
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_9,How observant you are!,22
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_10,"Unfortunately, my enemies have developed a talent for disposing of my minions. I no longer have any use for these parasites.",124
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_11,And I suppose that's where I come in?,37
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_12,"With an ally like you, their magic won't save them.",51
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_13,"But first, we must do something about your rather limited power.",64
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_14,"Grrr... Don't mock me, Valkyrie. Tell me your plan?",51
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_15,Let's just say... You'll be skipping a few lessons ahead.,57
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_16,Pack your bags. We're going to Ragnarok.,40
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_17,...,3
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_18,"Alright, I have nothing left to lose.",37
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_19,"That's not the spirit I expected, but it'll do.",47
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_20,"We have a pact now, mortal.",27
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_21,Whatever you say...,19
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_22,You won't regret it.,20
