offset,text_target
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_1,Hã?
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_2,"Soldado, não me diga que você está atrasado pro treinamento."
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_3,Acabei de dar o discurso pros outros e pensei que podia voltar a ler esses tomos enormes.
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_4,"Tudo bem, tudo bem. Vou te dar um resumo, mas você precisa se concentrar. Acho que minha leitura vai ter que esperar."
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_5,"Como você deve ter notado, este mundo é rico em todos os tipos de materiais, seres e outros elementos mágicos."
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_6,O General Brigard me permitiu usar todo esse conhecimento pra que a gente possa apoiar melhor nossos batalhões.
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_7,"Então tenho permissão pra tratar vocês como minhas cobaias. Heh, heh, heh."
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_8,Aparentemente este mundo abriga pequenas criaturas conhecidas como <color=OBJ>Bygul</color>.
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_9,"Em geral, elas não têm nada de especial, mas esses escritos mencionam uma variante bygul com um brilho verde radiante."
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_10,"Essas são as que nos interessam. Em teoria, suas habilidades de cura poderiam ser muito úteis."
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_11,Então fique atento em missões e traga-os aqui se encontrar algum.
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_12,"Acho que, pro nosso primeiro experimento, <color=OBJ>quinze Bygul Radiantes</color> vão ser o bastante."
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_13,Ficou claro? Imaginei que sim.
STR_DIALOGS_QS_SIRFIEL_FAIRY_TIER1_PART1_14,"Volte quando tiver encontrado o que precisamos. Agora, eu gostaria de um pouco de silêncio. Afinal, isto é uma biblioteca."
