offset,text_target
STR_DIALOGS_MELIAN_AFT_QS_INTRO_1_1,Você voltou!
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_1,Graças aos Deuses você estar bem... Nunca me perdoaria se algo tivesse acontecido com você.
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_2,Suponho que deva parar de ficar surpresa com seus feitos.
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_3,"Eu? Não é nada... Não se preocupe, Jivan diz que vou me recuperar."
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_4,"Então, você salvou esse mundo sem ninguém sequer perceber o que estava prestes a acontecer?"
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_5,"É simplesmente incrível que você tenha conseguido matar aquela criatura, mas algo me diz que, se alguém pudesse, esse alguém seria você."
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_6,"Como você está lidando com o orbe de Vento? Parece que você tem mais domínio dele do que eu. Isso não é exatamente inesperado, afinal você vem usando esses orbes há bastante tempo."
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_7,"Não! Você não precisa devolver para mim. Acho que, de agora em diante, vou procurar valor em mim mesma, mas seria legal ver seus truques em ação."
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_8,"Tenho uma ideia... Você se atreveria voltar àquele templo? Tenho certeza de que você viu aquele anfiteatro antigo. Acho que se chamarmos bastante a atenção, alguns daqueles monstros saem e a gente pode treinar com eles."
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_9,Acho que consigo sair sem minha irmã ficar sabendo. Enfrentá-la seria definitivamente um desafio...
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_10,O que você acha?
STR_DIALOGS_MELIAN_AFT_QS_INTRO_3_1,"Quando quiser testar suas habilidades com esses orbes, me avisa. Não quero perder. Aquele anfiteatro no Templo do Fogo parece ser o lugar perfeito."
