offset,text_en,byte_budget
STR_DIALOGS_AF_D1_CROMACHIEF_1,We're finally back on board... Those pirates have a high price to pay.,70
STR_DIALOGS_AF_D1_EUDER_2,A flying iron castle! How is that possible?,43
STR_DIALOGS_AF_D1_CROMACHIEF_3,"We don't have time to explain the history of our evolution to you, so please try to concentrate on the mission.",111
STR_DIALOGS_AF_D1_EUDER_4,Of course...,12
STR_DIALOGS_AF_D1_CROMACHIEF_5,"Now, listen closely. The pirates have disabled almost all of the module's systems but, thanks to that orb, you'll be able to clear a path for yourself by recharging different circuits. However, even with the orb, there will still be disabled doors that you'll only be able to open with positively charged vimana minerals. You'll need to find the four generators.",362
STR_DIALOGS_AF_D1_CROMACHIEF_6,"Try starting with the entrance door. After that, I'll provide you with the minerals.",84
STR_DIALOGS_AF_D1_EUDER_7,"Gentlemen, have you finished? While you were talking, I had an idea. I could scout ahead with Irka and try to find the best routes to reach those generators.",157
STR_DIALOGS_AF_D1_CROMACHIEF_8,You would have to be able to fly to allow us access. Nearly all the conduits are closed off right now.,102
STR_DIALOGS_AF_D1_EUDER_9,"You don't know how happy it makes me that you've said that, he, he, he...",73
STR_DIALOGS_AF_D1_EUDER_10,Get ready to be amazed. I've been keeping this trick up my sleeve for just this type of situation.,98
STR_DIALOGS_AF_D2_EUDER_1,"I've never been one for magic, but Irka was blessed with this power when we arrived here.",89
STR_DIALOGS_AF_D2_EUDER_2,"Absolutely speechless, aren't you? I imagined as much...",56
STR_DIALOGS_AF_D2_CROMACHIEF_3,"Ah, your dog has wings...",25
STR_DIALOGS_AF_D3_CROMACHIEF_1,Your horse has wings. Proceed with your reconnaissance mission. Inform us if you find something.,96
STR_DIALOGS_AF_D3_EUDER_2,"I was hoping for a bigger reaction, to be honest...",51
STR_DIALOGS_AF_D3_EUDER_3,"Alright, I shan't hang around any longer. I'm off.",50
STR_DIALOGS_AF_D3_EUDER_4,"Stay alert, I'll be back to let you know what I've found.",57
STR_DIALOGS_AF_D4_CROMACHIEF_1,We are inside. That gate is code-operated. Just a moment...,59
STR_DIALOGS_AF_D5_CROMACHIEF_1,Well done! We have restored basic systems in this area. Use the transporter to proceed on your path.,100
STR_DIALOGS_AF_D5_CROMACHIEF_2,"Here are the positively charged vimana minerals. Remember, you must place them in the four generators in order to gain access to the main control room.",151
STR_DIALOGS_AF_D5_CROMACHIEF_3,"We are counting on you. Strength, human!",40
STR_DIALOGS_AF_D6_EUDER_1,Make way for the great Euder!,29
STR_DIALOGS_AF_D6_EUDER_2,"Hello again, my little friend.",30
STR_DIALOGS_AF_D6_EUDER_3,Have you seen just how amazing this machine is? And they say they don't use magic! I wonder how they keep it floating...,120
STR_DIALOGS_AF_D6_EUDER_4,"Ah, I almost forgot amongst all the excitement. I've located the generators. Unfortunately, without that toy of yours, no one can access them. Give me your map, I'll mark their whereabouts for you.",197
STR_DIALOGS_AF_D7_EUDER_1,You'll thank me when we're back on terra firma.,47
STR_DIALOGS_AF_D7_EUDER_2,"Since we're up in the air, I'm going to take the opportunity to have a look good at the area. I'm sure General Brigard will find it useful to have an idea of what surrounds us in this world.",190
STR_DIALOGS_AF_D7_EUDER_3,"Be good and, above all, be careful. It looks like this air pirate thing is no joke. There's a flying boat that's keeping them anchored.",135
STR_DIALOGS_AF_D7_EUDER_4,"We're off! Giddy up, Irka!",26
STR_DIALOGS_AF_D8_BIRK_1,"Magnificent and shining refined crystal... It's taken three days but, finally, you have the right energy grade.",111
STR_DIALOGS_AF_D8_BIRK_2,"With you, we'll conquer the skies, just as it always should have been.",70
STR_DIALOGS_AF_D9_BIRK_1,"Steel armour...
Ragged garments...
Swords, staffs and arrows...",63
STR_DIALOGS_AF_D9_BIRK_2,You Humans are primitive to the point of boredom.,49
STR_DIALOGS_AF_D9_BIRK_3,I don't understand how these Croma have managed to ally with something to uninteresting. They must be desperate.,112
STR_DIALOGS_AF_D9_BIRK_4,"I'm sorry to tell you that, while you've managed to get this far, there is nothing you can do. We have full control of the module.",130
STR_DIALOGS_AF_D9_BIRK_5,Although...,11
STR_DIALOGS_AF_D10_BIRK_1,"Did you think I wouldn't notice that you had this on you? Its shine is hypnotising, isn't it?",93
STR_DIALOGS_AF_D10_BIRK_2,"I'll take this. Just in case, you know?",39
STR_DIALOGS_AF_D10_BIRK_3,"If I were you, I'd go. It's not a good idea to stay somewhere like this. Who knows how long it'll be before it comes crashing down?",131
STR_DIALOGS_AF_D10_BIRK_4,"Listen to me and go back to your village, Human. Otherwise, things will end badly for you.",90
STR_DIALOGS_AF_D10_BIRK_5,You've been warned.,19
STR_DIALOGS_AF_D11_CROMAMINION_1,Str... th... Hum...,19
STR_DIALOGS_AF_D11_CROMAMINION_2,...,3
STR_DIALOGS_AF_D11_CROMAMINION_3,"Human, can you hear me? Is this working?",40
STR_DIALOGS_AF_D11_CROMAMINION_4,I'm speaking to you through the communicator.,45
STR_DIALOGS_AF_D11_CROMAMINION_5,It looks like you've just meet the pirates' leader.,51
STR_DIALOGS_AF_D11_CROMAMINION_6,"But, without those vimana minerals, you won't be able to reactivate the different sectors within the module. Blast... those were all we had to hand.",148
STR_DIALOGS_AF_D11_CROMAMINION_7,"Wait, tell me you've kept the <color=OBJ>negatively polarised minerals</color>. Yes, the red ones you found in the generators.",126
STR_DIALOGS_AF_D11_CROMAMINION_8,Good! You Humans are more astute than the commander expected.,61
STR_DIALOGS_AF_D11_CROMAMINION_9,I can restore their original polarity in the testing room so that they start to generate energy again.,102
STR_DIALOGS_AF_D11_CROMAMINION_10,"I'm going there now. If you carry on, you'll be able to find it.",64
STR_DIALOGS_AF_D11_CROMAMINION_11,I'll wait for you there. Over and out.,38
STR_DIALOGS_AF_D12_CROMAMINION_1,"I see you managed to arrive without issues, though I'm not particularly surprised at this point.",96
STR_DIALOGS_AF_D12_CROMAMINION_2,"We must hurry. Give me the minerals and I'll restore them, though I should tell you that the process will take some time. Best be patient.",138
STR_DIALOGS_AF_D13_CROMAMINION_1,How does this work...?,22
STR_DIALOGS_AF_D13_CROMAMINION_2,"Don't worry, I've seen the process a thousand times. I'll manage, I just need to focus.",87
STR_DIALOGS_AF_D14_DARK_CLAW_1,Well..._100_ done._100_ What a splendid catch.,46
STR_DIALOGS_AF_D14_DARK_CLAW_2,I think I'll share this feast with you._100_ Would you..._100_ like that?,73
STR_DIALOGS_AF_D15_DARK_CLAW_1,Was it you..._300_ or me...?,28
STR_DIALOGS_AF_D16_CROMAMINION_1,"Phew, I've done it! I knew I could, you had nothing to fear!",60
STR_DIALOGS_AF_D16_CROMAMINION_2,Hmmm?_100_ Are you alright?_100_ You look exhausted.,52
STR_DIALOGS_AF_D16_CROMAMINION_3,"You've been practicing so you can kill that rat, haven't you?",61
STR_DIALOGS_AF_D16_CROMAMINION_4,"You should save your energy, I don't think it'll be easy to carry on from this point.",85
STR_DIALOGS_AF_D16_CROMAMINION_5,"Keep them safe, I don't know where we'll get more if you lose them.",67
STR_DIALOGS_AF_D16_CROMAMINION_6,"Strength, Human.",16
STR_DIALOGS_AF_D17_CROMAMINIONB_1,Who...? Who are you...?,23
STR_DIALOGS_AF_D17_CROMAMINIONB_2,Are you here to finish us off now that we're weakened?,54
