offset,file,entry_idx,ptr_idx,text_en,byte_budget,speaker_code
AREAD001.DAT:7:2,AREAD001.DAT,7,2,"[14][C1]@""You mean, if we[01]follow this, we can[01]get to the mainland?[02][14][81]ARight, Poko?""",78,[14][C1]
AREAD001.DAT:7:7,AREAD001.DAT,7,7,"[14][02][02]""Heh heh...[02]She says we will be[01]in a great deal of[02]trouble should the[01]sun go down before[01]we reach land.""",108,[14][02]
AREAD001.DAT:7:8,AREAD001.DAT,7,8,"[14][03][01]""Uh-oh! It's getting[01]dark!""",31,[14][03]
AREAD001.DAT:7:9,AREAD001.DAT,7,9,"[14][04][03]""This isn't good...[01]It's getting dark.""",43,[14][04]
AREAD001.DAT:7:10,AREAD001.DAT,7,10,"[14][05][04]""Looks like we'd[01]better hurry.""",35,[14][05]
AREAD001.DAT:7:14,AREAD001.DAT,7,14,"[0C][02][14][87]A""Hmmm...""[02][14][C1]@""Looks like this is[01]as far as we can get[01]today.""",67,
AREAD001.DAT:7:15,AREAD001.DAT,7,15,"[0C][02][14][C2]@""Drat! It's too dark[01]to even see the path.[02]Guess we're stuck[01]here until morning.""",87,
AREAD001.DAT:7:16,AREAD001.DAT,7,16,"[0C][02][14][C4]@""It's too dark. We[01]should stop here and[01]wait until morning.""",66,
AREAD001.DAT:7:17,AREAD001.DAT,7,17,"[0C][02][14][C5]@""[04][05] tells me...""[02][14][86]E""It's too dark to[01]continue--looks like[01]we're stuck here.""",83,
AREAD001.DAT:7:18,AREAD001.DAT,7,18,"[14][85]D""I wonder how much[01]further we have to[01]go?""",46,[14][85]
AREAD001.DAT:7:19,AREAD001.DAT,7,19,"[14][C2]@""We can't afford[01]to waste our time[02]sitting around like[01]this!""",65,[14][C2]
AREAD001.DAT:7:21,AREAD001.DAT,7,21,"[14][C2]@""I guess you're[01]right...""",29,[14][C2]
AREAD001.DAT:7:22,AREAD001.DAT,7,22,"[0C][06][14][88]A""[04][02]...[0B]The[01]road!!""",24,
AREAD001.DAT:7:24,AREAD001.DAT,7,24,"[0C][05][14][09][04]""We shouldn't have[01]stopped![02]We should've kept[01]going through the[01]night,[02]no matter how risky[01]it was!""",105,
AREAD001.DAT:7:25,AREAD001.DAT,7,25,"[0C][06][14][8A]A""I'm sorry, [04][02].[01]It's my fault...[02]If I hadn't suggested[01]we rest for the[01]night...""",86,
AREAD001.DAT:7:28,AREAD001.DAT,7,28,"[0C][06][14][C1]@""C-come on! Let's[01]do as she says!""",40,
AREAD001.DAT:7:31,AREAD001.DAT,7,31,"[0C][05][14][C4]@""Judging by the lay[01]of the land, I'd say[02]this is where the[01]flats connect to the[01]mainland.""",96,
