offset,text_target
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_1,Como? Você já estava aqui?
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_2,...
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_3,Meh... eu já sabia.
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_4,Mas como cê achava que tava morto? Pensei que éramos coleguinhas.
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_5,"Não é fácil deixar um capitão se virando, e menos ainda se é tão charmoso quanto eu."
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_6,"Olha, se quer isso meu, vai ter que me entreter — e eu não sou fácil de entreter."
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_7,O que fazer? Não é óbvio? Cê sabe que me chamam de capitão mais rápido de Zarga.
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_8,Vai ter que bater meu recorde em &.
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_9,"Além disso, se conseguir, te dou uma das minhas lanças spawn. Obra-prima de engenharia!"
STR_DIALOGS_EUDER_AAF_QS_D1_EUDER_10,"Cê topa? Tem coragem pra me vencer, pro grande Euder?"
STR_DIALOGS_EUDER_AAF_QS_D2_EUDER_1,Cê tá ouvindo?!
STR_DIALOGS_EUDER_AAF_QS_D2_EUDER_2,"Lembra, cê precisa fazer o circuito inteiro em menos de & minutos!"
STR_DIALOGS_EUDER_AAF_QS_D3_EUDER_1,"Eê-há! Que surpresa, até pra mim! Tô literalmente sem palavras."
STR_DIALOGS_EUDER_AAF_QS_D3_EUDER_2,"Beleza, volta o fôlego e a gente volta pra cidade pra sua recompensa."
STR_DIALOGS_EUDER_AAF_QS_D4_EUDER_1,"Ué, ué... Relaxa, nem todo mundo tem coragem pra isso. Tenho certeza que cê manda bem em outras coisas, tipo... andar sem cair, por exemplo."
STR_DIALOGS_EUDER_AAF_QS_D4_EUDER_2,Quer tentar denovo?
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_1,"Soldado, cê correu de verdade, mas pensei mais um tempo... não vou te dar minhas lanças."
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_2,Ver você correndo acendeu um fogo em mim.
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_3,"Se quer uma das minhas lanças, vai ter que me bater na corrida direto."
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_4,Irka tá precisando superar o medo de correr depois daquela queda. Não acho melhor desculpa que competir com você.
STR_DIALOGS_EUDER_AAF_QS_D5_EUDER_5,Cê topa?
STR_DIALOGS_EUDER_AAF_QS_D6_EUDER_1,"Mesmo machucado, Irka é o cavalo mais rápido de Zarga, então não fica confiante e dá tudo o que tem."
STR_DIALOGS_EUDER_AAF_QS_D6_EUDER_2,Bora!
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_1,Mas... como?
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_2,Ninguém corre assim. Cê me enganou!
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_3,"Alriiight... eu não falei nada sobre o Irka usar as asas, então..."
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_4,"Cê é criativo mesmo, né? Alright, volta comigo pra cidade."
STR_DIALOGS_EUDER_AAF_QS_D7_EUDER_5,Dessa vez sem trapacear.
STR_DIALOGS_EUDER_AAF_QS_D8_EUDER_1,O que cê tava esperando? Irka é um cavalo alado.
STR_DIALOGS_EUDER_AAF_QS_D8_EUDER_2,Cê ainda tá longe de bater isso. Ou quer levar outra?
STR_DIALOGS_EUDER_AAF_QS_D9_EUDER_1,Parabéns! Felizmente não tinha ninguém perto pra ver minha performance. Você é o mais rápido.
STR_DIALOGS_EUDER_AAF_QS_D9_EUDER_2,Promessa é promessa. Use pra derrotar um daqueles monstros e veja o que acontece. Quem precisa de magia quando você consegue inventar coisas assim?
STR_DIALOGS_EUDER_AAF_QS_D9_EUDER_3,A mente humana é a verdadeira magia.
