offset,file,text_en,byte_budget
scena/system.dat:0x51d45,scena/system.dat,<C1>Obtained new outfits!,26
scena/system.dat:0x51d64,scena/system.dat,Go to the next chapter,23
scena/system.dat:0x51d7b,scena/system.dat,Return to title,16
scena/system.dat:0x51d99,scena/system.dat,Return to title,16
scena/system.dat:0x51e02,scena/system.dat,"<k>Hey, look!",14
scena/system.dat:0x51e1f,scena/system.dat,"<k>This is supposed to be our gear, I'm guessing?",50
scena/system.dat:0x51e8c,scena/system.dat,be more tucked away somewhere.,31
scena/system.dat:0x51eab,scena/system.dat,"<k>For all we know, there might",32
scena/system.dat:0x51eda,scena/system.dat,"look around, now that you mention it.",38
scena/system.dat:0x51f00,scena/system.dat,"monsters, but it could be worth taking a closer",48
scena/system.dat:0x51f30,scena/system.dat,<k>Makes sense. I'd really rather not fight any,48
scena/system.dat:0x51f6f,scena/system.dat,<C1>The orbal energy appears to have stopped.,46
scena/system.dat:0x51f9d,scena/system.dat,Generator to get things back up and running?,45
scena/system.dat:0x51fca,scena/system.dat,Could we maybe use the Zero Field,34
scena/system.dat:0x51fff,scena/system.dat,"Uh, maybe. It's...worth a try.",31
scena/system.dat:0x52031,scena/system.dat,Generator and lifted it up.,28
scena/system.dat:0x5204d,scena/system.dat,<C1>Tita took out the Zero Field,33
scena/system.dat:0x5206e,scena/system.dat,"Well, only one way to find out.",32
scena/system.dat:0x520a1,scena/system.dat,Generator and lifted it up.,28
scena/system.dat:0x520bd,scena/system.dat,<C1>Joshua took out the Zero Field,35
scena/system.dat:0x520f0,scena/system.dat,Nice! That worked perfectly!,29
scena/system.dat:0x52121,scena/system.dat,Now we can put this thing to work.,35
scena/system.dat:0x521d2,scena/system.dat, mira to rest?,15
scena/system.dat:0x521e1,scena/system.dat,Spend ,7
scena/system.dat:0x521f1,scena/system.dat,CP increased by 100!,21
scena/system.dat:0x52206,scena/system.dat,<C1>HP and EP fully restored.,30
scena/system.dat:0x52224,scena/system.dat,Not enough mira.,17
scena/system.dat:0x52310,scena/system.dat,place the quartz into the slot.,32
scena/system.dat:0x52330,scena/system.dat,Select the Orbment tab and,27
scena/system.dat:0x5234b,scena/system.dat,place the quartz into the slot.,32
scena/system.dat:0x5236b,scena/system.dat,Select the Orbment tab and,27
scena/system.dat:0x52386,scena/system.dat,Press <I1553> to open the Quartz menu.,39
scena/system.dat:0x523ad,scena/system.dat,Press <I1553> to open the Quartz menu.,39
scena/system.dat:0x523d4,scena/system.dat,place the quartz into the slot.,32
scena/system.dat:0x523f4,scena/system.dat,Select the Orbment tab and,27
scena/system.dat:0x5240f,scena/system.dat,Press <I1553> to open the Quartz menu.,39
scena/system.dat:0x52436,scena/system.dat,the Water Elemental Value goes up by <C6>1</C>.,48
scena/system.dat:0x52468,scena/system.dat,When you set the water-element quartz ,39
scena/system.dat:0x5248f,scena/system.dat,and the attack art <I43><C6>Aqua Bleed</C>.,44
scena/system.dat:0x524bb,scena/system.dat,you will be able to use the healing art <I43><C6>Tear</C>,58
scena/system.dat:0x524f5,scena/system.dat,"When the Water Elemental Value is <C6>1</C> or higher,",55
