offset,text_target
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_1,Você achou!
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_2,"Tá um pouco sujo, mas vai ser minha primeira espada! Eu amo!"
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_3,"Obrigado, soldado. Aqui está seu pagamento."
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_4,Ei! Nem pensa em me tratar como menininha e ficar com meu dinheiro!
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_5,"Agora estamos prontos de verdade pra encarar o perigo, né? Aha."
STR_DIALOGS_EDIL_ASL_QS_OUTRO_1_6,Hehehé. Ninguém aguenta a gente!
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_1,Você achou!
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_2,"Tá um pouco sujo, mas vai ser minha primeira espada! Eu amo!"
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_3,"Quando eu dominar, a gente monta dupla de vigilante, beleza?"
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_4,"Obrigado, soldado. Aqui está seu pagamento."
STR_DIALOGS_EDIL_ASL_QS_OUTRO_2_5,Ei! Nem pensa em me tratar como menininha e ficar com meu dinheiro!
