offset,text_en,byte_budget
STR_DIALOGS_MELIAN_AFT_QS_INTRO_1_1,You're back!,12
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_1,Thank the Gods you're alright... I never would have forgiven myself if something happened to you.,97
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_2,I suppose I should stop being so surprised at your achievements.,64
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_3,"Me? It's nothing... Don't worry, Jivan says that I'll recover.",62
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_4,"So, you saved this world without anyone even realising what was about to happen?",80
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_5,"It's simply incredible that you were able to kill that beast, but something tells me that, if anyone could've, it'd be you.",123
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_6,"How are you handling the wind orb? Looks like you've got a better grasp of it than me. That's not exactly unexpected though, you've been using those orbs for quite a while now.",176
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_7,"No! You don't need to give it back to me. I think, from now on, I'll look for value in myself, though it would be nice to see its tricks in action.",147
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_8,"Here's a thought... Would you dare go back to that temple? I'm sure you saw that ancient amphitheatre. I think if we get their attention enough, some of those monsters will come out and we can practice on them.",210
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_9,I think I can sneak out as long as my sister doesn't get wind of it. Facing her would definitely be a challenge...,114
STR_DIALOGS_MELIAN_AFT_QS_INTRO_2_10,What do you say?,16
STR_DIALOGS_MELIAN_AFT_QS_INTRO_3_1,"When you want to try out your skills with those orbs, let me know. I don't want to miss it. That amphitheatre at the Fire Temple seems like the perfect place.",158
