offset,text_target
scena/mp0010_01.dat:0x153a8,Estelle. Eu não vou chorar mais.
scena/mp0010_01.dat:0x153dc,Não posso deixar o Luke me ver assim.
scena/mp0010_01.dat:0x1540e,"Ah, Estelle..."
scena/mp0010_01.dat:0x1542c,"Já é de manhã, mas o Luke ainda está dormindo."
scena/mp0010_01.dat:0x15462,Acho que ele nem escuta a Maggy chamando...
scena/mp0010_01.dat:0x15499,"Mas, sabe..."
scena/mp0010_01.dat:0x154b9,que ele está tendo deve ser bom.
scena/mp0010_01.dat:0x154d9,"Ele está sorrindo, então seja lá o sonho"
scena/mp0010_01.dat:0x15508,O Luke sempre dá um jeito de deixar tudo divertido.
scena/mp0010_01.dat:0x15547,parece que ele está se divertindo.
scena/mp0010_01.dat:0x15563,"O Luke ainda não acordou, mas ele"
scena/mp0010_01.dat:0x15591,Deve estar tendo o melhor sonho da vida dele.
scena/mp0010_01.dat:0x155ca,"Eu queria ficar junto do Luke, mas..."
scena/mp0010_01.dat:0x155ff,Minha mãe me arrastou pra casa.
scena/mp0010_01.dat:0x15626,Já comi alguma coisa.
scena/mp0010_01.dat:0x15641,Vou voltar pra ver ele depois
scena/mp0010_01.dat:0x15674,"quer sair pra brincar, né?"
scena/mp0010_01.dat:0x15692,"Se ele souber que eu tô lá, ele vai"
scena/mp0010_01.dat:0x156c3,Será que isso é o bastante pra acordar ele?
scena/mp0010_01.dat:0x156f7,Vou ver o Luke assim que terminar de comer.
scena/mp0010_01.dat:0x15733,quer sair pra brincar.
scena/mp0010_01.dat:0x1574e,"Se eu estiver lá, com certeza ele vai"
scena/mp0010_01.dat:0x1577c,Cadê que esse pestinha foi se enfiar agora?
scena/mp0010_01.dat:0x157bd,Francamente...! E olha que já tá quase na hora do almoço.
scena/mp0010_01.dat:0x157fa,o Luke puxou esse lado arteiro.
scena/mp0010_01.dat:0x1581f,Juro que não faço a menor ideia de quem
scena/mp0010_01.dat:0x15857,direto pela porta sem tomar café da manhã.
scena/mp0010_01.dat:0x1587d,"De novo, aquele furacãozinho saiu correndo"
scena/mp0010_01.dat:0x158b2,mas ele manteve todos os maus hábitos.
scena/mp0010_01.dat:0x158d4,"Ele acabou de começar o treino de espada,"
scena/mp0010_01.dat:0x15905,O pai dele também era uma criança tão calma.
scena/mp0010_01.dat:0x1593b,o Luke puxou esse lado arteiro.
scena/mp0010_01.dat:0x15960,Juro que não faço a menor ideia de quem
scena/mp0010_01.dat:0x15998,Que Deus o abençoe por tentar educar o garoto.
scena/mp0010_01.dat:0x159bf,Tenho certeza que ele dá um trabalho danado pro Ashton.
scena/mp0010_01.dat:0x159fc,sem paciência nenhuma a essa altura.
scena/mp0010_01.dat:0x15a15,Mas aposto que ele já está
scena/mp0010_01.dat:0x15a3e,é a melhor qualidade desse pestinha.
scena/mp0010_01.dat:0x15a62,"Sinceramente, um excesso de energia"
scena/mp0010_01.dat:0x15a92,como ele faz todo santo dia.
scena/mp0010_01.dat:0x15aad,"Tenho certeza que ele vai acordar assim que o sol nascer,"
scena/mp0010_01.dat:0x15ae7,"nem um pedaço do café da manhã, como sempre..."
scena/mp0010_01.dat:0x15b0a,Depois vai sair correndo sem comer
scena/mp0010_01.dat:0x15b3e,é a melhor qualidade desse pestinha.
scena/mp0010_01.dat:0x15b62,"Sinceramente, um excesso de energia"
scena/mp0010_01.dat:0x15b92,como ele faz todo santo dia.
scena/mp0010_01.dat:0x15bad,"Tenho certeza que ele vai acordar assim que o sol nascer,"
scena/mp0010_01.dat:0x15be7,"Luke... Tá na hora de levantar, querido."
scena/mp0010_01.dat:0x15c19,nem dá pra perceber com essa neblina toda.
scena/mp0010_01.dat:0x15c40,"Vamos lá, já é de manhã. Apesar disso,"
scena/mp0010_01.dat:0x15c72,"quer deixar ele esperando, hein?"
scena/mp0010_01.dat:0x15c90,O Pat veio brincar também. Você não vai
scena/mp0010_01.dat:0x15cca,"Ah, Luke... Por favor, acorda logo..."
scena/mp0010_01.dat:0x15cfc,"Vai lá, vai se divertir."
scena/mp0010_01.dat:0x15d15,O Pat veio brincar também.
scena/mp0010_01.dat:0x15d42,"Vamos lá, você não vive correndo de um lado pro outro?"
scena/mp0010_01.dat:0x15d7c,Meu filho Ashton passou por aqui mais cedo.
scena/mp0010_01.dat:0x15dad,e foi direto de volta pras rondas dele.
scena/mp0010_01.dat:0x15dd0,"Ele veio ver como o Luke estava, e depois"
scena/mp0010_01.dat:0x15dfe,Acho que ele está se cobrando demais.
scena/mp0010_01.dat:0x15e25,"Eu sei que esses são tempos difíceis, mas..."
scena/mp0010_01.dat:0x15e5f,morrendo de preocupação com o filho dele.
scena/mp0010_01.dat:0x15e7b,Afinal... tenho certeza que ele está
scena/mp0010_01.dat:0x15ea5,Meu filho Ashton passou por aqui mais cedo.
scena/mp0010_01.dat:0x15ed6,e foi direto de volta pras rondas dele.
scena/mp0010_01.dat:0x15ef9,"Ele veio ver como o Luke estava, e depois"
scena/mp0010_01.dat:0x15f27,Não tem alguém com quem ele possa trocar de turno?
scena/mp0010_01.dat:0x15f66,"Ah, são vocês de novo, bracers."
scena/mp0010_01.dat:0x15f91,Nosso Luke finalmente acordou.
scena/mp0010_01.dat:0x15fba,"por aí, aprontando em algum lugar."
scena/mp0010_01.dat:0x15fdc,E ele está firme e forte também. Já está
scena/mp0010_01.dat:0x16013,a mínima pras nossas preocupações!
scena/mp0010_01.dat:0x16032,"Francamente, esse menino! Ele não liga"
scena/mp0010_01.dat:0x16062,"a bronca dele, só por hoje."
scena/mp0010_01.dat:0x16084,"Ah, bom. Acho que posso poupar"
scena/mp0010_01.dat:0x160b3,ele está acordado e bem de novo.
scena/mp0010_01.dat:0x160ce,O que importa é que
scena/mp0010_01.dat:0x160f6,Nosso Luke finalmente acordou.
scena/mp0010_01.dat:0x1611f,de volta pro treino de espada dele.
scena/mp0010_01.dat:0x1613b,E ele já foi direto
scena/mp0010_01.dat:0x16169,a disciplina entra por um ouvido e sai pelo outro.
scena/mp0010_01.dat:0x16195,"Francamente, esse menino! Qualquer tentativa de"
scena/mp0010_01.dat:0x161ca,ele está feliz e com saúde.
scena/mp0010_01.dat:0x161e2,"Mesmo assim, o que importa é que"
scena/mp0010_01.dat:0x16211,"Ah, são vocês de novo, bracers."
scena/mp0010_01.dat:0x1623c,Nosso Luke finalmente acordou.
scena/mp0010_01.dat:0x16265,"por aí, aprontando em algum lugar."
scena/mp0010_01.dat:0x16287,E ele está firme e forte também. Já está
scena/mp0010_01.dat:0x162be,ele nem faz muito tempo.
scena/mp0010_01.dat:0x162dc,"Ah, obrigado! Na verdade a gente foi ver"
scena/mp0010_01.dat:0x16310,Parece que ele voltou a ficar animado de novo!
scena/mp0010_01.dat:0x16352,se empolgar demais e se machucar.
scena/mp0010_01.dat:0x16373,"Bom, agora a preocupação é que ele provavelmente vai"
scena/mp0010_01.dat:0x163ac,um alívio à sua própria maneira.
scena/mp0010_01.dat:0x163c6,Haha! Acho que isso é meio que
scena/mp0010_01.dat:0x163f7,que ele vai ficar longe de encrenca mais tarde.
scena/mp0010_01.dat:0x1641a,A gente vai passar lá pra ter certeza
scena/mp0010_01.dat:0x1644b,"Hum, eu agradeceria."
scena/mp0010_01.dat:0x16471,"Afinal, ele é bem apegado a você."
scena/mp0010_01.dat:0x164a9,bater papo com uma velha senhora.
scena/mp0010_01.dat:0x164cc,"Mas, imagino que você não veio até aqui só pra"
