offset,text_target
STR_DIALOGS_ZARGA_D1_BRIGARD_1,Não...
STR_DIALOGS_ZARGA_D2_BRIGARD_1,"Soldado, depois de tudo que fizemos pra chegar em casa..."
STR_DIALOGS_ZARGA_D2_BRIGARD_2,Perdemos...
STR_DIALOGS_ZARGA_D2_BRIGARD_3,Perdemos tudo...
STR_DIALOGS_ZARGA_D3_LIANDRIS_1,"Não, guerreiros corajosos. Vosso mundo ainda não está perdido."
STR_DIALOGS_ZARGA_D3_LIANDRIS_2,Vossa missão é derrotar a Infestação.
STR_DIALOGS_ZARGA_D3_LIANDRIS_3,Reúnam todas as tropas que conseguirem e lutem até o fim.
STR_DIALOGS_ZARGA_D3_LIANDRIS_4,"Vocês, mortais, sempre encontram força. Já vi isso milhares de vezes."
STR_DIALOGS_ZARGA_D3_BRIGARD_5,É verdade...
STR_DIALOGS_ZARGA_D4_BRIGARD_1,Não nos quebrarão tão facilmente.
STR_DIALOGS_ZARGA_D4_BRIGARD_2,Não desistiremos sem luta.
STR_DIALOGS_ZARGA_D4_BRIGARD_3,Não se livrarão de nós sem antes ver quem somos.
STR_DIALOGS_ZARGA_D5_BRIGARD_1,SOMOS SOLDADOS!
