offset,text_en,byte_budget
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_1,I can't quite make out this path..._300_ This other one leads to...,67
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_2,"Yes?_100_ How can I hel...? Aha,_100_ I knew you would return, yes._100_ You lot always return after putting me aside, although I could have sworn you went in the other direction.",179
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_3,"Anyway, the important thing is that you have reconsidered and returned for my <color=OBJ>maps</color>._100_ This old dog can still be useful, yes.",146
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_4,"As I've already told you, I'd love to hand them out for free, but if I want to keep helping stray travellers like you, I can't afford it.",137
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_1,"I've signed it especially for you, see?_300_ Here it is:_100_ ""Skribles"".",73
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_2,"This should keep you from getting lost,_100_ but you should know that my memory isn't what it once was,_100_ so you might come across routes of your own, yes?_300_ Onwards, tin man.",181
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_1_NEGATIVE,"I thought you were going to take it this time. _300_ Don't worry, yes?_300_ I'll wait for someone who appreciates my work.",122
STR_DIALOGS_PLAINS2_11_D3_SKRIBLES_1,"Aha..._300_ Back again?_100_ It doesn't bother me that you interrupt my work, no._300_ It's just that you should be more decisive in life, yes?_300_ I suppose you're here for the map.",183
STR_DIALOGS_PLAINS2_11_D4_SKRIBLES_1,"It's not easy making these maps._100_ Every time I travel the plains, I find new paths. Keep that in mind, yes?",111
STR_DIALOGS_PLAINS2_11_D5_SKRIBLES_1,Here's a hill..._100_ and this is..._300_ a tree?,49
STR_DIALOGS_PLAINS2_11_D6_SKRIBLES_1,"If I don't mark this river on the map, will people fall in?_300_ I would definitely fall in...",94
