offset,text_target
STR_DIALOGS1_5_D1_ADAMONT_1,"Tudo bem aí, rapaz? Não está um pouco longe da cidadela?_100_ Estamos encarregados de cobrir esta área._100_ Fomos designados para explorar as terras ocidentais._100_ Pelos sinais, podemos estar perto da pessoa que procuramos."
STR_DIALOGS1_5_D1_ADAMONT_2,"Sabe, aquele mago..._300_ rei..._300_ ou lá o que ele seja."
STR_DIALOGS1_5_D1_ADAMONT_3,Você diz que Brigard o enviou?
STR_DIALOGS1_5_D1_ADAMONT_4,...
STR_DIALOGS1_5_D1_ADAMONT_5,"AH! ESTAMOS DANDO MOLE AQUI HÁ MUITO TEMPO!_500_ ATENÇÃO, SOLDADOS! BRIGARD ESTÁ CONTANDO COM A GENTE!"
STR_DIALOGS1_5_D1_ADAMONT_6,Quem chegar por último vai sem janta hoje à noite!
STR_DIALOGS1_5_D0_IRONCLAD_1,"Mas, Capitão Adamont..._100_ A areia lá é muito mole e nossas armaduras são muito pesadas."
STR_DIALOGS1_5_D0_IRONCLAD_2,"Desculpe, Capitão, falei sem pensar."
STR_DIALOGS1_5_D0_ADAMONT_2,Vocês estão começando a parecer mais moles que aquela areia.
STR_DIALOGS1_5_D0_ADAMONT_3,É exatamente por isso que pedi para nos mandarem aqui._100_ Esses são o tipo de desafio que nos torna mais fortes!
