offset,text_en,byte_budget
STR_DIALOGS_DRAGONSCASTLE_DCDS_D5_DARKSWORD_1,"The dragon ahead... It will soon be reborn, and I will be the one to end it once more...",88
STR_DIALOGS_DRAGONSCASTLE_DCDS_D5_DARKSWORD_2,"That power drew you here too, admit it...",41
STR_DIALOGS_DRAGONSCASTLE_DCDS_D5_DARKSWORD_3,Now do you understand why we have no other choose than to hoard power?,70
STR_DIALOGS_DRAGONSCASTLE_DCDS_D5_DARKSWORD_4,"Otherwise, how would you have gotten this far?",46
STR_DIALOGS_DRAGONSCASTLE_DCDS_D6_DARKSWORD_1,Wait...,7
STR_DIALOGS_DRAGONSCASTLE_DCDS_D7_DARKSWORD_1,Zar... ga?,10
STR_DIALOGS_DRAGONSCASTLE_DCDS_D7_DARKSWORD_2,I remember things...,20
STR_DIALOGS_DRAGONSCASTLE_DCDS_D7_DARKSWORD_3,It's... disturbing.,19
STR_DIALOGS_DRAGONSCASTLE_DCDS_D7_DARKSWORD_4,I want it to stop!,18
STR_DIALOGS_DRAGONSCASTLE_DCDS_D8_DARKSWORD_1,"Killing... Through it, we came into this world and carved out our path.",71
STR_DIALOGS_DRAGONSCASTLE_DCDS_D8_DARKSWORD_2,There's something here that seems to reward those like us. You've have noticed it too... haven't you?,101
STR_DIALOGS_DRAGONSCASTLE_DCDS_D8_DARKSWORD_3,The power that's been with you ever since you set foot here belongs to all of us. I couldn't wish for a greater destiny than becoming part of it.,145
STR_DIALOGS_DRAGONSCASTLE_DCDS_D8_DARKSWORD_4,See you soon... Soldier of Zarga.,33
