offset,file,text_en,byte_budget
scena/mp2000.dat:0x33852,scena/mp2000.dat,@&* ,5
scena/mp2000.dat:0x338b4,scena/mp2000.dat,@&K ,5
scena/mp2000.dat:0x33946,scena/mp2000.dat,@&x ,5
scena/mp2000.dat:0x4a1c1,scena/mp2000.dat,often. Did you walk all the way here?,38
scena/mp2000.dat:0x4a1e7,scena/mp2000.dat,"Well, now. We don't get travelers here",39
scena/mp2000.dat:0x4a21d,scena/mp2000.dat,stronger lately. You should take a rest first.,47
scena/mp2000.dat:0x4a24c,scena/mp2000.dat,It seems the monsters have gotten,34
scena/mp2000.dat:0x4a27d,scena/mp2000.dat,around. You should have a rest.,32
scena/mp2000.dat:0x4a29d,scena/mp2000.dat,There are a lot of strong monsters,35
scena/mp2000.dat:0x4a2cf,scena/mp2000.dat,through here nowadays.,23
scena/mp2000.dat:0x4a2e6,scena/mp2000.dat,"Because of the airliners, not many people pass",47
scena/mp2000.dat:0x4a324,scena/mp2000.dat,"the sky pirates have gone, though.",35
scena/mp2000.dat:0x4a347,scena/mp2000.dat,No idea where the Intelligence Division guys or,48
scena/mp2000.dat:0x4a386,scena/mp2000.dat,Got to keep my eyes wide open.,31
scena/mp2000.dat:0x4a3b4,scena/mp2000.dat,"pirates are caught, I'll be able to take it easy again.",56
scena/mp2000.dat:0x4a3ec,scena/mp2000.dat,Once the Intelligence Division guys and the sky,48
scena/mp2000.dat:0x4a42b,scena/mp2000.dat,"But for now, I've got to be extra watchful.",44
scena/mp2000.dat:0x4a466,scena/mp2000.dat,Hey. You must be tired.,24
scena/mp2000.dat:0x4a48d,scena/mp2000.dat,I bet it took a long while just to walk here.,46
scena/mp2000.dat:0x4a4ca,scena/mp2000.dat,pretty well from here.,23
scena/mp2000.dat:0x4a4e1,scena/mp2000.dat,You can see that flying object,31
scena/mp2000.dat:0x4a50f,scena/mp2000.dat,to be some sorta manmade structure.,36
scena/mp2000.dat:0x4a533,scena/mp2000.dat,"No matter how you look at it, it has",37
scena/mp2000.dat:0x4a567,scena/mp2000.dat,anything about it?,19
scena/mp2000.dat:0x4a57a,scena/mp2000.dat,Is it really okay to not be doing,34
scena/mp2000.dat:0x4a5ab,scena/mp2000.dat,to be some sorta manmade structure.,36
scena/mp2000.dat:0x4a5cf,scena/mp2000.dat,"No matter how you look at it, it has",37
scena/mp2000.dat:0x4a603,scena/mp2000.dat,anything about it?,19
scena/mp2000.dat:0x4a616,scena/mp2000.dat,Is it really okay to not be doing,34
scena/mp2000.dat:0x4a647,scena/mp2000.dat,something to do with what's going on?,38
scena/mp2000.dat:0x4a66d,scena/mp2000.dat,You think that flying object over the lake has,47
scena/mp2000.dat:0x4a6ab,scena/mp2000.dat,out of the sky...,18
scena/mp2000.dat:0x4a6bd,scena/mp2000.dat,"Man, we should just blow that thing",36
scena/mp2000.dat:0x4a6f0,scena/mp2000.dat,cannons not functioning.,25
scena/mp2000.dat:0x4a709,scena/mp2000.dat,"Not that we could, with the orbal",34
scena/mp2000.dat:0x4a73a,scena/mp2000.dat,reach that far. And airships are out.,38
scena/mp2000.dat:0x4a760,scena/mp2000.dat,We don't have any weapon that could,36
scena/mp2000.dat:0x4a793,scena/mp2000.dat,might be nigh impossible.,26
scena/mp2000.dat:0x4a7ad,scena/mp2000.dat,So shooting that thing out of the sky,38
scena/mp2000.dat:0x4a7e2,scena/mp2000.dat,meanings behind people's names.,32
scena/mp2000.dat:0x4a802,scena/mp2000.dat,I can't help but wonder about the hidden,41
scena/mp2000.dat:0x4a83a,scena/mp2000.dat,A name shouldn't define who we are...,38
scena/mp2000.dat:0x4a86f,scena/mp2000.dat,myself by assuming a new name?,31
scena/mp2000.dat:0x4a88e,scena/mp2000.dat,So why is it so tempting to reinvent,37
scena/mp2000.dat:0x4a8c2,scena/mp2000.dat,weren't burdened with names at all...,38
scena/mp2000.dat:0x4a8e8,scena/mp2000.dat,Imagine how free we'd be if only we,36
scena/mp2000.dat:0x4a91b,scena/mp2000.dat,"its chrysalis, unbound and beautiful.",38
scena/mp2000.dat:0x4a941,scena/mp2000.dat,I'd cast away my name like a butterfly leaving,47
scena/mp2000.dat:0x4a97f,scena/mp2000.dat,in weather as nice as today's.,31
scena/mp2000.dat:0x4a99e,scena/mp2000.dat,"Ah, the sky is so clear and majestic",37
scena/mp2000.dat:0x4a9d2,scena/mp2000.dat,Just have a look yourself.,27
scena/mp2000.dat:0x4a9fc,scena/mp2000.dat,It's looking down on us from high above.,41
scena/mp2000.dat:0x4aa34,scena/mp2000.dat,casting reflections of others we meet.,39
scena/mp2000.dat:0x4aa5b,scena/mp2000.dat,"The human heart is like a mirror,",34
scena/mp2000.dat:0x4aa8c,scena/mp2000.dat,would eventually grow to hate me.,34
scena/mp2000.dat:0x4aaae,scena/mp2000.dat,"If I had hatred toward you, you",32
scena/mp2000.dat:0x4aadd,scena/mp2000.dat,for you grow that much stronger.,33
scena/mp2000.dat:0x4aafe,scena/mp2000.dat,And that in turn would make my hatred,38
scena/mp2000.dat:0x4ab33,scena/mp2000.dat,casting reflections of others we meet.,39
scena/mp2000.dat:0x4ab5a,scena/mp2000.dat,"The human heart is like a mirror,",34
scena/mp2000.dat:0x4ab8b,scena/mp2000.dat,"reflected, the more intense they become.",41
scena/mp2000.dat:0x4abb4,scena/mp2000.dat,And the more emotions like love or hate are,44
scena/mp2000.dat:0x4ac18,scena/mp2000.dat,"hoping to get something from me, were you?",43
