offset,text_target
STR_DIALOGS_PLAINS3_RESCUE_D1_SOLDIER_1,Recuem! Não se aproximem mais! Sei exatamente o que vocês estão tentando fazer!
STR_DIALOGS_PLAINS3_RESCUE_D2_EUDER_1,"Heróis sempre chegam no último segundo, tenham certeza!"
STR_DIALOGS_PLAINS3_RESCUE_D3_VALKIRIE1_1,Espera! Você não ia intervir... ou ia?
STR_DIALOGS_PLAINS3_RESCUE_D3_VALKIRIE2_2,"Vocês ouviram Liandris. Essas criaturas não fazem parte disto, nem foram trazidas por nós. Não podemos mais ignorá-las."
STR_DIALOGS_PLAINS3_RESCUE_D4_VALKIRIE2_1,"Não o tocou, mas sofreu uma queda. Leve-o à cidade rápido, ele se recuperará."
STR_DIALOGS_PLAINS3_RESCUE_D4_EUDER_2,Óbvio...
STR_DIALOGS_PLAINS3_RESCUE_D4_VALKIRIE2_3,...
STR_DIALOGS_PLAINS3_RESCUE_D4_EUDER_4,Erm... Tudo bem com você?
STR_DIALOGS_PLAINS3_RESCUE_D4_VALKIRIE2_5,...ndo...
STR_DIALOGS_PLAINS3_RESCUE_D5_EUDER_1,Foi algo que eu disse?
STR_DIALOGS_PLAINS3_RESCUE_D5_VALKIRIE1_2,Sangrigor! O que está acontecendo?!
STR_DIALOGS_PLAINS3_RESCUE_D5_SANGRIGOR_3,O QUE ESTÁ...
STR_DIALOGS_PLAINS3_RESCUE_D6_VALKIRIE1_1,Sangrigor!
STR_DIALOGS_PLAINS3_RESCUE_D6_SANGRIGOR_2,AAAAH!
STR_DIALOGS_PLAINS3_RESCUE_D7_VALKIRIE1_1,Espera!
STR_DIALOGS_PLAINS3_RESCUE_D7_VALKIRIE1_2,"(Sangrigor... Hmm, não vejo esse parasita em lugar nenhum também. Devo avisar Liandris)"
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_1,"Uau, normalmente não tenho esse efeito em pessoas..."
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_2,"O que exatamente acabou de acontecer? Porque, se você sabe, eu realmente gostaria de ser informado."
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_3,Ah! Quase esqueci! Preciso levá-lo à cidade. Aquela coruja velha saberá o que fazer.
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_4,"Ah, estou perdendo toda a diversão. Deveres de capitão, suponho. Vou deixar vocês continuarem. Portem-se bem."
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_5,Vamo lá!
