offset,text_target
0xc59dc,Hm...
0xc59e2,Argh. Banheiro. Preciso ir...
0xc59fc,...Ufa.
0xc5a05,"Puts, isso me ensina a tomar chá antes de dormir.\n"
0xc5a36,Faz frio aqui fora.
0xc5a4a,*TIQUE*
0xc5a54,Hum?
0xc5a58,"No meio do caminho de volta ao quarto do banheiro, um som\n"
0xc5a8b,da entrada principal da hospedaria me distrai.
0xc5ab6,"Curioso para saber o que fazia aquele barulho,\n"
0xc5ae8,"a essa hora, resolvo dar uma espiadela..."
0xc5b11,...Kuon?
0xc5b1a,"À distância, consigo distinguir uma silhueta\n"
0xc5b49,das costas da Kuon enquanto sai.
0xc5b6e,"O que ela está fazendo, saindo da estalagem tão tarde?\n"
0xc5b9d,Não é perigoso sair sozinha? E se\n
0xc5bcb,algo...?
0xc5bd9,"Bah, não preciso me preocupar. Kuon sabe cuidar de\n"
0xc5c09,de qualquer forma.
0xc5c1a,Ah... Com sono.
0xc5c28,"Enfim, tanto faz. Talvez ela só quisesse dar uma olhada\n"
0xc5c5b,na lua e respirar um ar puro ou algo assim.
0xc5c8c,"Já que estou aqui fora, acho que vou dar uma\n"
0xc5cbb,beber e observar as estrelas antes de voltar...
0xc7c60,...Estou entediado.
0xc7c6e,"É um daqueles dias raros em que, por uma vez,\n"
0xc7c9d,nenhuma crise precisa da minha atenção. Um dia livre.\n
0xc7cc4,à tarde...
0xc7cd1,Parece que todos saíram da hospedaria também.
0xc7cfb,Kuon saiu com Nekone e Rulutieh.\n
0xc7d25,"Me convidaram, mas não estou a fim de ficar sendo\n"
0xc7d54,uma mula de carga.
0xc7d61,Kiwru pareceu muito feliz em ir carregar as coisas\n
0xc7d92,"por eles no meu lugar, de qualquer forma..."
0xc7db2,Fico me perguntando se ser tratada com tanto descaso\n
0xc7de2,é fetiche daquele cara ou algo assim.
0xc7e03,Pensando bem agora...
0xc7e20,"Tomo um gole de chá, ponderando."
0xc7e41,Faz um tempo que chamamos este lugar de nossa\n
0xc7e65,"""base"", mas não sei bem muito\n"
0xc7e94,sobre o Hakurokaku.
0xc7eaa,Acho que é a minha chance de explorar o\n
0xc7eda,lugar um pouco. Quem sabe? Posso acabar encontrando\n
0xc7f05,de alguma coisa.
0xc7f10,"Com a decisão tomada, saio do meu quarto\n"
0xc7f41,e para o corredor.
0xc7f57,"Puxa, é bem mais espaçoso aqui atrás do que\n"
0xc7f86,Eu teria pensado...
0xc7f9a,E todas essas escadas... É como um labirinto\n
0xc7fca,com vários andares.
0xc7fe0,"Bom, acho que vou explorar os andares de cima,\n"
0xc800f,pois nunca subi lá até agora.
0xc8039,As escadas levam a lugares diferentes também.\n
0xc8069,Espero não me perder. Por que projetariam assim\n
0xc809b,assim?
0xc80a6,Vagueio pelos andares superiores do\n
0xc80d0,"Hakurokaku, cruzando às vezes com funcionários\n"
0xc80fb,limpando os quartos.
0xc810f,Andar assim está me dando uma sensação\n
0xc813f,por como esse prédio é estranhamente distribuído...
0xc816e,O que é esse lugar...?
0xc8184,"Por fim, após uma longa subida, chego a um\n"
0xc81b4,amplo cômodo sem mais escadas à vista\n
0xc81e2,para cima.
0xc81ea,Não dá pra subir mais. Será este o último andar...?
0xc821a,As janelas largas do cômodo estão abertas para o lado de fora.\n
0xc824d,Um observatório de algum tipo...?
0xc826d,"Nossa, essa vista... Acho que dá para ver a\n"
0xc8297,toda a capital imperial daqui.
0xc82b9,Os padrões de vegetação nos jardins da cidade\n
0xc82ea,são um espetáculo de cima assim.
0xc8316,Hm. Kuon talvez gostasse deste lugar.\n
0xc833e,Vou avisar ela assim que\n
0xc836a,quando ela volta.
0xc8379,"Ah... Que dia bonito, porém."
0xc8398,Uma brisa quente entra pelas janelas\n
0xc83c4,"abertas, e eu me espreguiço com um longo\n"
0xc83f1,suspiro.
0xc83f7,Nem uma nuvem mancha a perfeição do\n
0xc8427,"céu azul, e o sol faz a cidade brilhar."
0xc8455,Uma bebida gelada para aproveitar sob o sol seria\n
0xc8487,ser ótimo num dia assim...
0xc84aa,"Melhor ir buscar alguma coisa para beber,\n"
0xc84d9,pois achei esse lugar para saborear.
0xc8502,"Com Kuon e as outras fora, não é como se\n"
0xc8531,Vou levar bronca por beber à tarde.
0xc855d,Acho que vou indo d--hein?
0xc8575,"Bem quando me viro para voltar ao quarto, meus olhos\n"
0xc85a5,cair num padrão estranho na parede.
0xc85cc,Esse padrão...
0xc85dc,"Examinando mais de perto, parece ser feito\n"
0xc860c,de múltiplos pedaços quadrados de madeira encaixados.
0xc863c,E parece... bem misturado. Por todo\n
0xc866a,do lugar.
0xc8675,Será que as peças estão na ordem errada?\n
0xc86a1,Juro que essa peça vai aqui...
0xc86c7,*CLAC*
0xc86cf,Se move?
0xc86d9,"Quando toco uma peça do aparente quebra-cabeça,\n"
0xc8708,desliza levíssimo para o lado.
0xc8730,Isso significa...?
0xc8743,"*CLAC, CLIQUE*"
0xc8752,"Se isso vai aqui, e aquilo se encaixa ali\n"
0xc8782,lá embaixo...
0xc8790,É mesmo um quebra-cabeça? A curiosidade me vence e\n
0xc87c1,começo a mover as\n
0xc87ed,peças.
0xc87f5,"*CLIQUE, CLAC*..."
0xc8807,"Aos poucos, as peças começam a formar um\n"
0xc8836,"padrão geométrico, extraído de seu\n"
0xc885f,desordem.
0xc8869,E pronto... isso deveria resolver...
0xc8882,*CLUNK*
0xc888a,"*Rumorejar, rumorejar*..."
0xc889e,O qu—
0xc88a2,"Quando a última peça se encaixa no lugar, algum\n"
0xc88d1,"mecanismo é acionado, e uma escada desliza\n"
0xc88fe,à vista.
0xc8909,Uma escada... Então há outro andar acima\n
0xc8939,Esta aqui?
0xc8943,Que engenhoca elaborada.\n
0xc8967,Agora PRECISO saber o que tem lá em cima.
0xc898a,"Hesito só um instante, sem conseguir conter\n"
0xc89b7,a curiosidade enquanto subo a escada revelada\n
0xc89e4,degraus.
0xc89eb,Um leve aroma adocicado desce\n
0xc8a1b,as escadas...
0xc8a29,"Hm? Ah, isso... Que cheiro agradável. Algum tipo de\n"
0xc8a5a,incenso?
0xc8a63,Isto é...
0xc8a6e,A escada leva a um cômodo repleto de\n
0xc8a9e,fumaça do incenso misterioso.
0xc8abf,"Apesar do escuro, meus olhos logo se adaptam,\n"
0xc8aef,e consigo perceber que o quarto é luxuosamente mobiliado.
0xc8b1e,Achei que encontraria um sótão vazio ou\n
0xc8b4a,"algo aqui, mas..."
0xc8b64,...Talvez não devesse ter entrado aqui sem\n
0xc8b95,permissão.
0xc8ba1,"Bem, bem. Tenho um visitante?"
0xc8bc1,Ué!?
0xc8bc8,"Em um canto do quarto coberto de peles,\n"
0xc8bf4,uma bela mulher elegantemente vestida reclina\n
0xc8c24,num sofá.
0xc8c30,"Ela tem um ar sedutor e gracioso,\n"
0xc8c5f,enrolada e composta como uma\n
0xc8c89,predador.
0xc8c93,"A visão me pega desprevenido,\n"
0xc8cbf,encantado por um breve instante. Ela sorve\n
0xc8cee,bebida.
0xc8cf5,"Aquilo parece bom, seja lá o que for.\n"
0xc8d18,Gostaria de ter uma xícara.
0xc8d2a,Lorde
0xc8d2f,Tinha algum assunto aqui?
0xc8d50,"A-Ah, ãh, não. Desculpe por entrar sem\n"
0xc8d7b,"Não estou aprontando nada, juro -- só\n"
0xc8dab,meio que... apareci aqui. Já vou saindo\n
0xc8dd6,comigo mesmo agora.
0xc8de2,Hm. Hm hm. Não há necessidade de tanta pressa.\n
0xc8e0f,pressa.
0xc8e16,"A meio caminho da porta, a risada divertida da mulher\n"
0xc8e46,me deixa em dúvida.
0xc8e56,Que tal isto em vez disso?
0xc8e6e,Ela me joga algo.
0xc8e8e,"Quase deixo cair de surpresa, mas de algum jeito\n"
0xc8ebd,consigo recuperar e manter uma boa pegada.
0xc8ee9,Um... Uma xícara?
0xc8ef6,"Há regras neste lugar, saiba.\n"
0xc8f21,Quem entra deve participar de ao menos uma\n
0xc8f4e,beba comigo.
0xc8f5d,"Você entrou, portanto as regras devem ser\n"
0xc8f8a,observei.
0xc8f94,...Hein?
0xc8f9c,Que regra incrível é essa? Beber no\n
0xc8fc9,"meio do dia? Ultrajante, certamente."
0xc8ff0,"Claro, não quero quebrar as regras,\n"
0xc901e,então ACHO que não tenho escolha. Só vou\n
0xc904c,a beber.
0xc9056,Passo logo ao sofá e aproveito\n
0xc9083,mim uma garrafa de formato esquisito próxima.
0xc90aa,"Ora, vamos. Não sou bárbara. Seria\n"
0xc90db,indecoroso deixar um hóspede servir sua própria bebida.
0xc9107,"A mulher toma a garrafa das minhas mãos,\n"
0xc9133,inclinando-a na minha direção como oferta.
0xc9155,"Que tal começarmos com apenas uma xícara, então?"
0xc9181,"...Uau, uau."
0xc9190,Seu ar gracioso e sincero me pega desprevenido\n
0xc91c0,"de novo, e minha xícara quase transborda."
0xc91e9,"Bem, então. Sem mais delongas..."
0xc9206,Levo a xícara aos lábios e bebo fundo.
0xc9233,Ahh... É bem bom mesmo.
0xc9251,"Sabores suaves e ricos, levemente doces e\n"
0xc927c,"frescor brilhante, sem falar no\n"
0xc92ab,aroma...
0xc92b4,"Ufa. Isso, sim, é o verdadeiro prazer de apreciar\n"
0xc92e4,algo ao máximo.
0xc92fe,Me pergunto que tipo de álcool é isto...?
0xc9328,"Diria que nunca provei nada igual,\n"
0xc935a,mas é um... sabor nostálgico?
0xc937a,"Definitivamente já bebi isto antes, mas onde...?"
0xc93a9,O que é isto?
0xc93b7,"Hm, gostou? É nada menos que o\n"
0xc93e5,joia rara das minhas reservas. Uma obra-prima.
0xc9410,"É de origem estrangeira, claro, então pode\n"
0xc943f,soar estranho a você.
0xc9455,Estrangeiro?
0xc945e,"Quase me lembro de algo, mas o álcool\n"
0xc948d,"começa a fazer efeito, e a memória\n"
0xc94bc,desaparece.
