offset,file,entry_idx,ptr_idx,text_en,byte_budget,speaker_code
AREAS005.DAT:8:0,AREAS005.DAT,8,0,"""You didn't get hurt[01]walking around the[01]village, did you?[02]The rooms here[01]aren't that big,[02]but you're welcome[01]to stay.""[12][86][0C][93]Rest[01]Diary[01]Never mind",201,
AREAS005.DAT:8:1,AREAS005.DAT,8,1,"""You didn't get hurt[01]walking around the[01]village, did you?[02]The rooms here[01]aren't that big,[02]but you're welcome[01]to stay.""[12][86][0C][93]Rest[01]Diary[01]Never mind",201,
AREAS005.DAT:8:3,AREAS005.DAT,8,3,"""This kind of trap's[01]called a bear trap.[02]It's important to[01]get the right kind[01]of spring,[02]and make sure the[01]teeth are nice and[01]sharp!""",187,
AREAS005.DAT:8:4,AREAS005.DAT,8,4,"""The mayor here is[01]a little eccentric...[02]He loves traps--[01]that's why the[02]village is full[01]of them! Only problem[01]is,[02]we get caught in them[01]ourselves sometimes!""",222,
AREAS005.DAT:8:5,AREAS005.DAT,8,5,"""Mayor said the best[01]way to keep the[02]village safe is to[01]rig it with traps!""",106,
AREAS005.DAT:8:7,AREAS005.DAT,8,7,"[14][80]@""[0A][06]Drop-in's, bonza![01]How's about a[01]flutter?""[02][14][FF][FF][14]",73,[14][80]
AREAS005.DAT:8:8,AREAS005.DAT,8,8,What's he talking about?[01]Tell him...[12],52,
AREAS005.DAT:8:9,AREAS005.DAT,8,9,"[14][80]@""[0A][06]No good, mate, but[01]you sure put in the[01]big ones!""[02][14][FF][FF][14]",85,[14][80]
AREAS005.DAT:8:10,AREAS005.DAT,8,10,"[14][80]@""[0A][06]Now I'm chuffed. You[01]gonna play with me?""[12][01][0C][13]Yes[01]No[01]What do you want to[08]   play?",121,[14][80]
AREAS005.DAT:8:14,AREAS005.DAT,8,14,"[14][80]@""[0A][04]No good, mate![01]You lose!""",44,[14][80]
AREAS005.DAT:8:20,AREAS005.DAT,8,20,That must mean he's in the[01][10][02]woods[11] to the west...Right?,79,
AREAS005.DAT:8:21,AREAS005.DAT,8,21,"[14][01][01]""Bet you've never[01]seen a village like[01]this before!""",76,[14][01]
AREAS005.DAT:8:22,AREAS005.DAT,8,22,"[0C][03][14][02][02]""Um...[0B]Well, no...""",34,
AREAS005.DAT:8:23,AREAS005.DAT,8,23,"[0C][04][14][81]A""Well, there's a good[01]reason for all the[01]traps.""",75,
AREAS005.DAT:8:25,AREAS005.DAT,8,25,"[0C][04][14][81]A""Oh...Knew about that[01]already, did you?""",63,
AREAS005.DAT:8:26,AREAS005.DAT,8,26,"[14][81]A""That's right![02]There's a passageway[01]to Synesta here.""",79,[14][81]
AREAS005.DAT:8:27,AREAS005.DAT,8,27,"[14][81]A""A lot of people from[01]Synesta fled here[02]during the war using[01]it.""",96,[14][81]
AREAS005.DAT:8:28,AREAS005.DAT,8,28,"[0C][04][14][81]A""Even though the war[01]may be over,[02]it's our job to[01]protect it, in case[02]anyone ever needs[01]to use it again.""",155,
AREAS005.DAT:8:30,AREAS005.DAT,8,30,"[0C][04][14][81]A""Well...[0B]...[0B][02]Sure, why not?[02]You don't look like[01]Imperial types...""",101,
AREAS005.DAT:8:31,AREAS005.DAT,8,31,"[0C][04][14][81]A""I'll open up the[01]passageway tomorrow[01]morning.[02]You can stay at the[01]inn until then.""",124,
AREAS005.DAT:8:33,AREAS005.DAT,8,33,"[14][81]A""Hmmm...[0B][0B]Huh?[01]Mmmm....[02]I've almost got an[01]idea for a new trap[01]worked out...""",113,[14][81]
AREAS005.DAT:8:34,AREAS005.DAT,8,34,"[14][81]A""Hmmm...[0B][0B]Huh?[01]Mmmm....[02]I've almost got an[01]idea for a new trap[01]worked out...""",113,[14][81]
