offset,text_en,byte_budget
STR_DIALOGS_PLAINS3_RESCUE_D1_SOLDIER_1,Get back! Don't come any closer! I know what you're trying to do!,65
STR_DIALOGS_PLAINS3_RESCUE_D2_EUDER_1,"We heroes always arrive at the last second, have no fear!",57
STR_DIALOGS_PLAINS3_RESCUE_D3_VALKIRIE1_1,Wait! You weren't going to intervene... were you?,49
STR_DIALOGS_PLAINS3_RESCUE_D3_VALKIRIE2_2,"You heard Liandris. These beings are not part of this, nor were they brought by us. We cannot ignore them any longer.",117
STR_DIALOGS_PLAINS3_RESCUE_D4_VALKIRIE2_1,"It hasn't touched him, but he's suffered a fall. Take him to the city quickly, he will recover.",95
STR_DIALOGS_PLAINS3_RESCUE_D4_EUDER_2,But of course...,16
STR_DIALOGS_PLAINS3_RESCUE_D4_VALKIRIE2_3,...,3
STR_DIALOGS_PLAINS3_RESCUE_D4_EUDER_4,Erm... Are you alright?,23
STR_DIALOGS_PLAINS3_RESCUE_D4_VALKIRIE2_5,...ng...,8
STR_DIALOGS_PLAINS3_RESCUE_D5_EUDER_1,Is it something I said?,23
STR_DIALOGS_PLAINS3_RESCUE_D5_VALKIRIE1_2,Sangrigor! What's happening?!,29
STR_DIALOGS_PLAINS3_RESCUE_D5_SANGRIGOR_3,WHAT'S HAPP...,14
STR_DIALOGS_PLAINS3_RESCUE_D6_VALKIRIE1_1,Sangrigor!,10
STR_DIALOGS_PLAINS3_RESCUE_D6_SANGRIGOR_2,AAAH!,5
STR_DIALOGS_PLAINS3_RESCUE_D7_VALKIRIE1_1,Wait!,5
STR_DIALOGS_PLAINS3_RESCUE_D7_VALKIRIE1_2,"(Sangrigor... Hmm, I don't see that parasite anywhere either. I must tell Liandris)",83
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_1,"Wow, I don't normally have that effect on people...",51
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_2,"What exactly just happened? Because, if you know, I'd quite like to be made aware.",82
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_3,Oh! I nearly forgot! I need to take him to the city. That old owl will know what to do.,87
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_4,"Aw, I'm missing out on all the fun. Captain's duties, I guess. I'll leave you to carry on. Be good.",99
STR_DIALOGS_PLAINS3_RESCUE_D8_EUDER_5,Giddy up!,9
