offset,text_en,byte_budget
STR_DIALOGS_FT_D1_FT7_RATATOSK_1,Cursed pest.,12
STR_DIALOGS_FT_D1_FT7_RATATOSK_2,Did you think I'd just sit by while you slipped behind my back?,63
STR_DIALOGS_FT_D1_FT7_MELIAN_3,Ugh...,6
STR_DIALOGS_FT_D1_FT7_RATATOSK_4,Do I look like a Valkyrie to you? A fluttering fool bound to inaction?,70
STR_DIALOGS_FT_D1_FT7_MELIAN_5,No... more like a giant rodent...,33
STR_DIALOGS_FT_D1_FT7_RATATOSK_6,How dare you?!,14
STR_DIALOGS_FT_D2_FT7_RATATOSK_1,Another bloodsucker...,22
STR_DIALOGS_FT_D2_FT7_RATATOSK_2,"Alright then, I'll make this quick.",35
STR_DIALOGS_FT_D3_FT7_SIRFIEL_1,"Step away from them, beast!",27
STR_DIALOGS_FT_D3_FT7_RATATOSK_2,You know... You're starting to become very annoying.,52
STR_DIALOGS_FT_D3_FT7_SIRFIEL_3,"Whatever you say, but touch them and it'll be the last thing you do.",68
STR_DIALOGS_FT_D3_FT7_RATATOSK_4,Big words for someone so insignificant.,39
STR_DIALOGS_FT_D3_FT7_SIRFIEL_5,"Don't underestimate the power of insignificance, monster.",57
STR_DIALOGS_FT_D3_FT7_RATATOSK_6,What...?,8
STR_DIALOGS_FT_D3_FT7_SIRFIEL_7,You- You heard me!,18
STR_DIALOGS_FT_D3_FT7_RATATOSK_8,"Oh, how I despise you mortals, always punching above your own weight.",69
STR_DIALOGS_FT_D3_FT7_RATATOSK_9,I don't have time for your nonsense.,36
STR_DIALOGS_FT_D4_FT7_SIRFIEL_1,"Good, looks like he's gone.",27
STR_DIALOGS_FT_D4_FT7_SIRFIEL_2,I don't think the two of us would have been able to take that thing on.,71
STR_DIALOGS_FT_D5_FT7_SIRFIEL_1,Melian!,7
STR_DIALOGS_FT_D6_FT7_SIRFIEL_1,Melian!,7
STR_DIALOGS_FT_D6_FT7_SIRFIEL_2,"Melian, can you hear me?!",25
STR_DIALOGS_FT_D7_FT7_SIRFIEL_1,"I knew you'd picked up the other volcanic pendant. Melian, how could you? Why did you have to get involved in this by yourself? You don't need to prove anything!",161
STR_DIALOGS_FT_D7_FT7_MELIAN_2,"Heh... Look at me... Relying on you again, as always. You must be fed up of it. You should just leave me here, I'll be less of a burden on you and the rest.",156
STR_DIALOGS_FT_D7_FT7_SIRFIEL_3,Don't ever say that again! You know that you're all I have left since mum and dad died. I don't want... I don't want the same thing to happen with you. You hear me?!,165
STR_DIALOGS_FT_D7_FT7_MELIAN_4,I miss them too... Is that why they never ask me to join in? So that you can take care of me?,93
STR_DIALOGS_FT_D7_FT7_SIRFIEL_5,"No, idiot... It's because I only feel protected when you're around, because I know that no one would worry about me like you would.",131
STR_DIALOGS_FT_D7_FT7_MELIAN_6,...,3
STR_DIALOGS_FT_D7_FT7_MELIAN_7,"I didn't know... I suppose it's painful to talk about it. Looks like all we have is each other, right?",102
STR_DIALOGS_FT_D7_FT7_SIRFIEL_8,"Don't ever do this to me again... From now on, we'll take care of each other, just as mum and dad want. Deal?",109
STR_DIALOGS_FT_D7_FT7_MELIAN_9,You and me against the world. Doesn't sound too bad... Deal.,60
STR_DIALOGS_FT_D7_FT7_SIRFIEL_10,"We should head back. If we don't take care of these wounds soon, they could get serious.",88
STR_DIALOGS_FT_D7_FT7_SIRFIEL_11,"You're coming too, soldier.",27
STR_DIALOGS_FT_D7_FT7_MELIAN_12,"Sirfiel, wait.",14
STR_DIALOGS_FT_D7_FT7_MELIAN_13,Friend... You must stop him.,28
STR_DIALOGS_FT_D8_FT7_SIRFIEL_1,Are you crazy?,14
STR_DIALOGS_FT_D8_FT7_SIRFIEL_2,You want to go after that monster?,34
STR_DIALOGS_FT_D8_FT7_MELIAN_3,"Sirfiel, it's important. Something terrible will happen if nobody stops him.",76
STR_DIALOGS_FT_D9_FT7_SIRFIEL_1,"I don't know what you've got yourself into, but we can't send reinforcements here, I don't have enough materials for more amulets either. You best be extra cautious if you plan to face that monster and come back in one piece.",225
STR_DIALOGS_FT_D9_FT7_MELIAN_2,"Come closer, friend, I have to tell you something...",52
STR_DIALOGS_FT_D9_FT7_MELIAN_3,I can't use this anymore. I'd like you to keep it and continue what we've started. You know what's at stake...,110
STR_DIALOGS_FT_D10_FT7_SIRFIEL_1,You haven't let go of that orb since you found it. Will that be enough to save him?,83
STR_DIALOGS_FT_D10_FT7_MELIAN_2,"Don't worry, sister. He knows how to take care of himself.",58
STR_DIALOGS_FT_D10_FT7_SIRFIEL_3,Alright...,10
STR_DIALOGS_FT_D10_FT7_SIRFIEL_4,We're leaving. Come back soon or I'll have to worry Brigard.,60
STR_DIALOGS_FT_D11_FTBOSS_RATATOSK_1,"Look at it. The gift of the Gods, Yggdrasil.",44
STR_DIALOGS_FT_D11_FTBOSS_RATATOSK_2,"Some worship it, others fear it.",32
STR_DIALOGS_FT_D11_FTBOSS_RATATOSK_3,"But wherever it is, this tree has the ability to change the fate of the world.",78
STR_DIALOGS_FT_D11_FTBOSS_RATATOSK_4,"Even in Terragaya, where it has stayed hidden for millennia.",60
STR_DIALOGS_FT_D12_FTBOSS_RATATOSK_1,"What are you doing here, mortal?",32
STR_DIALOGS_FT_D12_FTBOSS_RATATOSK_2,You're in such a rush to die that you can't wait until I'm done with Yggdrasil?,79
STR_DIALOGS_FT_D12_FTBOSS_RATATOSK_3,"Alright. If that's what you want, you'll get one chance to stop me.",67
STR_DIALOGS_FT_D12_FTBOSS_RATATOSK_4,"After this, I'll bite its roots and everything will end.",56
STR_DIALOGS_FT_D12_FTBOSS_RATATOSK_5,Show me the determination that brought you here! Defend yourself!,65
STR_DIALOGS_FT_D13_FTBOSS_RATATOSK_1,Ugh...,6
STR_DIALOGS_FT_D13_FTBOSS_RATATOSK_2,I hope you know the consequences of what you've avoided here...,63
STR_DIALOGS_FT_D13_FTBOSS_RATATOSK_3,"If you're that desperate to find the Guardian, I'll tell you where he is.",73
STR_DIALOGS_FT_D13_FTBOSS_RATATOSK_4,"Head east until you reach a large platform. On it, place this cube. It's a key. It'll take you to the place you're looking for.",127
STR_DIALOGS_FT_D14_FTBOSS_RATATOSK_1,Now it's on you to fix this.,28
STR_DIALOGS_FT_D14_FTBOSS_RATATOSK_2,...,3
STR_DIALOGS_FT_D15_FTBOSS_LIANDRIS_1,What an unfortunate sight... I don't think you're capable of finishing off those roots right now.,97
STR_DIALOGS_FT_D15_FTBOSS_RATATOSK_2,I suppose those mortals weren't following me for the sake of it....,67
STR_DIALOGS_FT_D15_FTBOSS_LIANDRIS_3,What will happen with the plague now if you don't destroy the tree? And why have you given that Human the key to Beigon?,120
STR_DIALOGS_FT_D15_FTBOSS_RATATOSK_4,"You know very well what will happen. You yourself have seen how unstoppable it is. At this rate, it'll wipe everything out, and it'll be just a matter of time before it reaches the Sea of Oberon.",195
STR_DIALOGS_FT_D15_FTBOSS_LIANDRIS_5,They're that afraid of it?,26
STR_DIALOGS_FT_D15_FTBOSS_RATATOSK_6,"You've instilled those little mortals with so much confidence, at least get them to the end. The plague's origin lies there. That's why I took the key, so no one could open the Guardian's chamber. But I'm guessing you knew all that...",234
STR_DIALOGS_FT_D15_FTBOSS_LIANDRIS_7,Are you sure about this?,24
STR_DIALOGS_FT_D15_FTBOSS_RATATOSK_8,My nose never fails me. Now it's up to you to do something.,59
STR_DIALOGS_FT_D15_FTBOSS_LIANDRIS_9,...,3
STR_DIALOGS_FT_D16_FT6_DARK_RAZOR_1,Huh?,4
STR_DIALOGS_FT_D16_FT6_DARK_RAZOR_2,So it's still not over then?,28
STR_DIALOGS_FT_D16_FT6_DARK_RAZOR_3,"Alright, I wouldn't want to disappoint..",40
STR_DIALOGS_FT_D17_FT6_DARK_RAZOR_1,First that monster and now you.,31
STR_DIALOGS_FT_D17_FT6_DARK_RAZOR_2,Did it really have to end like this...?,39
STR_DIALOGS_FT_D18_FT4_SUMMONERSOUL_1,Soooldier... No kiiill...,25
STR_DIALOGS_FT_D18_FT4_SUMMONERSOUL_2,Soul want play gaaame...,24
STR_DIALOGS_FT_D18_FT4_SUMMONERSOUL_3,Guess chest with rewaaard...,28
STR_DIALOGS_FT_D18_FT4_SUMMONERSOUL_4,If right many tiiime... soul give giiiift...,44
STR_DIALOGS_FT_D18_FT4_SUMMONERSOUL_5,Soul give giiift...,19
STR_DIALOGS_FT_D18_FT4_SUMMONERSOUL_6,But if wrooong... must kiiill...,32
STR_DIALOGS_FT_D18_FT4_SUMMONERSOUL_7,Want giiift...?,15
STR_DIALOGS_FT_D19_FT4_SUMMONERSOUL_1,Choose wiiiisely...,19
STR_DIALOGS_FT_D20_FT4_SUMMONERSOUL_1,Soul waaiit until change miiind...,34
STR_DIALOGS_FT_D21_FT4_SUMMONERSOUL_1,If right many tiiime... soul give giiiift...,44
STR_DIALOGS_FT_D21_FT4_SUMMONERSOUL_2,But if wrooong... must kiiill...,32
STR_DIALOGS_FT_D21_FT4_SUMMONERSOUL_3,Want giiift...?,15
STR_DIALOGS_FT_D22_FT4_SUMMONERSOUL_1,Must kiiilll...,15
STR_DIALOGS_FT_D23_FT4_SUMMONERSOUL_1,Gift cloooser...,16
