offset,text_en,byte_budget
STR_DIALOGS_TOWN_AFT_D1_BRIGARD_1,"Soldier, you're here. You had me worried.",41
STR_DIALOGS_TOWN_AFT_D1_BRIGARD_2,Sirfiel has informed me that the situation was critical.,56
STR_DIALOGS_TOWN_AFT_D1_BRIGARD_3,"What's more, that soldier Melian has returned and is in a very bad way.",71
STR_DIALOGS_TOWN_AFT_D1_BRIGARD_4,"As much as it bothers me, I could do nothing more than wait for you to return safe and sound and, somehow, you always do.",121
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_1,You mean to say he revealed the location of the Guardian to you?,64
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_2,Do you think the information is trustworthy this time?,54
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_3,I see...,8
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_4,"Say no more! If there's anything I've learnt from your reports, it's that you're an intuitive soldier.",102
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_5,Our departure from this city nears. The search for the Guardian begins Tomorrow.,80
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_6,Try to use what's left of the day to rest. Tomorrow we march for <color=LOC>Hel Swamp</color>.,94
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_7,"That's everything for now. You may leave, soldier.",50
STR_DIALOGS_TOWN_AFT_D2_BRIGARD_8,Well done.,10
STR_DIALOGS_TOWN_AFT_D3_EDIL_1,"Hey, soldier!",13
STR_DIALOGS_TOWN_AFT_D3_EDIL_2,Can't sleep either?,19
STR_DIALOGS_TOWN_AFT_D3_EDIL_3,"I can't sleep a wink, but for a pretty different reason to yours.",65
STR_DIALOGS_TOWN_AFT_D3_EDIL_4,A little birdy told me that you've found out where the Guardian is and you're planning to go and find him so that you can go back to your world.,144
STR_DIALOGS_TOWN_AFT_D3_EDIL_5,"I hope you can. After everything you've done, you deserve it.",61
STR_DIALOGS_TOWN_AFT_D3_EDIL_6,"Oh, no, no... I don't claim to know where he is. One day, I'll look for him too.",80
STR_DIALOGS_TOWN_AFT_D3_EDIL_7,"I know that my time's passed, but I feel like that I have to do it to see what's out there for me.",98
STR_DIALOGS_TOWN_AFT_D3_EDIL_8,"It makes me sad to think you're all leaving tomorrow. It's been fun to have guests like you guys, and I've learnt a tonne of things besides magic, for a change...",162
STR_DIALOGS_TOWN_AFT_D4_EDIL_1,"That reminds me... I have a reward for you, to thank you for that sword you got me.",83
STR_DIALOGS_TOWN_AFT_D5_EDIL_1,You know? I think it's the first time I've seen you rest since you arrived.,75
STR_DIALOGS_TOWN_AFT_D5_EDIL_2,"Anyway, I think it's time I try to get some sleep. Don't stay up all night, you'll want to be in good shape for tomorrow.",121
STR_DIALOGS_TOWN_AFT_D5_EDIL_3,"I'll leave you with your thoughts. Good luck, whatever happens.",63
STR_DIALOGS_TOWN_AFT_D6_EDIL_1,Beigon...,9
STR_DIALOGS_TOWN_AFT_D6_EDIL_2,That's the Guardian's name.,27
STR_DIALOGS_TOWN_AFT_D6_EDIL_3,Jivan told me it once.,22
STR_DIALOGS_TOWN_AFT_D6_EDIL_4,Sleep well.,11
