offset,text_en,byte_budget
STR_DIALOGS_TOWN_AAF_D1_JIVAN_1,It's a good thing the messenger found you in time. I don't believe I can use this spell again for a while.,106
STR_DIALOGS_TOWN_AAF_D1_JIVAN_2,But we cannot wait any longer. I can't lose Edil.,49
STR_DIALOGS_TOWN_AAF_D2_JIVAN_1,It's taken more of my energy that I thought it would. Such power...,67
STR_DIALOGS_TOWN_AAF_D3_EDIL_1,Old man...?,11
STR_DIALOGS_TOWN_AAF_D4_JIVAN_1,Edil?,5
STR_DIALOGS_TOWN_AAF_D4_JIVAN_2,Edil!,5
STR_DIALOGS_TOWN_AAF_D5_JIVAN_1,"You're safe now, Edil, there's nothing to be afraid of.",55
STR_DIALOGS_TOWN_AAF_D5_EDIL_2,"One of those things got me, didn't it?",38
STR_DIALOGS_TOWN_AAF_D5_EDIL_3,"I could feel how it was trying to take over me, but I resisted. Sometimes I was even able to make out your voices.",114
STR_DIALOGS_TOWN_AAF_D5_JIVAN_4,"I can't even imagine what you've been through, my poor girl.",60
STR_DIALOGS_TOWN_AAF_D5_EDIL_5,I'm lucky you were there.,25
STR_DIALOGS_TOWN_AAF_D6_BRIGARD_1,"GET BACK, SOLDIER!",18
STR_DIALOGS_TOWN_AAF_D6_BRIGARD_2,Uh... What? Where are we?,25
STR_DIALOGS_TOWN_AAF_D7_JIVAN_1,"It's alright, General, you're safe now. We're in Hafin, in my observatory.",74
STR_DIALOGS_TOWN_AAF_D7_BRIGARD_2,...,3
STR_DIALOGS_TOWN_AAF_D7_BRIGARD_3,I understand... I'm sorry for anything I did.,45
STR_DIALOGS_TOWN_AAF_D8_JIVAN_1,Liandris... It's been some time.,32
STR_DIALOGS_TOWN_AAF_D8_JIVAN_2,"If you're showing your face around Hafin, it must be for something important. What's going on?",94
STR_DIALOGS_TOWN_AAF_D8_LIANDRIS_3,You tell me. I'm here for answers.,34
STR_DIALOGS_TOWN_AAF_D8_LIANDRIS_4,I need to speak with the Human general.,39
STR_DIALOGS_TOWN_AAF_D9_BRIGARD_1,Me?,3
STR_DIALOGS_TOWN_AAF_D10_LIANDRIS_1,You were trapped by one of those things. Tell me what happened.,63
STR_DIALOGS_TOWN_AAF_D10_BRIGARD_2,"I saw... I could see thousands of eyes in the shadows, looking at me and, then, just darkness. I can't explain it... You feel as if an overwhelming force takes over from within and, once it's finished, you stop resisting because it's now part of you...",252
STR_DIALOGS_TOWN_AAF_D10_LIANDRIS_3,That's it? It seems that Sangrigor saw more than that.,54
STR_DIALOGS_TOWN_AAF_D11_JIVAN_1,A Valkyrie has been infected?,29
STR_DIALOGS_TOWN_AAF_D11_JIVAN_2,"Bring her here. While I'm not yet ready, I'm willing to try to...",65
STR_DIALOGS_TOWN_AAF_D11_LIANDRIS_3,"Save your strength, elder. She pulled out the parasite herself, right before my eyes, and nothing happened.",107
STR_DIALOGS_TOWN_AAF_D11_JIVAN_4,"That's possible? She should return to normal, as they did.",58
STR_DIALOGS_TOWN_AAF_D11_LIANDRIS_5,I cannot waste any more time. I must find her.,46
STR_DIALOGS_TOWN_AAF_D11_BIS_JIVAN_1,I have a bad feeling about this...,34
STR_DIALOGS_TOWN_AAF_D12_EDIL_1,"Hey, you're the soldier that fought alongside me to defend Hafin. I know you helped Jivan in getting me better.",111
STR_DIALOGS_TOWN_AAF_D12_EDIL_2,Thank you.,10
STR_DIALOGS_TOWN_AAF_D13_JIVAN_1,What's happening now?,21
STR_DIALOGS_TOWN_AAF_D13_JIVAN_2,"Don't move, Edil. I'll be back once I've found out what's going on.",67
STR_DIALOGS_TOWN_AAF_D14_MELIAN_1,Ouch! Again.,12
STR_DIALOGS_TOWN_AAF_D15_MELIAN_1,Does anyone know what's happening?,34
STR_DIALOGS_TOWN_AAF_D15_JIVAN_2,"I was hoping to find out, soldier.",34
STR_DIALOGS_TOWN_AAF_D16_MELIAN_1,"Wait! The honourable Jivan, I assume?",37
STR_DIALOGS_TOWN_AAF_D16_JIVAN_2,There's no need for formalities.,32
STR_DIALOGS_TOWN_AAF_D16_MELIAN_3,I know. Are you perhaps thinking of asking that soldier to investigate?,71
STR_DIALOGS_TOWN_AAF_D17_JIVAN_1,Actually...,11
STR_DIALOGS_TOWN_AAF_D17_MELIAN_2,"Don't worry, I know exactly what he's capable of, but, this time, he won't go alone. I'm ready to leave my post and head out on an adventure.",141
STR_DIALOGS_TOWN_AAF_D17_JIVAN_3,Alright... It's true that I haven't recovered my strength after using so much energy.,85
