offset,text_target
STR_DIALOGS_HEAVENTOWER_D1_EUDER_1,"Aquilo foi meio imprudente. Se não se agarrar bem em mim, você cai."
STR_DIALOGS_HEAVENTOWER_D1_SINKA_2,Tsk... Prefiro correr esse risco mesmo.
STR_DIALOGS_HEAVENTOWER_D1_EUDER_3,"Ei, foi você quem insistiu pra eu te trazer aqui."
STR_DIALOGS_HEAVENTOWER_D1_EUDER_4,"E aí, meu amiguinho! Parece que esse soldado aqui tava preocupado com você."
STR_DIALOGS_HEAVENTOWER_D1_SINKA_5,Eu não tava...!
STR_DIALOGS_HEAVENTOWER_D1_SINKA_6,"...Tá, talvez eu tivesse um pouco preocupado. Afinal, ele é o único aqui que tá fazendo algo pra mudar as coisas."
STR_DIALOGS_HEAVENTOWER_D1_EUDER_7,"Vou levar isso como 'Obrigado, Captain Euder, homem mais lindo e corajoso, pela sua bravura'."
STR_DIALOGS_HEAVENTOWER_D1_SINKA_8,Tsk...
STR_DIALOGS_HEAVENTOWER_D1_SINKA_9,"Ei, por que ainda tá aqui? Cê não acompanhou? Vamos cuidar desses insetos, vai embora!"
STR_DIALOGS_HEAVENTOWER_D1_EUDER_10,"Vai lá, meu amiguinho, não desperdice mais tempo. Cê tava prestes a fazer algo importante, lembra?"
STR_DIALOGS_HEAVENTOWER_D2_MELIAN_1,Achei você!
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_2,"Cuidado, Melian, estamos cercados!"
STR_DIALOGS_HEAVENTOWER_D2_MELIAN_3,"Meu coração tá acelerado demais! Tamo perto demais, amigo!"
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_4,Concentra e não tira o olho deles.
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_5,"Sai daqui, soldado. A gente cuida disso."
STR_DIALOGS_HEAVENTOWER_D2_MELIAN_6,"Fica tranquilo, ainda consigo usar um pouco de magia graças à minha irmã."
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_7,Claro. Acho que eu sou melhor nisso.
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_8,"Vai lá, não demora mais não. Tamo com você num piscar. Vamo!"
STR_DIALOGS_HEAVENTOWER_D2_MELIAN_9,"Até lá na frente, amigo."
STR_DIALOGS_HEAVENTOWER_D3_ADAMONT_1,Rapaz!
STR_DIALOGS_HEAVENTOWER_D3_ADAMONT_2,"General, achamo ele."
STR_DIALOGS_HEAVENTOWER_D3_BRIGARD_3,"Soldado, foi imprudente vir sozinho."
STR_DIALOGS_HEAVENTOWER_D3_BRIGARD_4,Entretanto...
STR_DIALOGS_HEAVENTOWER_D3_BRIGARD_5,"Sem sua imprudência, não teríamos avançado tanto."
STR_DIALOGS_HEAVENTOWER_D4_ADAMONT_1,General...
STR_DIALOGS_HEAVENTOWER_D5_ADAMONT_1,"Cê ouviu, continua enquanto a gente cuida dessas malditas criaturas."
STR_DIALOGS_HEAVENTOWER_D6_BRIGARD_1,"Avançe, soldado. Termine o que começou. Ordem!"
STR_DIALOGS_HEAVENTOWER_D6_BRIGARD_2,Até lá em cima.
STR_DIALOGS_HEAVENTOWER_D6_ADAMONT_3,"Bom trabalho, rapaz!"
STR_DIALOGS_HEAVENTOWER_D7_LIANDRIS_1,"Soldado, alcançaste o fim de tua jornada."
STR_DIALOGS_HEAVENTOWER_D7_LIANDRIS_2,"Estamos diante dos portais de Beigon, o Guardião."
STR_DIALOGS_HEAVENTOWER_D8_LIANDRIS_1,"Há milênios, as almas dos caídos viajavam diretamente para a terra dos Deuses."
STR_DIALOGS_HEAVENTOWER_D8_LIANDRIS_2,Agora esse destino é reservado apenas aos mais tenacidade dos campeões...
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_1,Como tu e tua espécie.
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_2,Mas precisas saber algo. Tenho razões para crer que a praga sombria aterradora que tiveste de enfrentar muitas vezes possa ter origem naquela sala.
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_3,"Não posso estar certo até abrires, mas não tenhas medo."
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_4,Estarei te observando quando entrares.
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_5,"Se algo der errado, intervirei."
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_6,"Avança, bravo guerreiro, e enfrenta o último de todos os destinos."
STR_DIALOGS_HEAVENTOWER_D10_BEIGON_1,Não devias ter fechado aquela porta...
STR_DIALOGS_HEAVENTOWER_D10_BEIGON_2,Não importa. O fato de estares aqui significa que funcionou.
STR_DIALOGS_HEAVENTOWER_D10_BEIGON_3,"Serás o primeiro de uma maré de almas aneelando encontrar este lugar, esperando completar sua 'grande jornada'."
STR_DIALOGS_HEAVENTOWER_D10_BEIGON_4,"Não tenhas medo, pois a salvação está ao alcance."
STR_DIALOGS_HEAVENTOWER_D11_LIANDRIS_1,"Soldado, aquilo não é o Guardião!"
STR_DIALOGS_HEAVENTOWER_D11_LIANDRIS_2,Beigon deixou milhar de guerreiros passarem pelo Ragnarok dos Deuses. Nunca diria algo assim.
STR_DIALOGS_HEAVENTOWER_D12_BEIGON_1,"Deuses, dizes? ...Aqueles Fae?"
STR_DIALOGS_HEAVENTOWER_D12_BEIGON_2,"Admito que não esperava encontrar um aqui, mas isto não muda nada."
STR_DIALOGS_HEAVENTOWER_D12_LIANDRIS_3,Quem és tu para ousar corromper o fluxo de almas estabelecido?
STR_DIALOGS_HEAVENTOWER_D12_LIANDRIS_4,Fala!
STR_DIALOGS_HEAVENTOWER_D13_BEIGON_1,Silêncio!
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_1,Valquírias...
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_2,Carcaças inúteis sem alma nem senso.
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_3,"Embora, tuas palavras soem verdadeiras. Não sou Beigon. Mas, comigo, um destino muito mais grandioso do que és preparado aguarda-te."
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_4,"Porque de mim, minha espécie e todos no cosmos transcenderão além das vidas mortais."
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_5,Viverão por eternidade.
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_6,"Sem se preocupar com decadência corporal, Yggdrasil, ou aqueles Fae egoístas."
STR_DIALOGS_HEAVENTOWER_D15_BEIGON_1,"Não resistas. Uma vez que te tenha assimilado, estarás salvo."
STR_DIALOGS_HEAVENTOWER_D16_BEIGON_1,Fizeste bom trabalho achando esses orbes.
STR_DIALOGS_HEAVENTOWER_D16_BEIGON_2,"É afortunado que, mesmo usando seu poder, permaneçam em seus vasos. Poderei extraí-los sem te destruir."
STR_DIALOGS_HEAVENTOWER_D16_BEIGON_3,Seria tal desperdício se tua essência se perdesse no vazio.
STR_DIALOGS_HEAVENTOWER_D17_UNKNOWN_1,O quê? É só isso?
STR_DIALOGS_HEAVENTOWER_D17_UNKNOWN_2,Você ainda não percebeu?
STR_DIALOGS_HEAVENTOWER_D17_UNKNOWN_3,Certamente não acha que foram só essas esferas que o trouxeram aqui?
