offset,text_target
STR_DIALOGS_FOREST_F17_D1_LIANDRIS_1,A ordem é irrevogável?
STR_DIALOGS_FOREST_F17_D1_RATATOSK_2,Não estão tomando risco algum. A praga desconhecida deixou os superiores em alerta.
STR_DIALOGS_FOREST_F17_D1_LIANDRIS_3,Tantas almas serão perdidas.
STR_DIALOGS_FOREST_F17_D1_RATATOSK_4,"Não, apenas encontrarão o destino mais cedo, como todos os desajustados que este planeta abriga."
STR_DIALOGS_FOREST_F17_D2_LIANDRIS_1,"Entendo. Assim, matarão dois coelhos com uma cajadada."
STR_DIALOGS_FOREST_F17_D2_RATATOSK_2,"Questionando algo, Liandris?"
STR_DIALOGS_FOREST_F17_D2_LIANDRIS_3,"Não, apenas que..."
STR_DIALOGS_FOREST_F17_D3_RATATOSK_1,Você perdeu uma Valquíria. Nunca aconteceu antes. Eles não querem mais riscos te deixando aqui.
STR_DIALOGS_FOREST_F17_D3_LIANDRIS_2,E se Yggdrasil for descoberto? Plantá-lo violou o acordo.
STR_DIALOGS_FOREST_F17_D3_RATATOSK_3,"Uma vez que destruir a árvore, não haverá quem julgue isso."
STR_DIALOGS_FOREST_F17_D3_LIANDRIS_4,Faça o que é preciso.
STR_DIALOGS_FOREST_F17_D3_RATATOSK_5,"Afastem-nos de Terragaya, não vou perder mais tempo."
STR_DIALOGS_FOREST_F17_D4_LIANDRIS_1,"Soldado, não tenha medo, aproxime-se."
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_1,Parece que o destino quis você aqui neste momento.
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_2,Viu a criatura que acabou de partir?
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_3,No centro deste mundo existe uma árvore que talvez lhe seja familiar.
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_4,"Yggdrasil. Tenho certeza de que, em seu mundo, ouviu falar dela ou até a viu."
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_5,"Plantada, Yggdrasil sustenta os fundamentos do mundo até morrer, causando explosão tão colossal que leva o planeta inteiro consigo."
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_6,Esse monstro existe para acelerar o processo devorando as raízes da árvore.
STR_DIALOGS_FOREST_F17_D5_LIANDRIS_7,"Se quer salvar a vida de seus amigos e de todos, terá de detê-lo antes que chegue às raízes de Yggdrasil."
STR_DIALOGS_FOREST_F17_D6_LIANDRIS_1,Não tão rápido. Você ainda não pode entrar nas profundezas. O calor é demais para você sobreviver.
STR_DIALOGS_FOREST_F17_D6_LIANDRIS_2,Encontre um jeito de se proteger do calor extremo e abrirei a porta do templo para você pessoalmente. A entrada fica a oeste daqui.
STR_DIALOGS_FOREST_F17_D6_LIANDRIS_3,"Apresse-se, Humano! Seu tempo está se esgotando!"
