canonical_name,category,aliases,importance,confidence,notes
Ryu,Personagem,,main,high,"Protagonista amnésico; metade do deus Yorae (lado da luz). Nome padrão 'Ryu' mas renomeável pelo jogador — aparece no corpus apenas via control code [04][01]. Pode se transformar em dragões. Voz: quieto, determinado. (cap.all)"
Fou-lu,Personagem,Fou Lu(none),main,high,"Co-protagonista/antagonista; outra metade do deus Yorae (lado sombrio). Acordou de 600 anos de sono; imperador da Fou Empire. Corpus confirma grafia 'Fou-lu' (item desc). Voz: imperial, arcaico, 1ª pessoa formal. (cap.all)"
Nina,Personagem,,main,high,"Princesa de Wyndia, povo com asas. Procura a irmã Elina. Nome via control code (0x). Voz: determinada, às vezes ingênua. (cap.all)"
Cray,Personagem,,main,high,"Guerreiro Woren (povo-tigre). Procura Elina, sua noiva. Nome via control code (0x). Voz: direto, protetor. (cap.all)"
Scias,Personagem,,secondary,high,Mercenário Grassrunner (povo-canino). Bebe; fala com gagueira no inglês. Nome via control code (0x). (cap.all)
Ursula,Personagem,,secondary,high,"Capitã/tenente da Fou Empire; inicialmente antagonista. Nome via control code (0x). Voz: militar, formal. (cap.all)"
Ershin,Personagem,,secondary,high,Armadura mecânica com consciência própria — contém a deusa Deis aprisionada. Fala em 3ª pessoa. Nome via control code (0x). (cap.all)
Elina,Personagem,,secondary,high,Irmã mais velha de Nina; noiva de Cray. Desapareceu em missão. 159x no corpus. SPOILER: destino = reveal tardio (quarentena). (cap.all)
Yuna,Personagem,Lord Yuna(none),secondary,high,Antagonista principal; general/cientista imperial que realiza experimentos com Endless. 88x no corpus ('Lord Yuna'). (cap.all)
Deis,Personagem,,secondary,high,Deusa/serpente aprisionada dentro da armadura Ershin. Fala por intermédio de Ershin. 55x no corpus ('Says Deis'). (cap.all)
Marlok,Personagem,,secondary,medium,Mercador/atravessador NPC. 69x no corpus; corpus confirma 'I am Marlok'. (cap.all)
Rasso,Personagem,Captain Rasso(none),background,medium,Capitão imperial. 4x no corpus ('Captain Rasso'). (cap.all)
Abbess,Personagem,,background,medium,Líder religiosa de monastério. 37x no corpus ('the Abbess\' home'). Título/cargo; manter 'Abbess' ou traduzir como 'Abadessa'. (cap.all)
Chino,Personagem,,background,low,Criança NPC. 48x no corpus ('Zoom! Catch me if you can!'). (cap.all)
Wyndia,Local,,main,high,"Reino dos Wyndians (povo com asas), terra natal de Nina. 143x no corpus (também nome de item/lure). (cap.all)"
Astana,Local,,secondary,medium,"Cidade onde a Carronade foi construída. 40x no corpus; corpus confirma 'This is Astana, where the Carronade was built.' (cap.all)"
Shikk,Local,,secondary,medium,Cidade costeira. 34x no corpus. (cap.all)
Lyp,Local,,secondary,medium,Cidade portuária. 25x no corpus. (cap.all)
Worent,Local,,secondary,medium,Aldeia/assentamento Woren. 24x no corpus. (cap.all)
Chek,Local,,secondary,medium,Aldeia sagrada; corpus define: 'Chek. That means Holy Place'. 17x. (cap.all)
Pung'tap,Local,,background,medium,"Torre do Vento; corpus define: 'Pung\'tap, which means The Tower of Wind'. 3x. (cap.all)"
Zhinga Mts,Local,Zhinga Mountains(none),background,medium,Cadeia montanhosa. 55x no corpus. (cap.all)
Koshka,Local,,background,low,Localidade no mapa. 9x no corpus (lista de locais). (cap.all)
Fou Empire,Facção,Empire(none),main,high,Império antagonista; governado por Fou-lu após seu despertar. 269x no corpus como 'Empire'. (cap.all)
Endless,Conceito,,main,high,Os deuses deste mundo — entidades sobrenaturais que habitam seres e locais. Corpus: 'The Endless are fading away. It would seem the gods are dead.' 72x. Decisão de localização: manter 'Endless' ou 'Eternos' — marcar para revisão humana. (cap.all)
Yorae Dragon,Conceito,,main,high,"Forma-dragão suprema gerada pela fusão de Ryu e Fou-lu. Corpus: 'Gods, you say? Yorae Dragon?' 71x. (cap.all)"
Kecak,Conceito,,secondary,medium,Jogo de dados/azar típico do mundo de BoF4. Corpus: 'You want to play Kecak with us?' 264x. Manter nome original. (cap.all)
Carronade,Conceito,hex cannon(none),secondary,medium,Arma imperial que usa sofrimento de uma pessoa viva para disparar maldição. Corpus: 'something called a Carronade to put a hex on its enemies.' 54x. (cap.all)
Faeries,Criatura,Faerie(none),secondary,medium,Pequenas criaturas feéricas que habitam a vila do protagonista e realizam tarefas. 72x no corpus. (cap.all)
Manillo,Criatura,,background,medium,Raça de povo-peixe mercador; troca peixes por itens raros. Corpus: 'Manillo Shop for rare and hard-to-find items.' 34x. (cap.all)
Woren,Cultural,,secondary,medium,Povo-tigre/guerreiro do mundo de BoF4; Cray é desta raça. Corpus: 'Worent' (aldeia). 78x (variantes). (cap.all)
Wyndian,Cultural,,secondary,medium,Povo de Wyndia com asas; Nina é deste povo. 41x no corpus ('ancient Wyndian hero'). (cap.all)
