offset,text_en,byte_budget
STR_DIALOGS_HEAVENTOWER_D1_EUDER_1,"That was a bit reckless. If you don't hold on to me tight, you could fall off.",78
STR_DIALOGS_HEAVENTOWER_D1_SINKA_2,Tsk... I think I'd rather take that risk.,41
STR_DIALOGS_HEAVENTOWER_D1_EUDER_3,"Hey, you were the one who insisted I bring you here.",52
STR_DIALOGS_HEAVENTOWER_D1_EUDER_4,"Greetings, by the way, my little friend. Looks like this soldier here was worried about you.",92
STR_DIALOGS_HEAVENTOWER_D1_SINKA_5,I was not...!,13
STR_DIALOGS_HEAVENTOWER_D1_SINKA_6,"...Okay, perhaps I was a little worried. After all, he's the only one around here doing something to change things.",115
STR_DIALOGS_HEAVENTOWER_D1_EUDER_7,"I'll take that as “Oh, thank you, most handsome, dashing Captain Euder, for your show of bravery”.",102
STR_DIALOGS_HEAVENTOWER_D1_SINKA_8,Tsk...,6
STR_DIALOGS_HEAVENTOWER_D1_SINKA_9,"Hey, what are you still doing here? You clearly haven't kept up... We're going to take care of those bugs, get going.",117
STR_DIALOGS_HEAVENTOWER_D1_EUDER_10,"Go on, my little friend, don't waste any more time. You were about to do something important, remember?",103
STR_DIALOGS_HEAVENTOWER_D2_MELIAN_1,Here you are!,13
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_2,"Careful, Melian, we're surrounded!",34
STR_DIALOGS_HEAVENTOWER_D2_MELIAN_3,"My heart's beating at a thousand times a minute! We're so close to getting it, friend!",86
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_4,Focus and don't take your eyes off them.,40
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_5,"Get out of here, soldier. We'll take care of this.",50
STR_DIALOGS_HEAVENTOWER_D2_MELIAN_6,"Don't worry, I can still use a bit of magic thanks to my sister.",64
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_7,Absolutely. I wonder who's best at it?,38
STR_DIALOGS_HEAVENTOWER_D2_SIRFIEL_8,"Go on, don't loiter any longer. We'll be with you in a blink of an eye. Let's go!",81
STR_DIALOGS_HEAVENTOWER_D2_MELIAN_9,"See you further ahead, friend.",30
STR_DIALOGS_HEAVENTOWER_D3_ADAMONT_1,Lad!,4
STR_DIALOGS_HEAVENTOWER_D3_ADAMONT_2,"General, we've found him.",25
STR_DIALOGS_HEAVENTOWER_D3_BRIGARD_3,"Soldier, it was reckless of you to come alone.",46
STR_DIALOGS_HEAVENTOWER_D3_BRIGARD_4,Although...,11
STR_DIALOGS_HEAVENTOWER_D3_BRIGARD_5,"Without your recklessness, we wouldn't have gotten so far.",58
STR_DIALOGS_HEAVENTOWER_D4_ADAMONT_1,General...,10
STR_DIALOGS_HEAVENTOWER_D5_ADAMONT_1,"You heard, carry on while we deal with these blasted creatures.",63
STR_DIALOGS_HEAVENTOWER_D6_BRIGARD_1,"Onwards, soldier. Finish what you started. That's an order!",59
STR_DIALOGS_HEAVENTOWER_D6_BRIGARD_2,We'll see you further up.,25
STR_DIALOGS_HEAVENTOWER_D6_ADAMONT_3,"Well done, lad!",15
STR_DIALOGS_HEAVENTOWER_D7_LIANDRIS_1,"Soldier, you have reached the end of your journey.",50
STR_DIALOGS_HEAVENTOWER_D7_LIANDRIS_2,"We are at the gates of Beigon, the Guardian.",44
STR_DIALOGS_HEAVENTOWER_D8_LIANDRIS_1,"Millennia ago, the souls of the fallen journeyed directly to the land of the Gods.",82
STR_DIALOGS_HEAVENTOWER_D8_LIANDRIS_2,Now that destiny is reserved only for the most tenacious of champions...,72
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_1,Like you and your kind.,23
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_2,But you must know something. I have reason to believe that the menacing dark plague that you had to face on a number of occasions could have originated within that room.,169
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_3,"I cannot be sure until you open it, but do not fear.",52
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_4,I'll be looking out for you once you step inside.,49
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_5,"If something goes wrong, I will intervene.",42
STR_DIALOGS_HEAVENTOWER_D9_LIANDRIS_6,"Go forth, brave warrior, and face the last of all destinies.",60
STR_DIALOGS_HEAVENTOWER_D10_BEIGON_1,You should not have closed that door...,39
STR_DIALOGS_HEAVENTOWER_D10_BEIGON_2,It does not matter. The fact that you are here means it has worked.,67
STR_DIALOGS_HEAVENTOWER_D10_BEIGON_3,"You shall be the first of a tide of souls yearning to find this place, hoping to complete their “great quest”.",114
STR_DIALOGS_HEAVENTOWER_D10_BEIGON_4,"Do not fear, for salvation is at hand.",38
STR_DIALOGS_HEAVENTOWER_D11_LIANDRIS_1,"Soldier, that's not the Guardian!",33
STR_DIALOGS_HEAVENTOWER_D11_LIANDRIS_2,Beigon has allowed thousands of warriors to pass into the Gods' Ragnarok. He would never say anything like that.,112
STR_DIALOGS_HEAVENTOWER_D12_BEIGON_1,"Gods, you say? ...Those Fae?",28
STR_DIALOGS_HEAVENTOWER_D12_BEIGON_2,"I will admit I did no expect to find one here, but this changes nothing.",72
STR_DIALOGS_HEAVENTOWER_D12_LIANDRIS_3,Who are you to dare corrupt the established flow of souls?,58
STR_DIALOGS_HEAVENTOWER_D12_LIANDRIS_4,Speak!,6
STR_DIALOGS_HEAVENTOWER_D13_BEIGON_1,Silence!,8
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_1,Valkyries...,12
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_2,Useless carcasses with neither soul nor sense.,46
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_3,"Though, your words ring true. I am not Beigon. But, with me, a destiny much grander than you have been prepared for awaits you.",127
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_4,"Because of me, my species and all those in the cosmos will transcend beyond their mortal lives.",95
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_5,They will live for eternity.,28
STR_DIALOGS_HEAVENTOWER_D14_BEIGON_6,"Without worrying about bodily decay, Yggdrasil, or those selfish Fae.",69
STR_DIALOGS_HEAVENTOWER_D15_BEIGON_1,"Do not resist. Once I have assimilated you, you will be saved.",62
STR_DIALOGS_HEAVENTOWER_D16_BEIGON_1,You did good work finding those orbs.,37
STR_DIALOGS_HEAVENTOWER_D16_BEIGON_2,"It is fortunate that, even while using their power, they remain in their vessels. I will be able to extract them without destroying you.",136
STR_DIALOGS_HEAVENTOWER_D16_BEIGON_3,It would be such a waste if your essence was lost to the void.,62
STR_DIALOGS_HEAVENTOWER_D17_UNKNOWN_1,What? Is that it?,17
STR_DIALOGS_HEAVENTOWER_D17_UNKNOWN_2,You still haven't realised?,27
STR_DIALOGS_HEAVENTOWER_D17_UNKNOWN_3,Surely you don't think it was just those orbs that got you here?,64
STR_DIALOGS_HEAVENTOWER_D17_DARKSWORD_4,"You're nothing special but, somehow, you managed to become strong enough to defeat us, our energy finding a new home within you.",128
STR_DIALOGS_HEAVENTOWER_D17_DARKSWORD_5,"We don't plan to let you die by an insect like that after everything you've done to us. We're all you have left now, whether you like it or not.",144
STR_DIALOGS_HEAVENTOWER_D17_DARKSWORD_6,"Do it, unleash our power and no one will be able to stop you!",61
STR_DIALOGS_HEAVENTOWER_D17_DARKSWORD_7,"Do not disappoint us, soldier!",30
STR_DIALOGS_HEAVENTOWER_D18_BEIGON_1,Now I see why my parasites were unable to intercept you before. You have turned your own body into an orb capable of retaining all of that corrupt energy inside you.,165
STR_DIALOGS_HEAVENTOWER_D18_BEIGON_2,"Powerful, but insignificant to me. Still, you harbour too much essence to let you go with them.",95
STR_DIALOGS_HEAVENTOWER_D18_BEIGON_3,Understand that I cannot allow this.,36
STR_DIALOGS_HEAVENTOWER_D19_BEIGON_1,No... I cannot use all the power in this body!,46
STR_DIALOGS_HEAVENTOWER_D19_BEIGON_2,It..._100_ eats away..._100_ at me...,37
STR_DIALOGS_HEAVENTOWER_D19_BEIGON_3,I must put an end to you now!,29
STR_DIALOGS_HEAVENTOWER_D20_BEIGON_1,I swore that I would save everyone...,39
STR_DIALOGS_HEAVENTOWER_D21_BEIGON_1,AAAH!,5
STR_DIALOGS_HEAVENTOWER_D21_BEIGON_2,The Fae is too annoying!,24
STR_DIALOGS_HEAVENTOWER_D21_BEIGON_3,This isn't possible! I can't stay in here anymore!,50
STR_DIALOGS_HEAVENTOWER_D22_LIANDRIS_1,Cursed creature...,18
STR_DIALOGS_HEAVENTOWER_D22_BEIGON_2,Ngh!,4
STR_DIALOGS_HEAVENTOWER_D22_LIANDRIS_3,Reveal yourself!,16
STR_DIALOGS_HEAVENTOWER_D22_BEIGON_4,AAAH!,5
STR_DIALOGS_HEAVENTOWER_D23_LIANDRIS_1,Beigon?,7
STR_DIALOGS_HEAVENTOWER_D23_BEIGON_2,...,3
STR_DIALOGS_HEAVENTOWER_D24_LIANDRIS_1,"Beigon, what's happening?",25
STR_DIALOGS_HEAVENTOWER_D24_BEIGON_2,I spent so long denying it my power... Closing off every inch of my mind...,75
STR_DIALOGS_HEAVENTOWER_D24_BEIGON_3,"So much so that, once freed, I could not control myself.",56
STR_DIALOGS_HEAVENTOWER_D24_BEIGON_4,That thing... It should not have been able to escape.,53
STR_DIALOGS_HEAVENTOWER_D24_LIANDRIS_5,"How is this possible, Beigon?",29
STR_DIALOGS_HEAVENTOWER_D24_LIANDRIS_6,How has that thing been able to get so close to someone with your power?,72
STR_DIALOGS_HEAVENTOWER_D24_BEIGON_7,It managed to squeeze a small insect through one of my portals and I let my guard down for a moment.,100
STR_DIALOGS_HEAVENTOWER_D24_BEIGON_8,Two mistakes that I shall be able to forgive myself for.,56
STR_DIALOGS_HEAVENTOWER_D24_LIANDRIS_9,The portal... The world those mortals came from?,48
STR_DIALOGS_HEAVENTOWER_D24_BEIGON_10,Precisely.,10
STR_DIALOGS_HEAVENTOWER_D24_BEIGON_11,"Soldier, that creature is wounded, but it has taken refuge in your world. Your civilization is in imminent danger.",114
STR_DIALOGS_HEAVENTOWER_D25_BRIGARD_1,The Guardian!,13
STR_DIALOGS_HEAVENTOWER_D25_BRIGARD_2,"You've done it, soldier!",24
STR_DIALOGS_HEAVENTOWER_D26_BEIGON_1,"I am sorry I could not give the welcome you deserved, soldiers.",63
STR_DIALOGS_HEAVENTOWER_D27_BEIGON_1,"I am Beigon, the Guardian.",26
STR_DIALOGS_HEAVENTOWER_D27_BRIGARD_2,"Listen, Guardian!",17
STR_DIALOGS_HEAVENTOWER_D27_BEIGON_3,"Calm yourself, Human. I know your demands.",42
STR_DIALOGS_HEAVENTOWER_D27_BRIGARD_4,...?,4
STR_DIALOGS_HEAVENTOWER_D27_BEIGON_5,"Your mortal souls still live and, as such, your request is valid.",65
STR_DIALOGS_HEAVENTOWER_D27_BEIGON_6,"But you must know that the creature that held sway over me this entire time has escaped to your world. What's more, your presence here is connected to a Human, one that was infected by a parasite which travelled through one of my portals.",238
STR_DIALOGS_HEAVENTOWER_D27_BRIGARD_7,Arkzel...,9
STR_DIALOGS_HEAVENTOWER_D27_BEIGON_8,"This brave soldier has confronted the parasite that created all of these creatures which attacked you in the tower and has released me from its hold but, with it, your home has been damned.",189
STR_DIALOGS_HEAVENTOWER_D27_BRIGARD_9,Is there nothing you can do to stop it?,39
STR_DIALOGS_HEAVENTOWER_D27_BEIGON_10,"While I possess the power to travel to any corner of the universe, my penance prevents me from doing so. I will remain in the chamber until the end of time, regardless of what happens.",184
STR_DIALOGS_HEAVENTOWER_D27_BEIGON_11,But you who have faced the scourge on more than one occasion may still have a chance against this threat.,105
STR_DIALOGS_HEAVENTOWER_D27_BRIGARD_12,Our mission lies with our kingdom!,34
STR_DIALOGS_HEAVENTOWER_D27_BEIGON_13,"No, Human, this endeavour goes far beyond protecting a kingdom. It concerns your entire world and, after yours, the next one, and the next one, and so on. This is what the parasite does.",186
STR_DIALOGS_HEAVENTOWER_D28_BRIGARD_1,...,3
STR_DIALOGS_HEAVENTOWER_D28_BRIGARD_2,Alright...,10
STR_DIALOGS_HEAVENTOWER_D29_BRIGARD_1,"Attention, soldiers!",20
STR_DIALOGS_HEAVENTOWER_D29_BRIGARD_2,"We are going home! But not to celebrate our return, nor to join the war our people find themselves embroiled in.",112
STR_DIALOGS_HEAVENTOWER_D29_BRIGARD_3,"We will inform our kingdoms of what stalks us all and, together, we will stand against this scourge!",100
STR_DIALOGS_HEAVENTOWER_D29_BRIGARD_4,We shall save our world! For Zarga!,35
STR_DIALOGS_HEAVENTOWER_D30_ADAMONT_1,"You heard the general, we're going home!",40
STR_DIALOGS_HEAVENTOWER_D31_ARMY_1,YEAH!!!,7
STR_DIALOGS_HEAVENTOWER_D32_BRIGARD_1,It is decided.,14
STR_DIALOGS_HEAVENTOWER_D32_BEIGON_2,"So be it. To return, all you must do is cross the portal.",57
STR_DIALOGS_HEAVENTOWER_D32_BEIGON_3,"Go forth, this is all I can do for you.",39
STR_DIALOGS_HEAVENTOWER_D32_BRIGARD_4,Thank you for allowing us to cross.,35
STR_DIALOGS_HEAVENTOWER_D32_BEIGON_5,Do not thank me. The day may come when you regret having faced this evil.,73
STR_DIALOGS_HEAVENTOWER_D32_BRIGARD_6,We'll do what we can.,21
STR_DIALOGS_HEAVENTOWER_D33_BRIGARD_1,LET'S GO!,9
STR_DIALOGS_HEAVENTOWER_D34_BEIGON_1,"Soldier, you have absorbed more essence than anyone else could have. You are almost as powerful as an Einherjar.",112
STR_DIALOGS_HEAVENTOWER_D34_BEIGON_2,"Do not succumb to the dark power within you, or you will lose yourself forever.",79
STR_DIALOGS_HEAVENTOWER_D34_BEIGON_3,Never forget these words.,25
STR_DIALOGS_HEAVENTOWER_D34_BEIGON_4,"Thank you for coming so far and freeing me, you have done the impossible.",73
STR_DIALOGS_HEAVENTOWER_D34_BEIGON_5,"Now, go with your kind. You have earnt it.",42
STR_DIALOGS_HEAVENTOWER_D35_EUDER_1,"Ready for one last dance, milady?",33
STR_DIALOGS_HEAVENTOWER_D35_SINKA_2,Tsk... Not even if we get out of this one.,42
STR_DIALOGS_HEAVENTOWER_D35_EUDER_3,What a girl...,14
STR_DIALOGS_HEAVENTOWER_D35_EUDER_4,"Don't worry, we'll see him again.",33
STR_DIALOGS_HEAVENTOWER_D36_MELIAN_1,"Sister, do you think we'll make it?",35
STR_DIALOGS_HEAVENTOWER_D36_SIRFIEL_2,"Melian, the two of us against the world, remember?",50
STR_DIALOGS_HEAVENTOWER_D36_MELIAN_3,You're right! Enough moaning.,29
STR_DIALOGS_HEAVENTOWER_D36_SIRFIEL_4,"Get ready, here they come.",26
