offset,text_target
STR_INGAME_DIALOGS_AC_CROMAMINION_1_1,Estou um pouco ocupado. Importa-se?
STR_INGAME_DIALOGS_AC_CROMAMINION_2_1,...
STR_INGAME_DIALOGS_AC_CROMAMINION_3_1,...
STR_INGAME_DIALOGS_AP_CROMAMINION_1_1,Vejo que o comandante trouxe o orbe pra você!
STR_INGAME_DIALOGS_AP_CROMAMINION_1_2,"Dá pra aprender muito só observando! A gente sabia que podia contar com você, meu miúdo!"
STR_INGAME_DIALOGS_AP_CROMAMINION_2_1,Você deve conhecer alguém na cidade capaz de fazer isso.
STR_INGAME_DIALOGS_AP_CROMAMINION_2_2,Não somos particularmente... aptos... em lidar com pessoas miúdas.
STR_INGAME_DIALOGS_AP_CROMAMINION_3_1,O Comandante se esforçou muito ao pedir sua ajuda. Não pense que foi fácil pra ele.
STR_INGAME_DIALOGS_MAF_CROMAMINION_2_1,"Não se preocupe, vou proteger o farol. A última coisa que precisamos é mais intrusos entrando."
STR_INGAME_DIALOGS_AAF_CROMAMINION_1_1,Muitíssimo obrigado.
STR_INGAME_DIALOGS_AAF_CROMAMINION_2_1,Obrigado.
STR_INGAME_DIALOGS_AAF_CROMAMINION_3_1,Obrigado.
STR_INGAME_DIALOGS_AP_CROMAMINION_3_4,Humano.
STR_INGAME_DIALOGS_AF_CROMAMINION_3_1,Cavalo.
STR_INGAME_DIALOGS_AF_CROMAMINION_4_1,Orbe elétrico.
