offset,file,text_en,byte_budget
scena/e2000.dat:0x5c47,scena/e2000.dat,as a reward for Estelle's final level (100 or higher)!,55
scena/e2000.dat:0x5c82,scena/e2000.dat,<C1>Obtained ,14
scena/e2000.dat:0x5c90,scena/e2000.dat,as a reward for loading 1st Chapter clear data!,48
scena/e2000.dat:0x5cc1,scena/e2000.dat,and ,5
scena/e2000.dat:0x5cc7,scena/e2000.dat,<C1>Obtained ,14
scena/e2000.dat:0x5cd5,scena/e2000.dat,as a reward for Estelle's final level (50 or higher)!,54
scena/e2000.dat:0x5d0f,scena/e2000.dat,<C1>Obtained ,14
scena/e2000.dat:0x5d1d,scena/e2000.dat,as a reward for loading 1st Chapter clear data!,48
scena/e2000.dat:0x5d4e,scena/e2000.dat,and ,5
scena/e2000.dat:0x5d54,scena/e2000.dat,<C1>Obtained ,14
scena/e2000.dat:0x5d62,scena/e2000.dat,as a reward for loading 1st Chapter clear data!,48
scena/e2000.dat:0x5d94,scena/e2000.dat,", and",6
scena/e2000.dat:0x5da1,scena/e2000.dat,<C1>Obtained ,14
scena/e2000.dat:0x5daf,scena/e2000.dat,Which movie would you like to watch?,37
scena/e2000.dat:0x5dd4,scena/e2000.dat,Trails in the Sky 1st Chapter Opening,38
scena/e2000.dat:0x5dfa,scena/e2000.dat,Trails in the Sky 1st Chapter Ending,37
scena/e2000.dat:0x5e1f,scena/e2000.dat,Summary of 1st Chapter,23
scena/e2000.dat:0x5e3e,scena/e2000.dat,Trails in the Sky 2nd Chapter Opening,38
scena/e2000.dat:0x5e64,scena/e2000.dat,Liber Ark Crumbling,20
scena/e2000.dat:0x5e78,scena/e2000.dat,Trails in the Sky 2nd Chapter Ending,37
scena/e2000.dat:0x5f27,scena/e2000.dat,"Our story begins in Rolent, in the kingdom of Liberl.",54
scena/e2000.dat:0x5f5d,scena/e2000.dat,father took in five years ago.,31
scena/e2000.dat:0x5f7c,scena/e2000.dat,"been to become a bracer with Joshua, a boy my",46
scena/e2000.dat:0x5faa,scena/e2000.dat,My name is Estelle Bright. And my dream has always,51
scena/e2000.dat:0x5fdd,scena/e2000.dat,are sworn to help and protect ordinary citizens.,49
scena/e2000.dat:0x600e,scena/e2000.dat,Bracers are a dedicated group of peacekeepers who,50
scena/e2000.dat:0x6040,scena/e2000.dat,And we officially became junior bracers!,41
scena/e2000.dat:0x6069,scena/e2000.dat,"Scherazard, who's also known as the 'Silver Streak.'",53
scena/e2000.dat:0x609e,scena/e2000.dat,"Joshua and I passed our exam thanks to our mentor,",51
scena/e2000.dat:0x60d1,scena/e2000.dat,But we barely had time to celebrate before...,46
scena/e2000.dat:0x60ff,scena/e2000.dat,assignment and just...vanished into thin air.,46
scena/e2000.dat:0x612d,scena/e2000.dat,"My dad, Cassius Bright, went out on a bracer",45
scena/e2000.dat:0x6174,scena/e2000.dat,So Joshua and I left on a journey.,35
scena/e2000.dat:0x6197,scena/e2000.dat,to become senior bracers ourselves.,36
scena/e2000.dat:0x61bb,scena/e2000.dat,But also to learn the skills we needed,39
scena/e2000.dat:0x61e2,scena/e2000.dat,lots of new people and made tons of new friends.,49
scena/e2000.dat:0x6213,scena/e2000.dat,"During our travels around the kingdom, we met",46
scena/e2000.dat:0x6241,scena/e2000.dat,been there for us.,19
scena/e2000.dat:0x6254,scena/e2000.dat,"Obviously there was Schera, who's always",41
scena/e2000.dat:0x627d,scena/e2000.dat,or so he says.,15
scena/e2000.dat:0x628c,scena/e2000.dat,"Olivier, a traveling musician from Erebonia...",47
scena/e2000.dat:0x62bb,scena/e2000.dat,fighting with his trusty heavy blade.,38
scena/e2000.dat:0x62e1,scena/e2000.dat,"Agate, a senior bracer who's really good at",44
scena/e2000.dat:0x630d,scena/e2000.dat,of Liberl!,11
scena/e2000.dat:0x6318,scena/e2000.dat,And she's secretly the princess of the Kingdom,47
scena/e2000.dat:0x6347,scena/e2000.dat,"Kloe, a student at the Jenis Royal Academy.",44
scena/e2000.dat:0x6373,scena/e2000.dat,our younger sister.,20
scena/e2000.dat:0x6387,scena/e2000.dat,father of the Orbal Revolution. She's basically,48
scena/e2000.dat:0x63b7,scena/e2000.dat,"Tita, the granddaughter of Professor Russell, the",50
scena/e2000.dat:0x63e9,scena/e2000.dat,A-rank bracer from Calvard.,28
scena/e2000.dat:0x6405,scena/e2000.dat,"And 'The Immovable' Zin, a martial artist and",46
scena/e2000.dat:0x6433,scena/e2000.dat,of course.,11
scena/e2000.dat:0x643e,scena/e2000.dat,"of cases as junior bracers. With everyone's help,",50
scena/e2000.dat:0x6470,scena/e2000.dat,"Believe it or not, we managed to solve a bunch",47
scena/e2000.dat:0x649f,scena/e2000.dat,as the Capua sky pirates stole an airliner.,44
scena/e2000.dat:0x64cb,scena/e2000.dat,It all began when some troublemakers known,43
scena/e2000.dat:0x652b,scena/e2000.dat,"After that, we realized that everything that was",49
scena/e2000.dat:0x655c,scena/e2000.dat,hair and a red mask.,21
scena/e2000.dat:0x6571,scena/e2000.dat,"led by Lt. Lorence, a mysterious man with silver",49
scena/e2000.dat:0x65a2,scena/e2000.dat,"The 'Special Ops,' elite soldiers in jet-black armor",53
scena/e2000.dat:0x65d7,scena/e2000.dat,Royal Army's Intelligence Division.,36
scena/e2000.dat:0x65fb,scena/e2000.dat,"operation was Colonel Alan Richard, head of the",48
scena/e2000.dat:0x662b,scena/e2000.dat,And we discovered that the leader of the whole,47
