offset,text_target
AREAD148.DAT:7:0,Ouvimos relatos de que [02]monstros horríveis apareceram na capital.
AREAD148.DAT:7:1,Ouvimos relatos de que [02]monstros horríveis apareceram na capital.
AREAD148.DAT:7:2,"Tenho medo, sim, mas nao [02]posso desobedecer ordens, entao preciso ficar aqui."
AREAD148.DAT:7:3,E agora? Dizem que o grupamento principal [02]na capital foi dizimado!
AREAD148.DAT:7:4,Qual eh o sentido disso tudo? Estamos condenados[02]! O Imperio... Todos nos! Ha ha... Ha ha!
AREAD148.DAT:7:5,"Desculpe, mas nao posso permitir entrada [02]na capital. Eh muito perigoso."
AREAD148.DAT:7:6,Dizem que o monstro na capital eh na verdade um fantasma [02]invocado pelo espírito [02]do Primeiro Imperador!
AREAD148.DAT:7:7,Que o monstro venha! Nao [02]deixaremos passar!
AREAD148.DAT:7:8,O que? Ir a Chedo? Voces piram[02]!? Olhem para nos! Somos soldados [02]profissionais e nos nao eh seguro [02]nem para nos!
AREAD148.DAT:7:9,Capitao! Voces estao tentando chegar a capital?
AREAD148.DAT:7:11,"Capitao, a capital esta quase perdida[02]! O General se retirou para Astana."
AREAD148.DAT:7:13,"Nao sei, minha senhora[02]. Voce precisa ir a Astana e falar com o General."
AREAD148.DAT:7:14,O General Rhun reuniu os soldados restantes [02]e foi para a capital. Nos [02]ficamos como guardas.
AREAD148.DAT:7:15,"O General Rhun eh nossa unica esperanca... Se [02]ele cair... Nao! Nao podemos pensar nisso[02]. Alem disso, ele matou monstrros de sobra.[02].. Tudo vai ficar bem... Vai, nao eh?"
AREAD148.DAT:7:16,Mesmo sendo a primeira vez que ouvíamos falar desse evento terrível...
AREAD148.DAT:7:17,"De alguma forma, eu tinha uma sensacao estranha..."
AREAD148.DAT:7:18,Como se eu ja soubesse que isso ia acontecer.
AREAD148.DAT:7:19,E se os deuses--
AREAD148.DAT:7:20,os seres que guiam e moldam nosso mundo--
AREAD148.DAT:7:21,desaparecessem? Nao sei a resposta para isso.
AREAD148.DAT:7:22,Mas ha uma coisa que eu sei.
AREAD148.DAT:7:23,E eh que tudo vai dar certo no final... De alguma forma.
AREAD148.DAT:7:24,"Certo, [04]"
