offset,text_target
STR_DIALOGS_PYRAMID_D1_ANUBIS_1,Que inusitado..._500_ O vento do deserto está trazendo muita poeira hoje.
STR_DIALOGS_PYRAMID_D1_ANUBIS_2,"Bem-vindos, escravos._300_ Os tempos mudam. Nem preciso descer e enfrentá-los."
STR_DIALOGS_PYRAMID_D1_ANUBIS_3,"Vão para seus ""aposentos"" até eu decidir o que fazer."
STR_DIALOGS_PYRAMID_D1_ANUBIS_4,Agora.
STR_DIALOGS_PYRAMID_D2_ADAMONT_1,Rapaz?
STR_DIALOGS_PYRAMID_D2_ADAMONT_2,Você dormiu bastante mesmo._300_ Já tava achando que tinha morrido.
STR_DIALOGS_PYRAMID_D2_ADAMONT_3,"Tenho que admitir, mas esse canalha..._300_ Nem tive chance de pará-lo."
STR_DIALOGS_PYRAMID_D3_ADAMONT_1,ARGHH!_300_ QUANDO EU SAIR DAQUI VOU FORRAR MEU ESCUDO COM A PELE DELE!
STR_DIALOGS_PYRAMID_D3_ADAMONT_2,MEUS HOMENS TÊM QUE ESTAR INTEIROS!
STR_DIALOGS_PYRAMID_D4_ADAMONT_1,Respira...
STR_DIALOGS_PYRAMID_D4_ADAMONT_2,Tenho que achar um jeito de sair daqui e encontrá-los...
STR_DIALOGS_PYRAMID_D5_ADAMONT_1,MUITO BEM!
STR_DIALOGS_PYRAMID_D5_ADAMONT_2,"Você é um soldado bem confiável, né?"
STR_DIALOGS_PYRAMID_D5_ADAMONT_3,"Tudo aponta que esse cara que nos prendeu é só um idiota, mas talvez tá testando a gente._300_ Precisa enfrentá-lo e descobrir. Além disso, alguém assim deve ter informação."
STR_DIALOGS_PYRAMID_D5_ADAMONT_4,Mas não posso deixar meus homens pra trás. Acho que se dividir é tipo o que o General Brigard faria nessa situação.
STR_DIALOGS_PYRAMID_D5_ADAMONT_5,"Se achar eles, me avisa._100_ Muito cuidado, parece que esse cãozão tá de olho em cada movimento nosso."
STR_DIALOGS_PYRAMID_D6_ADAMONT_1,Uma armadilha?
STR_DIALOGS_PYRAMID_D6_ADAMONT_2,As paredes! Tem que ter um jeito de parar elas ou a gente vira sucata!
STR_DIALOGS_PYRAMID_D7_ADAMONT_1,"Depressa, suba!_100_ Se salva!"
STR_DIALOGS_PYRAMID_D9_ADAMONT_1,Não..._500_ Esqueça. Faça isso valer a pena._500_ Mas me faz um favor..._100_ Salva meus homens e fala pro General Brigard que me desculpa...
STR_DIALOGS_PYRAMID_D10_ADAMONT_1,"Fico ofendido que você fique surpreso, rapaz."
STR_DIALOGS_PYRAMID_D10_ADAMONT_2,Achava que um bloquinho de pedra ia ser mais forte que eu?
STR_DIALOGS_PYRAMID_D11_ADAMONT_1,A gente conversa depois. Agora...
STR_DIALOGS_PYRAMID_D11_ADAMONT_2,FOCA EM DESPEDAÇAR ESSE INSETO!
STR_DIALOGS_PYRAMID_D12_ADAMONT_1,"Fico impressionado, você é mais criativo que parece._100_ Eu teria metido o machado até a cabeça cair."
STR_DIALOGS_PYRAMID_D12_ADAMONT_2,"Os perigos daqui não fazem match com a gente, né?"
STR_DIALOGS_PYRAMID_D12_ADAMONT_3,"Não tinha certeza, mas quando a parede tava me apertando, vi o chão começar a rachar._100_ Consegui pisar com tudo e cair pro andar de baixo."
STR_DIALOGS_PYRAMID_D12_ADAMONT_4,A gente segue procurando. Vamos achar esse Guardião cedo ou tarde.
STR_DIALOGS_PYRAMID_D13_ANUBIS_1,"Hah hah hah..._500_ Então, é isso que os trouxe aqui?"
STR_DIALOGS_PYRAMID_D13_ADAMONT_2,Qual a graça?
STR_DIALOGS_PYRAMID_D13_ANUBIS_3,"As histórias desse mundo chegam tão longe quanto os raios do sol._100_ Claro, acreditar nelas é outra história."
STR_DIALOGS_PYRAMID_D13_ADAMONT_4,"Seria mais fácil fica aqui curtindo sua hospitalidade, né?_100_ Quando achar você, a gente agradece pessoalmente."
STR_DIALOGS_PYRAMID_D13_ANUBIS_5,Tô fazendo esforço imenso pra não descer aí e acabar com vocês com um pisar de dedos.
STR_DIALOGS_PYRAMID_D13_ANUBIS_6,"Vocês invadiram meu domínio, escaparam minha prisão e mataram meu animal de estimação."
STR_DIALOGS_PYRAMID_D13_ANUBIS_7,"Vocês estão além do perdão. A questão é... _300_ Agora que escolheram esse caminho, como vão morrer aqui?"
STR_DIALOGS_PYRAMID_D14_ADAMONT_1,"Não deixa a ladainha dele entrar na sua cabeça. Ele quer que a gente se duvide._300_ Se tivesse esse poder, já teria usado."
STR_DIALOGS_PYRAMID_D14_ADAMONT_2,"VOCÊ OUE, CACHORRO GIGANTE?! NÃO VAI DAR!"
STR_DIALOGS_PYRAMID_D14_ADAMONT_3,Não sei onde ele tá escondido mas parece que não consegue chegar até a gente.
STR_DIALOGS_PYRAMID_D14_ADAMONT_4,Cuidado com os truques dele.
STR_DIALOGS_PYRAMID_D14_ADAMONT_4_CONTINUA,"Então, volta pro plano original, né?_100_ Divide e conquista._100_ Vou salvar meus homens, seja qual for o preço._300_ A gente sai daqui junto, pode crer."
STR_DIALOGS_PYRAMID_D15_ANUBIS_1,Miseráveis!_500_ Vocês têm ideia do quanto vai me custar conseguir uma coleção de animais assim de novo?
STR_DIALOGS_PYRAMID_D15_ANUBIS_2,"Vocês não vão achar o que procuram aqui. Vão, virem as costas agora, mas não confundam isso com fraqueza._300_ Um soberano deve mostrar justiça e meu poder é superado só pela minha magnanimidade."
STR_DIALOGS_PYRAMID_D15_ANUBIS_3,"Saiam daqui agora. Se voltarem, garanto que não recebem a mesma compaixão."
STR_DIALOGS_PYRAMID_D15_ANUBIS_4,AGORA!
STR_DIALOGS_PYRAMID_D16_ADAMONT_1,"Você voltou!_500_ Você é cheio de surpresas, né, rapaz?"
STR_DIALOGS_PYRAMID_D16_ADAMONT_2,Então é só isso? _300_ Ele só nos chuta pra fora?_500_ Era só um grandioso fake?
STR_DIALOGS_PYRAMID_D16_ADAMONT_3,ARGGGHHH!
STR_DIALOGS_PYRAMID_D16_ADAMONT_4,Respira...
STR_DIALOGS_PYRAMID_D16_ADAMONT_5,"Eu queria fazer ele pagar._100_ A gente só fica com a liberdade. Vamo daqui, tem um relatório pra entregar."
STR_DIALOGS_PYRAMID_D16_ADAMONT_6,Acho que coloco no relatório que você vira meu regimento. Que acha? Bahahah!
STR_DIALOGS_PYRAMID_D17_ESFINGE_1,"Parabéns por chegar tão longe. Se querem viver, têm que responder certo: _300_ O que vocês vão perder antes de sair dessa sala?"
STR_DIALOGS_PYRAMID_D18_ESFINGE_1,Errado._500_ Vocês vão perder tudo.
STR_DIALOGS_PYRAMID_D19_DARK_AXER_1,Tsk..._500_ Esperava mais resistência. Vocês deviam me agradecer por livrar de um oponente chato.
STR_DIALOGS_PYRAMID_D19_DARK_AXER_2,"Mas você..._300_ parece bem mais interessante. Faz tempo que não fatiao ninguém em pedaços, não me desaponte."
STR_DIALOGS_PYRAMID_D20_DARK_AXER_1,"Você se adapta..._300_ Tem aquele instinto, igual a gente..."
STR_DIALOGS_PYRAMID_D21_ADAMONT_1,"Você!!!_300_ Cuidado, soldado. Quase leva um machadão na cabeça. A gente não pode baixar a guarda nessa situação."
STR_DIALOGS_PYRAMID_D21_ADAMONT_2,O que você acha que é isso?_100_ Parece..._300_ um par de <color=OBJ>botas</color>?_100_ Por que deixariam num lugar assim?
STR_DIALOGS_PYRAMID_D21_ADAMONT_3,"Criaram eu pra não pegar o que não é meu, mas talvez a gente devesse..._300_ E você, que acha?"
STR_DIALOGS_PYRAMID_D1_ANUBIS_5,Despçam-se do mundo exterior. Vocês me pertencem agora.
