offset,text_target
STR_DIALOGS_PLAINS3_AHT_D1_GALATH_1,"Você precisa ser corajoso para se manter diante de mim, bruxa, após tudo que fez comigo!"
STR_DIALOGS_PLAINS3_AHT_D1_SANGRIGOR_2,Preferia ter virado pó e ossos?
STR_DIALOGS_PLAINS3_AHT_D1_GALATH_3,Eu teria sobrevivido a uma flecha se você não me tivesse trazido para cá!
STR_DIALOGS_PLAINS3_AHT_D1_SANGRIGOR_4,"Se há uma coisa certa, mortal, é que nosso dom não erra. Acalme sua ira."
STR_DIALOGS_PLAINS3_AHT_D1_GALATH_5,Erros como trazer soldados ainda vivos de Zarga para o pós-vida?
STR_DIALOGS_PLAINS3_AHT_D1_SANGRIGOR_6,Zarga?
STR_DIALOGS_PLAINS3_AHT_D1_SANGRIGOR_7,Ah... AQUELES soldados...
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_1,Tsk...
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_2,"Não tenho absolutamente nenhuma ideia de por que foram trazidos nesse estado, mas é exatamente deles que vim falar com você."
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_3,"Não pretendo ficar por aqui muito mais tempo, então seja rápido."
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_4,"Eu vi o ódio que carrega deles, embora não seja preciso ser particularmente observador para notar, devo dizer."
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_5,Gostaria de propor uma aliança da qual ambos nos beneficiaríamos.
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_6,Prossiga...
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_7,Você quer terminá-los e eu quero terminar... certos planos.
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_8,"Por que você não faz isso você mesma? Ao contrário dos outros, você parece agir com as próprias mãos."
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_9,Como você é perspicaz!
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_10,"Infelizmente, meus inimigos desenvolveram talento em eliminar meus servos. Esses parasitas não me servem mais."
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_11,E suponho que é aí que eu entro?
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_12,"Com um aliado como você, sua magia não os salvará."
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_13,"Mas primeiro, precisamos lidar com seu poder bastante limitado."
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_14,"Grrr... Não me zombe, Valquíria. Qual é seu plano?"
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_15,Digamos apenas... Você pulará alguns degraus adiante.
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_16,Arrume suas coisas. Vamos para Ragnarok.
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_17,...
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_18,"Certo, não tenho nada mais a perder."
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_19,"Esse não é o espírito que esperava, mas servirá."
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_20,"Temos um pacto agora, mortal."
STR_DIALOGS_PLAINS3_AHT_D2_GALATH_21,Como você desejar...
STR_DIALOGS_PLAINS3_AHT_D2_SANGRIGOR_22,Você não se arrependerá.
