offset,text_target
STR_DIALOGS_PLAIN1_DAY_AC_D1_GARTUA_1,"Vixe, olha só isso!"
STR_DIALOGS_PLAIN1_DAY_AC_D1_GARTUA_2,O soldadão finalmente se dignou a aparecer pra gente!
STR_DIALOGS_PLAIN1_DAY_AC_D1_GARTUA_3,"A gente tá bem ocupado, sabe como é, mas... dessa vez eu deixo passar. Quando vejo como meu trabalho fica pronto, esqueço tudo!"
STR_DIALOGS_PLAIN1_DAY_AC_D2_GARTUA_1,Kraaath!
STR_DIALOGS_PLAIN1_DAY_AC_D2_GARTUA_2,"Deixa isso, já falei que a corrente tá bem presa."
STR_DIALOGS_PLAIN1_DAY_AC_D3_GARTUA_1,"Pega tuas coisas, a gente volta pra Hafin."
STR_DIALOGS_PLAIN1_DAY_AC_D4_GARTUA_1,E aí? O que acha?
STR_DIALOGS_PLAIN1_DAY_AC_D4_GARTUA_2,"É meio rústico, mas juro que tudo que a gente monta é mais resistente que raiz de quellick."
STR_DIALOGS_PLAIN1_DAY_AC_D4_GARTUA_3,"Isso aqui acerta nossa dívida com o Balof. Você consegue ir pro <color=LOC>deserto </color>agora. Vai indo, a gente tem um canhão pra construir."
STR_DIALOGS_PLAIN1_DAY_AC_D4_GARTUA_4,"Vamo, Krath."
