offset,file,text_en,byte_budget
scena/mp0000_extk.dat:0x4804,scena/mp0000_extk.dat,All clear!,11
scena/mp0000_extk.dat:0x481e,scena/mp0000_extk.dat,"Hi there. Another beautiful day, huh?",38
scena/mp0000_extk.dat:0x4853,scena/mp0000_extk.dat,ranks seem pretty busy reshuffling forces.,43
scena/mp0000_extk.dat:0x487e,scena/mp0000_extk.dat,"The coup may be over, but the upper",36
scena/mp0000_extk.dat:0x48b1,scena/mp0000_extk.dat,"to speak of. We're all veterans here, though.",46
scena/mp0000_extk.dat:0x48df,scena/mp0000_extk.dat,capital's defense and there weren't many transfers,51
scena/mp0000_extk.dat:0x4912,scena/mp0000_extk.dat,"Then again, this is a key position for the",43
scena/mp0000_extk.dat:0x494c,scena/mp0000_extk.dat,our work is the same as ever.,30
scena/mp0000_extk.dat:0x496a,scena/mp0000_extk.dat,"Even with the signing ceremony coming up,",42
scena/mp0000_extk.dat:0x49a3,scena/mp0000_extk.dat,That's all there is to it.,27
scena/mp0000_extk.dat:0x49be,scena/mp0000_extk.dat,Protect Gurune Gate at all costs.,34
scena/mp0000_extk.dat:0x49ef,scena/mp0000_extk.dat,Can't say I've seen anyone like that.,38
scena/mp0000_extk.dat:0x4a15,scena/mp0000_extk.dat,A boy with black hair?,23
scena/mp0000_extk.dat:0x4a3b,scena/mp0000_extk.dat,he's probably on the southern wall.,36
scena/mp0000_extk.dat:0x4a5f,scena/mp0000_extk.dat,"If he is around here,",22
scena/mp0000_extk.dat:0x4a84,scena/mp0000_extk.dat,That's where they usually send the tourists.,45
scena/mp0000_extk.dat:0x4ac0,scena/mp0000_extk.dat,and go out through the south gate.,35
scena/mp0000_extk.dat:0x4ae3,scena/mp0000_extk.dat,"To get to the southern wall, head down the stairs",50
scena/mp0000_extk.dat:0x4b24,scena/mp0000_extk.dat,"Um, I was watching from up here, but...",40
scena/mp0000_extk.dat:0x4b5b,scena/mp0000_extk.dat,that weird flying object?,26
scena/mp0000_extk.dat:0x4b75,scena/mp0000_extk.dat,Were you the ones fighting,27
scena/mp0000_extk.dat:0x4b9f,scena/mp0000_extk.dat,Wh-What was that thing anyway?,31
scena/mp0000_extk.dat:0x4bcd,scena/mp0000_extk.dat,capital was kept to a minimum.,31
scena/mp0000_extk.dat:0x4bec,scena/mp0000_extk.dat,I heard that the damage to the,31
scena/mp0000_extk.dat:0x4c1a,scena/mp0000_extk.dat,and her squad.,15
scena/mp0000_extk.dat:0x4c29,scena/mp0000_extk.dat,Just as you'd expect from Captain Schwarz,42
scena/mp0000_extk.dat:0x4c62,scena/mp0000_extk.dat,check on things in Rolent.,27
scena/mp0000_extk.dat:0x4c7d,scena/mp0000_extk.dat,Hmm... The thick fog makes it difficult to,43
scena/mp0000_extk.dat:0x4cb7,scena/mp0000_extk.dat,so we need to stay on our toes.,32
