offset,text_target
STR_DIALOGS_TOWN_AC_D1_BALOF_1,Isso é possível?
STR_DIALOGS_TOWN_AC_D2_BALOF_1,Tá..._500_ Tá...
STR_DIALOGS_TOWN_AC_D2_BALOF_2,"Pensei que meus óculos tavam embaçando._300_ Pera..._100_ Ué, tão mesmo tá!"
STR_DIALOGS_TOWN_AC_D2_BALOF_3,"Bicho, você demorou tanto pra chegar que eu tava pensando que tinha rolado algo ruim! Até quis ir procurar cê, mas saca só, eu não topo voltar pra aquela caverna não!"
STR_DIALOGS_TOWN_AC_D2_BALOF_4,"Te apresento Hafin, a cidade eterna!"
STR_DIALOGS_TOWN_AC_D2_BALOF_5,"Agora que cê chegou, posso te dar uma recompensa de verdade! Tá pensando que era só umas bombinhas de sobra, é?"
STR_DIALOGS_TOWN_AC_D2_BALOF_6,Dias atrás achei um presente perfeito pra você em casa!
STR_DIALOGS_TOWN_AC_D2_BALOF_7,Só que... perdi de novo logo depois...
STR_DIALOGS_TOWN_AC_D2_BALOF_8,"Saca só! Que tal cê dar uma volta na cidade enquanto eu vou procurando onde deixei?_100_ Tô indo em casa correndo. Não sai muito longe não, tá bom?"
STR_DIALOGS_TOWN_AC_D2_BALOF_9,"Tá, a gente se vê na minha casa daqui a pouco!"
STR_DIALOGS_TOWN_AC_D7_JIVAN_1,"Vamo Edil, normalmente você não demora tanto pra chegar nessa parte."
STR_DIALOGS_TOWN_AC_D7_EDIL_2,(...)
STR_DIALOGS_TOWN_AC_D7_EDIL_3,Tô tentando!
STR_DIALOGS_TOWN_AC_D7_JIVAN_4,"Não, cê não tá concentrando. Acha que eu não vejo que sua cabeça tá nas nuvens?"
STR_DIALOGS_TOWN_AC_D7_EDIL_5,...
STR_DIALOGS_TOWN_AC_D7_EDIL_6,...
STR_DIALOGS_TOWN_AC_D8_EDIL_1,"Bah, não adianta."
STR_DIALOGS_TOWN_AC_D8_EDIL_2,"Se ao menos, em vez de só me ensinar magia, você deixasse eu usar de verdade..."
