offset,text_en,byte_budget
STR_INGAME_DIALOGS_AC_CROMAMINION_1_1,I'm a little busy. Do you mind?,31
STR_INGAME_DIALOGS_AC_CROMAMINION_2_1,...,3
STR_INGAME_DIALOGS_AC_CROMAMINION_3_1,...,3
STR_INGAME_DIALOGS_AP_CROMAMINION_1_1,I see that the commander has brought you the orb.,49
STR_INGAME_DIALOGS_AP_CROMAMINION_1_2,"You can learn a lot from observing. We know we could count on you, little man.",78
STR_INGAME_DIALOGS_AP_CROMAMINION_2_1,You must know someone in the city who is capable of doing it.,61
STR_INGAME_DIALOGS_AP_CROMAMINION_2_2,We are not particularly... adept... at dealing with small people.,65
STR_INGAME_DIALOGS_AP_CROMAMINION_3_1,"The Commander made great efforts in asking you for help, don't think it was easy for him.",89
STR_INGAME_DIALOGS_MAF_CROMAMINION_2_1,"Do not worry, I will protect the beacon. The last thing we need is more intruders getting inside.",97
STR_INGAME_DIALOGS_AAF_CROMAMINION_1_1,Many thanks.,12
STR_INGAME_DIALOGS_AAF_CROMAMINION_2_1,Thank you.,10
STR_INGAME_DIALOGS_AAF_CROMAMINION_3_1,Thank you.,10
STR_INGAME_DIALOGS_AP_CROMAMINION_3_4,Human.,6
STR_INGAME_DIALOGS_AF_CROMAMINION_3_1,Horse.,6
STR_INGAME_DIALOGS_AF_CROMAMINION_4_1,Electric orb.,13
