offset,text_target
STR_DIALOGS_TOWN_AP_COMBAT_D1_EDIL_0,Psiu...
STR_DIALOGS_TOWN_AP_COMBAT_D1_EDIL_1,Veio conversar com o velho? _300_Boa sorte — ele teve um dia estranho. Fica difícil lidar com ele quando fica todo místico.
STR_DIALOGS_TOWN_AP_COMBAT_D2_JIVAN_1,...
STR_DIALOGS_TOWN_AP_COMBAT_D2_JIVAN_2,Ouça-me com cuidado...
STR_DIALOGS_TOWN_AP_COMBAT_D2_JIVAN_3,"É difícil explicar, então esteja preparado para alertar seus soldados quando eu der o sinal. Não temos muito tempo."
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_1,"Alguns dias antes de sua chegada, uma substância que identifiquei como agentes hostis caiu sobre Hafin."
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_2,"Para afastá-los, criei uma barreira envolvendo toda a cidade que nos manteve seguros. Esperava que eventualmente partissem, mas algo parece estar os retendo aqui."
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_3,"Meu poder está enfraquecendo, não levará muito para chegarem."
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_4,"Cuidado. Sejam o que forem, não foram trazidos pelas Valquírias."
STR_DIALOGS_TOWN_AP_COMBAT_D3_JIVAN_5,Não consigo mantê-la por muito mais tempo...
STR_DIALOGS_TOWN_AP_COMBAT_D4_EDIL_1,Velho...?
STR_DIALOGS_TOWN_AP_COMBAT_D5_JIVAN_1,Eu... _1000_ não... _2000_ consigo...
STR_DIALOGS_TOWN_AP_COMBAT_D6_EDIL_1,Quê?!
STR_DIALOGS_TOWN_AP_COMBAT_D7_SOLDIERS_1,AH! MONSTROS!
STR_DIALOGS_TOWN_AP_COMBAT_D8_BRIGARD_1,"SOLDADOS, DEFENDAM A CIDADE!"
STR_DIALOGS_TOWN_AP_COMBAT_D9_ADAMONT_1,"INQUEBRANTÁVEIS, FORMEM FILEIRAS!"
STR_DIALOGS_TOWN_AP_COMBAT_D10_EUDER_1,SEGUINDO MINHAS ORDENS!
STR_DIALOGS_TOWN_AP_COMBAT_D10_BIS_SOLDIERS_1,AJUDA!
STR_DIALOGS_TOWN_AP_COMBAT_D11_JIVAN_1,Não...
STR_DIALOGS_TOWN_AP_COMBAT_D11_JIVAN_2,Toda a cidade está em perigo... Por minha culpa? Devo ir ajudá-los.
STR_DIALOGS_TOWN_AP_COMBAT_D12_JIVAN_1,"Vamos, Edil!"
STR_DIALOGS_TOWN_AP_COMBAT_D12_EDIL_2,Não! _100_ Vou defender nosso lar! _100_ Ele vai me ajudar!
STR_DIALOGS_TOWN_AP_COMBAT_D12_JIVAN_3,"Edil, não temos tempo! Hafin nunca enfrentou algo assim."
STR_DIALOGS_TOWN_AP_COMBAT_D12_EDIL_4,"Você me preparou para tudo, incluindo algo assim!"
STR_DIALOGS_TOWN_AP_COMBAT_D12_JIVAN_4,Edil...
STR_DIALOGS_TOWN_AP_COMBAT_D13_JIVAN_1,"Soldado, por favor, não deixe nada acontecer com ela. Ela é o que tenho de mais precioso..."
STR_DIALOGS_TOWN_AP_COMBAT_D13_JIVAN_2,Voltarei o mais rápido possível.
STR_DIALOGS_TOWN_AP_COMBAT_D14_EDIL_1,Era só isso? _500_ Era todos eles?
STR_DIALOGS_TOWN_AP_COMBAT_D14_EDIL_2,Vencemos todos! Sim!
STR_DIALOGS_TOWN_AP_COMBAT_D14_EDIL_3,"Embora seja quase uma pena, estava começando a me divertir, hehe..."
STR_DIALOGS_TOWN_AP_COMBAT_D15_EDIL_1,Hehe...
STR_DIALOGS_TOWN_AP_COMBAT_D15_EDIL_2,...
STR_DIALOGS_TOWN_AP_COMBAT_D15_EDIL_3,Hã...? _200_ O que está acon...?
STR_DIALOGS_TOWN_AP_COMBAT_D16_JIVAN_1,EDIL!
STR_DIALOGS_TOWN_AP_COMBAT_D17_JIVAN_1,"EDIL, ESTOU AQUI! POR FAVOR, DIGA ALGO!"
STR_DIALOGS_TOWN_AP_COMBAT_D17_JIVAN_2,O que aconteceu? Aquelas coisas... Devem ter conseguido tocá-la.
STR_DIALOGS_TOWN_AP_COMBAT_D17_JIVAN_3,"Sinto muito, Edil... Não deveria ter deixado seu lado."
STR_DIALOGS_TOWN_AP_COMBAT_D18_JIVAN_1,"Edil, eu não posso perdê-la..."
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_1,"Soldado, não o responsabilizo. É culpa minha. Apesar de meus anos, ainda cometo erros..."
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_2,"Se quer ajudar tanto a ela quanto seus companheiros, há algo que pode fazer."
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_3,"A leste de Hafin, através das planícies, encontrará um pequeno pomar com flores verdes no centro: chama-se <color=OBJ>Lilis Radiantis</color>."
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_4,"Elas... _100_ Não são flores simples. Com elas, você conseguirá destruir o agente que a mantém neste estado."
STR_DIALOGS_TOWN_AP_COMBAT_D19_JIVAN_5,"Apresse-se, não sabemos por quanto tempo permanecerão assim. E cuidado, estamos conseguindo defender a cidade, mas aquelas coisas certamente estarão perambulando na região circundante."
STR_DIALOGS_TOWN_AP_COMBAT_D19_BIS_JIVAN_1,Há algo mais.
STR_DIALOGS_TOWN_AP_COMBAT_D19_BIS_JIVAN_2,"Para colhê-las, você precisará pedir permissão ao <color=CHA>custódio do jardim</color>. Não se preocupe, ele atenderá seu pedido se você lhe apresentar <color=IMP>este selo</color>."
