offset,text_target
STR_DIALOGS_AF_D1_CROMACHIEF_1,Finalmente estamos de volta... Esses piratas vão pagar caro por isso.
STR_DIALOGS_AF_D1_EUDER_2,Um castelo de ferro voador! Como é possível?
STR_DIALOGS_AF_D1_CROMACHIEF_3,"Não temos tempo de explicar a história de nossa evolução, então concentre-se na missão."
STR_DIALOGS_AF_D1_EUDER_4,Claro...
STR_DIALOGS_AF_D1_CROMACHIEF_5,"Agora, escute bem. Os piratas desativaram quase todos os sistemas do módulo, mas, graças àquele orbe, você conseguirá abrir caminho recarregando diferentes circuitos. Porém, mesmo com o orbe, ainda haverá portas desativadas que só poderá abrir com minerais vimana carregados positivamente. Você precisará encontrar os quatro geradores."
STR_DIALOGS_AF_D1_CROMACHIEF_6,"Comece pela porta de entrada. Depois, vou lhe fornecer os minerais."
STR_DIALOGS_AF_D1_EUDER_7,"Cavalheiros, terminaram? Enquanto conversavam, tive uma ideia. Eu poderia explorar na frente com Irka e tentar encontrar as melhores rotas pro esses geradores."
STR_DIALOGS_AF_D1_CROMACHIEF_8,Você teria que ser capaz de voar pra nos dar acesso. Quase todos os condutos estão fechados agora.
STR_DIALOGS_AF_D1_EUDER_9,"Você não faz ideia de quanto isso me deixa feliz, hehe..."
STR_DIALOGS_AF_D1_EUDER_10,Prepáre-se para se surpreender. Guardei esse truque pra uma situação exatamente assim.
STR_DIALOGS_AF_D2_EUDER_1,"Nunca fui chegado em magia, mas Irka foi abençoada com esse poder quando chegamos aqui."
STR_DIALOGS_AF_D2_EUDER_2,"Vocês estão sem palavras, né? Imaginei que seria assim..."
STR_DIALOGS_AF_D2_CROMACHIEF_3,"Ah, seu cachorro tem asas..."
STR_DIALOGS_AF_D3_CROMACHIEF_1,Seu cavalo tem asas. Prossiga com sua missão de reconhecimento. Nos avise se encontrar algo.
STR_DIALOGS_AF_D3_EUDER_2,"Eu esperava por uma reação maior, pra ser honesto..."
STR_DIALOGS_AF_D3_EUDER_3,"Tá bom, não vou ficar aqui perdendo tempo. Tou indo."
STR_DIALOGS_AF_D3_EUDER_4,"Fiquem alertas, vou voltar pra avisar o que achei."
