offset,text_en,byte_budget
STR_DIALOGS_PLAIN1_DAY_AC_D1_GARTUA_1,Would you look at that!,23
STR_DIALOGS_PLAIN1_DAY_AC_D1_GARTUA_2,Mister soldier has finally decided to grace us with his presence!,65
STR_DIALOGS_PLAIN1_DAY_AC_D1_GARTUA_3,"We're pretty busy Dwarves, 'ya know, but bah... this time I'll turn a blind eye. When I see how my projects turn out, I forget all about it.",140
STR_DIALOGS_PLAIN1_DAY_AC_D2_GARTUA_1,Kraaath!,8
STR_DIALOGS_PLAIN1_DAY_AC_D2_GARTUA_2,"Leave that, I've already told you the chain's tied down enough.",63
STR_DIALOGS_PLAIN1_DAY_AC_D3_GARTUA_1,"Get your things, we're going back to Hafin.",43
STR_DIALOGS_PLAIN1_DAY_AC_D4_GARTUA_1,Well? What do you think?,24
STR_DIALOGS_PLAIN1_DAY_AC_D4_GARTUA_2,"It's a bit rough and ready, but you can bet your last gold piece that everything we put together's tougher than a quellick's roots.",131
STR_DIALOGS_PLAIN1_DAY_AC_D4_GARTUA_3,"This should settle our debt with Balof. You'll be able to travel to the <color=LOC>desert </color>, now. I'll let you get on, we've got a cannon to build.",154
STR_DIALOGS_PLAIN1_DAY_AC_D4_GARTUA_4,"Let's go, Krath.",16
