offset,text_target
AREAS015.DAT:8:1,Ouvi dizer que o Chefe [04][02] esta em algum tipo de apuro.
AREAS015.DAT:8:2,"Ouvi que o Chefe [04][02] foi pego espiando em territorio inimigo. [02]Acho que isso significa que havera outra guerra, ne?"
AREAS015.DAT:8:3,Voce ouviu como o Chefe [04][02] saiu a procura da Princesa desaparecida de Wyndia? [02]Que romantico!
AREAS015.DAT:8:4,"[14][01][01]""E-eh? Voce diz que viu outros como eu em outros lugares? [02]E porque nos Manillo planejamos tomar [02][19]"
AREAS015.DAT:8:5,"[14][01][01]""E-eh? Voce diz que viu outros como eu em outros lugares? [02]E porque nos Manillo planejamos tomar [02][19]"
AREAS015.DAT:8:6,"Como nos Woren somos famosos em todo o mundo como guerreiros fortes, [02]pessoas vem aqui para estudar nossas artes e aprender conosco."
AREAS015.DAT:8:8,"[14][82]B""Hmmmm... [02]Parece que [04][02] se meteu um apuro de verdade!"""
AREAS015.DAT:8:9,"[14][83]C""Como Ludia ousa fazer isso com voce! [02] Eh uma afronta a toda a nacao Woren! [02]Isso significa guerra!"""
AREAS015.DAT:8:10,"[14][84]D""E verdade! Vamos mostrar que nao podem nos tratar assim!"""
AREAS015.DAT:8:11,"[14][82]B""Esperem! Esperem! [01]Nao se exaltem! [02]Esse e sempre o problema com nos Woren-- [02]muitos que ficam facilmente exaltados!"""
AREAS015.DAT:8:12,"[14][84]D""E verdade!"""
AREAS015.DAT:8:13,"[14][83]C""Humph... E entao, o que devemos fazer? [02]Quer dizer, a Senhorita [04][01] veio tao longe [02]para nos contar o apuro em que aquele filhote se meteu."""
AREAS015.DAT:8:14,"[14][84]D""E verdade! [02]Faz tanto tempo que voce nao aparecia, pequena [04][01]. [02]Cresceu tanto! [02]Lembro quando voce era assim de pequena..."""
AREAS015.DAT:8:15,"[14][82]B""Chega disso! [01]Tempo para isso depois! [02]Precisamos pensar no que fazer!"""
AREAS015.DAT:8:16,"[14][83]C""Hmmm... Se so [05][02]Tarhn[06] estivesse aqui! Ela saberia o que fazer!"""
AREAS015.DAT:8:18,"[14][84]D""Ela eh a esposa do chefe anterior, que descanse em paz. [02]Em outras palavras, ela eh a mae do Chefe [04][02]."""
AREAS015.DAT:8:19,"[14][83]C""Quando [04][02] virou Chefe, ela decidiu largo a aldeia... [02]Foi viver nas [05][02]Planicies Douradas[06]."""
AREAS015.DAT:8:20,"[14][84]D""Decidiu viver uma vida nomade, ela disse."""
AREAS015.DAT:8:21,"[14][82]B""Tarhn talvez tivesse conseguido pensar em algo, [02]mas temo que nao haja nada que possamos fazer..."""
AREAS015.DAT:8:22,"[14][84]D""Se eu fosse mais jovem, montaria um cavalo [02] e iria procurar Tarhn eu mesmo, mas [02]agora sou muito velho para isso..."""
AREAS015.DAT:8:23,"[14][02][02]""Aposto que Tarhn conseguiria pensar em alguma forma de salvar [04][02]."""
AREAS015.DAT:8:24,"[14][03][03]""Tarhn esta viajando em algum lugar nas [05][02]Planicies Douradas[06]. [02]Se voce quer procura-la, [02]vai precisar de um cavalo!"""
AREAS015.DAT:8:25,"[14][04][04]""Tudo que sabemos fazer eh lutar... [02]Mas nao Tarhn! Ela pensaria em algo, com certeza!"""
AREAS015.DAT:8:26,"""Bem-vindo, viajante. [01]Quer descansar um pouco?""[12][86][0C][93]Descansar[01]Diario[01]Nunca"
AREAS015.DAT:8:27,"""Voce nao tem zenny suficiente."""
AREAS015.DAT:8:28,"[14][04][04]""Hmmm... Entendo... [02]Veu por que pedimos para voce falar com Tarhn? [02]Nunca pensariamos nisso! [02]Fazer um falso [09]! E muito esperto!"""
AREAS015.DAT:8:29,"[14][03][03]""Entao fica por sua conta salvar [04][02]. [02]Boa sorte para voce!"""
AREAS015.DAT:8:30,"[14][02][02]""Para chegar a [05][02]Mt. Glom[06], [01]voce primeiro tem que [02]ir [05][02]leste[06] pelas Planicies. [02]Quando chegar na grande pedra, voce precisa virar para o [05][02]sul[06]. [02]Voce vera uma montanha com fumaca saindo--[02]e a [05][02]Mt. Glom[06]."""
AREAS015.DAT:8:33,"[14][85]E""Huh!? [02]M-mas Mestre... Voce... [01]Voce quer dizer... [0B]Eu sou fraco?"""
AREAS015.DAT:8:41,"[14][02][02]""Obrigado por tudo. [02]Vamos ajudar o maximo que pudermos, [02]mas acho que voce deveria falar com Tarhn sobre o que fazer."""
AREAS015.DAT:8:42,"[14][02][02]""[04][02]... Como voce pôde fazer isso? [02]Voce deveria ser o chefe dos Woren! [02]De qualquer forma... [0B]E bom te-lo seguro ovamente. [02]Nao esqueca de conversar com Tarhn sobre tudo que aconteceu, certo?"""
AREAS015.DAT:8:43,"[14][03][03]""Como Ludia ousa fazer isso! [02]Nao me importa se ele eh o lider da Alianca ou rei do mundo! [02]Quem ele pensa que eh para trancar o Chefe dos Woren assim!"""
AREAS015.DAT:8:44,"[14][03][03]""[04][02]... Se voce quiser se vingar de Ludia pelo que fizeram, estarei bem aqui atras de voce!"""
AREAS015.DAT:8:45,"[14][04][04]""Entao voce conseguiu resgatar [04][02]... [02]Agora o unico problema eh o que Ludia vai fazer proximo... [02]Mesmo assim, e bom ter [04][02] de volta."""
AREAS015.DAT:8:46,"[14][04][04]""[04][02]! [02]Que bom te ver novamente!"""
AREAS015.DAT:8:47,"""E bom te-lo seguro em casa novamente, Chefe [04][02]. [02]Aquele apuro em que voce se envolveu foi resolvido?"""
AREAS015.DAT:8:48,"""Vejo que o Chefe [04][02] voltou. [02]Talvez isso signifique que nao teremos que ir a guerra."""
AREAS015.DAT:8:49,"""Ouvi como o Chefe foi resgatado de Ludia por seus amigos. [02]Que dramatico!"""
AREAS015.DAT:8:50,"""Vi um humano realmente grande com uma cara assustadora há pouco... [02]Me pergunto se ele veio treinar aqui?"""
AREAS015.DAT:8:51,"[14][02][02]""Hmmm... [02]Entao voce planeja ir a Wyndia encontrar o dragao, eh? [02]Bem, suponho que seja mais seguro do que ficar aqui..."""
AREAS015.DAT:8:52,"[14][02][02]""Ir a Wyndia para encontrar o dragao, hm? [02]Bem, acho que isso mata dois coelhos em um tiro, nao eh? [02]Voce talvez descubra algo sobre [04]"
AREAS015.DAT:8:53,"[14][03][03]""Deixem eles tentarem fazer isso territorio neutro por tratado! [02]Nunca deixaremos isso acontecer! Sobre nossos corpos!"""
AREAS015.DAT:8:54,"[14][03][03]""Descanse, [04][02]! [02]Enquanto houver folego em nossos corpos, [02]vamos proteger esta aldeia de qualquer ameaca, [02]seja Ludia ou ate mesmo o Imperio!"""
AREAS015.DAT:8:55,"[14][04][04]""Hmmm... Entao voce planeja usar as ruinas para chegar a Wyndia, eh? [02]Voce pode encontra-las perto da borda leste das planicies."""
AREAS015.DAT:8:56,"""Hmmm... Entao voce planeja usar as ruinas para chegar a Wyndia, eh? [02]Voce pode encontra-las perto da borda leste das planicies."""
AREAS015.DAT:8:57,"[14][02][02]""Hmmm... Deuses, voce diz? Dragao Yorae? [02]Voce esta por sua conta agora... E muito grande para nos, temo dizer."""
