offset,text_target
SIDE_DIALOG_WIN_1,"Que trampo sensacional, marinheiro!"
SIDE_DIALOG_WIN_2,Você é firme como rocha de mar!
SIDE_DIALOG_WIN_3,Uau! Que finale explosivo demais!
SIDE_DIALOG_WIN_4,"Obrigado, #username#! Arrasa demais!"
SIDE_DIALOG_WIN_5,Falei que você é incrível?
SIDE_DIALOG_WIN_6,"Caramba, esse #username# tem tudo!"
SIDE_DIALOG_WIN_7,"Perfeito demais, #username#!"
SIDE_DIALOG_WIN_8,"Polegar pro ar, parceiro!"
SIDE_DIALOG_WIN_9,"Muito bom, #username#!"
SIDE_DIALOG_WIN_10,"Você sabe amedrontar gaivota, né?"
SIDE_DIALOG_WIN_11,Uau! Onde aprendeu a explodir assim?
SIDE_DIALOG_WIN_12,Três vivas pro bravo #username#!
SIDE_DIALOG_WIN_13,"Como ficou tão bom assim, #username#?"
SIDE_DIALOG_WIN_14,Parabéns! Foi tudo certinho!
SIDE_DIALOG_WIN_15,"Fantástico, #username#!"
SIDE_DIALOG_WIN_16,"Nossa, que impressão!"
SIDE_DIALOG_WIN_17,Que performance de primeira!
SIDE_DIALOG_WIN_18,Tiro meu chapéu de marinheiro!
SIDE_DIALOG_WIN_19,"Ótimo ter você no time, #username#!"
SIDE_DIALOG_WIN_20,Não consigo agradecer o bastante!
SIDE_DIALOG_WIN_21,Eba! É exatamente o que a gente quer!
SIDE_DIALOG_WIN_22,Viva! Três vivas pro #username#!
SIDE_DIALOG_WIN_23,"Profissional! Arrasou, #username#!"
SIDE_DIALOG_WIN_24,Excelente! Você merece um prêmio!
