offset,text_en,byte_budget
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_1,YAH!!,5
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_2,"How's it going, soldier?",24
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_3,We're training to keep us in shape while we recover.,52
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_4,Your general is incredible. It's amazing how easily he can move that massive sword.,83
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_5,HAH!!,5
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_6,Learning to fence is much more exciting than studying magic.,60
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_7,Though it would be incredible to be able to use a sword...,58
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_8,I know... Why don't you do me a favour? I hear stories from adventurers all the time and they always seem to match up on one thing in particular.,145
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_9,They often talk about a sword abandoned near the mines on the Tempes Plains.,76
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_10,I've always wanted to go and see it for myself when cranky Jivan lets me outside Hafin.,87
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_11,I think it'd be the perfect sword for me!,41
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_12,"I spose' that, if you bring it to me, I'd have to change my mission from finding it to taking it back, once I've learnt to use it.",130
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_13,What'dya say? Do you accept my quest?,37
STR_DIALOGS_EDIL_ASL_QS_INTRO_1_14,YAH!!,5
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_1,"How goes it, soldier? Come to tell me about your latest achievements?",69
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_2,"Well, I was just thinking about sending you on a new and exciting adventure myself.",83
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_3,Seeing our general train was fantastic! I want to be just as skillful with a sword as he is!,92
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_4,Why don't you do me a favour? I hear stories from adventurers all the time and they always seem to match up on one thing in particular.,135
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_5,They often talk about a sword abandoned near the mines on the Tempes Plains.,76
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_6,I've always wanted to go and see it for myself when cranky Jivan lets me outside Hafin.,87
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_7,I think it'd be the perfect sword for me!,41
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_8,"I spose' that, if you bring it to me, I'd have to change my mission from finding it to taking it back, once I've learnt to use it.",130
STR_DIALOGS_EDIL_ASL_QS_INTRO_2_9,What'dya say? Do you accept my quest? I'll pay you well.,56
