offset,text_en,byte_budget
STR_DIALOGS_PYRAMID_D1_ANUBIS_1,How unusual..._500_ The desert wind is bringing a lot of dust my way today.,75
STR_DIALOGS_PYRAMID_D1_ANUBIS_2,"Welcome, slaves._300_ Times are changing. I don't even have to bother coming down there and facing you.",103
STR_DIALOGS_PYRAMID_D1_ANUBIS_3,Go to your “chambers” until I decide what to do with you.,61
STR_DIALOGS_PYRAMID_D1_ANUBIS_4,Now.,4
STR_DIALOGS_PYRAMID_D2_ADAMONT_1,Lad?,4
STR_DIALOGS_PYRAMID_D2_ADAMONT_2,You've been asleep for a good while now._300_ I was starting to think you were dead.,84
STR_DIALOGS_PYRAMID_D2_ADAMONT_3,"I'm ashamed to admit it but, that scoundrel..._300_ I didn't even have a chance to stop him.",92
STR_DIALOGS_PYRAMID_D3_ADAMONT_1,ARGHH!_300_ WHEN I GET OUT OF HERE I'M GONNA LINE MY SHIELD WITH HIS SKIN!,74
STR_DIALOGS_PYRAMID_D3_ADAMONT_2,MY MEN BETTER BE IN ONE PIECE!,30
STR_DIALOGS_PYRAMID_D4_ADAMONT_1,Breathe...,10
STR_DIALOGS_PYRAMID_D4_ADAMONT_2,I have to find a way to get outta here and find them...,55
STR_DIALOGS_PYRAMID_D5_ADAMONT_1,WELL DONE!,10
STR_DIALOGS_PYRAMID_D5_ADAMONT_2,"You're quite the trustworthy soldier, aren't you?",49
STR_DIALOGS_PYRAMID_D5_ADAMONT_3,"Listen, everything points towards the guy who's trapped us here being nothing more than an idiot, but perhaps he's testing us._300_ We need to get him to face us in the flesh and find out. Besides, someone like him must have information.",237
STR_DIALOGS_PYRAMID_D5_ADAMONT_4,But I can't leave my men behind. I think splitting up would be the sort of thing General Brigard would suggest in a situation like this.,136
STR_DIALOGS_PYRAMID_D5_ADAMONT_5,"If you find them, let me know._100_ Be very careful, looks like that poodle is watching our every move.",103
STR_DIALOGS_PYRAMID_D6_ADAMONT_1,A trap?,7
STR_DIALOGS_PYRAMID_D6_ADAMONT_2,"The walls! There has to be a way to stop them, or we'll end up as compacted junk!",81
STR_DIALOGS_PYRAMID_D7_ADAMONT_1,"Quick, climb up!_100_ Save yourself!",36
STR_DIALOGS_PYRAMID_D9_ADAMONT_1,No..._500_ Forget it. Make this count for something._500_ But do me a favour..._100_ Save my men and tell General Brigard that I'm sorry...,139
STR_DIALOGS_PYRAMID_D10_ADAMONT_1,"I'm offended that you're so surprised, lad.",43
STR_DIALOGS_PYRAMID_D10_ADAMONT_2,Did you think a simple stone block would prove stronger than me?,64
STR_DIALOGS_PYRAMID_D11_ADAMONT_1,We'll talk later. Now...,24
STR_DIALOGS_PYRAMID_D11_ADAMONT_2,FOCUS ON RIPPING THAT BUG APART!,32
STR_DIALOGS_PYRAMID_D12_ADAMONT_1,"I'm impressed, you're more resourceful than you look._100_ I'd have gone for the 'try to hack off its head until my axe broke' approach.",136
STR_DIALOGS_PYRAMID_D12_ADAMONT_2,"The dangers this place holds are no match for us, eh?",53
STR_DIALOGS_PYRAMID_D12_ADAMONT_3,"I couldn't be sure but, when the wall was pressing up against me, I noticed how the floor started to crack._100_ I was able to stomp my way through and fall to the floor below.",176
