offset,text_en,byte_budget
STR_DIALOGS_SINKA_AP_QS_1_1,"Well, if it isn't the General's lapdog!",39
STR_DIALOGS_SINKA_AP_QS_1_2,"Oh, shush! Don't get offended, I wasn't being serious.",54
STR_DIALOGS_SINKA_AP_QS_1_3,There's not really any other choice than obeying the higher-ups.,64
STR_DIALOGS_SINKA_AP_QS_1_4,"By the way, since you're always galavanting around this world...",64
STR_DIALOGS_SINKA_AP_QS_1_5,"I didn't ever imagine asking you a favour, but if you help me, I'll teach you a trick I think you'll like.",106
STR_DIALOGS_SINKA_AP_QS_1_6,Ha! Spoken like a true soldier of Zarga! Of course!,51
STR_DIALOGS_SINKA_AP_QS_1_7,"Listen, there's a mineral called <color=OBJ>garnerock</color>. It's extremely tough but very light and flexible at the same time.",129
STR_DIALOGS_SINKA_AP_QS_1_8,"In fact, one of my daggers is made from the very same material.",63
STR_DIALOGS_SINKA_AP_QS_1_9,"Exactly! You're a clever one, ain't ya? Garnerock is mainly used to make weapons.",81
STR_DIALOGS_SINKA_AP_QS_1_10,But it's a rare material and not at all easy to find which makes the cost of these weapons sky high.,100
STR_DIALOGS_SINKA_AP_QS_1_11,"Some time ago, someone entrusted me with these daggers but, stupidly, I lost one of them.",89
STR_DIALOGS_SINKA_AP_QS_1_12,I wonder if garnerock exists in this world..._100_ It might be a common mineral here or even more abundant than back home.,122
STR_DIALOGS_SINKA_AP_QS_1_13,"Either way, if you see someone carrying a weapon with a red blade or something similar, try to find those fragments and being them to me.",137
STR_DIALOGS_SINKA_AP_QS_1_14,"You know where to find me. If you have something, I'll be waiting.",66
