offset,text_target
STR_DIALOGS_DRAGONSCASTLE_DC01_D1_GALATH_1,Você...
STR_DIALOGS_DRAGONSCASTLE_DC01_D1_GALATH_2,"Você estava com Brigard no dia em que nos conhecemos no deserto, não era?"
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_1,Soldados de Zarga... Sempre detestei o jeito que vocês agem.
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_2,Seus discursinhos sobre justiça e paz...
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_3,"Vocês acham que estão acima de todos, sem perceber que não passam de peões seguindo ordens, como qualquer outro soldado."
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_4,"Até aqui vocês seguem o que acham justo, sem se perguntar se talvez mereciam terminar assim."
STR_DIALOGS_DRAGONSCASTLE_DC01_D2_GALATH_5,"Eu, porém, sempre sigo o que quero fazer. Vocês não são melhores que eu..."
STR_DIALOGS_DRAGONSCASTLE_DC01_D3_GALATH_1,"Esperava encontrar Brigard, mas um soldado de confiança dele serve enquanto ele chega."
STR_DIALOGS_DRAGONSCASTLE_DC01_D3_GALATH_2,"Não é nada pessoal, soldado."
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_1,Ah...
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_2,Como isso é possível? De onde vem todo esse poder?
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_3,Você realmente explorou tanto este mundo?
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_4,"Se não vai me matar, vá embora. Não preciso de sua piedade."
STR_DIALOGS_DRAGONSCASTLE_DC01_D4_GALATH_5,Saia daqui.
