offset,text_en,byte_budget
STR_DIALOGS_SL_D1_FISHCHIEF_1,"Right, we're inside now.",24
STR_DIALOGS_SL_D1_FISHCHIEF_2,It seems to be a kind of laboratory...,38
STR_DIALOGS_SL_D1_FISHCHIEF_3,What is Baydral up to?,22
STR_DIALOGS_SL_D1_FISHMINION_4,Chief! We should hurry!,23
STR_DIALOGS_SL_D1_FISHCHIEF_5,"Yes... Human, this is for you.",30
STR_DIALOGS_SL_D2_FISHCHIEF_1,"It'll allow you to move around underwater without drowning. Don't bad, right?",77
STR_DIALOGS_SL_D2_FISHCHIEF_2,You're practically Fise now.,28
STR_DIALOGS_SL_D2_FISHMINION_3,"Chief, I have a question.",25
STR_DIALOGS_SL_D2_FISHCHIEF_4,"Yes, Baiyu?",11
STR_DIALOGS_SL_D2_FISHMINION_5,Why have we made them take us all the way here if we haven't come across any underwater areas?,94
STR_DIALOGS_SL_D2_FISHCHIEF_6,Baiyu... Please...,18
STR_DIALOGS_SL_D2_FISHMINION_7,"No, seriously. What need was there for them to carry us? We can walk, too.",74
STR_DIALOGS_SL_D3_FISHCHIEF_1,"Baiyu, there's a braj behind you!",33
STR_DIALOGS_SL_D6_WL14_MELIAN_1,"I told you it'd be useful. Onwards, we can carry on now.",56
STR_DIALOGS_SL_D6_WL14_MELIAN_2,I'll try to find you later.,27
STR_DIALOGS_SL_D6_WL14_MELIAN_3,Good luck!,10
STR_DIALOGS_SL_D9_WL13_MELIAN_1,Got it!,7
STR_DIALOGS_SL_D9_WL13_MELIAN_2,"Unfortunately, it looks like I still can't reach your position.",63
STR_DIALOGS_SL_D9_WL13_MELIAN_3,It's clear we'll need to continue on separate paths for a little while longer.,78
STR_DIALOGS_SL_D9_WL13_MELIAN_4,"Good luck, soldier!",19
STR_DIALOGS_SL_D10_WL09_FISHMINION_1,That floodgate doesn't have a card reader... Will we be able to open it?,72
STR_DIALOGS_SL_D10_WL09_FISHCHIEF_2,"Baiyu, let the important people speak.",38
STR_DIALOGS_SL_D10_WL09_FISHMINION_3,(Why don't you just talk to yourself?),38
STR_DIALOGS_SL_D10_WL09_FISHCHIEF_4,I was referring to the soldierman here.,39
STR_DIALOGS_SL_D10_WL09_FISHCHIEF_5,"What do you think? It looks like that capsule contains something with several connections. Perhaps if we break it, it'll cause a system failure in the door.",156
STR_DIALOGS_SL_D10_WL09_FISHMINION_6,"Break things... Seriously, chief?",33
STR_DIALOGS_SL_D10_WL09_FISHCHIEF_7,"Go on, try it.",14
STR_DIALOGS_SL_D11_WL09_FISHCHIEF_1,"Oh, bladderwrack! It didn't work...",35
STR_DIALOGS_SL_D11_WL09_FISHMINION_2,"Wait, chief. You look different. And those hydrobubbles have appeared.",70
STR_DIALOGS_SL_D11_WL09_FISHCHIEF_3,"I was just about to mention that, of course.",44
STR_DIALOGS_SL_D11_WL09_FISHCHIEF_4,"Mister soldierman, you feel different, right? Try using that energy on the hydrobubbles. We'll find another way.",112
STR_DIALOGS_SL_D11_WL09_FISHCHIEF_5,"Come on Baiyu, don't linger.",28
STR_DIALOGS_SL_D12_WL09_DARKWHIPFIRE_1,HA! I knew I'd find the toy first.,34
STR_DIALOGS_SL_D12_WL09_DARKWHIPFIRE_2,"Sorry, sister, I don't plan on sharing it with you.",51
STR_DIALOGS_SL_D13_WL09_DARKWHIPFIRE_1,Damn it!,8
STR_DIALOGS_SL_D13_WL09_DARKWHIPELECTRIC_2,I knew you wouldn't tell me! Selfish as usual!,46
STR_DIALOGS_SL_D13_WL09_DARKWHIPFIRE_3,Always ruining my fun. I might just be tired of having a sister. You'll be next.,80
STR_DIALOGS_SL_D13_WL09_DARKWHIPELECTRIC_4,How dare you!,13
STR_DIALOGS_SL_D14_WL09_DARKWHIPFIRE_1,If you hadn't been so meddling...,33
STR_DIALOGS_SL_D15_WL09_DARKWHIPELECTRIC_1,I wasn't going to let you go alone...,37
STR_DIALOGS_SL_D16_1_WL23_FISHCHIEF_1,This place doesn't feel right...,32
STR_DIALOGS_SL_D16_1_WL23_FISHMINION_2,"Chief, it appears to be their main laboratory. Surely if we look at their research...",85
STR_DIALOGS_SL_D16_1_WL23_FISHCHIEF_3,"Tone down the chitchat, Baiyu. I say we should take a peak at Baydral's studies.",80
STR_DIALOGS_SL_D16_WL23_FISHMINION_1,"Chief, there are all sorts of things here, and all of it is beyond insanity.",76
STR_DIALOGS_SL_D16_WL23_FISHCHIEF_2,Focus on what matters: the curse of the braj.,45
STR_DIALOGS_SL_D16_WL23_FISHMINION_3,But our problem is nothing compared to his other plans.,55
STR_DIALOGS_SL_D16_WL23_FISHCHIEF_4,"Baiyu, what are you talking about?",34
STR_DIALOGS_SL_D16_WL23_FISHMINION_5,Have you seen those murals? It look like he's trying to hybridise saltwater and freshwater Fise.,96
STR_DIALOGS_SL_D17_WL23_FISHCHIEF_1,"I must say, it does look a bit sinister...",42
STR_DIALOGS_SL_D17_WL23_FISHMINION_2,Is that Hafin Dam?,18
STR_DIALOGS_SL_D18_WL23_FISHCHIEF_1,What was that?,14
STR_DIALOGS_SL_D18_WL23_FISHMINION_2,Is it Baydral? We've been to every part of his laboratory and he hasn't turned up anywhere.,91
STR_DIALOGS_SL_D19_WL23_FISHCHIEF_1,Mister soldierman... Would you mind taking a look?,50
STR_DIALOGS_SL_D20_WL23_FISHMINION_1,Shouldn't we go with him?,25
STR_DIALOGS_SL_D21_WL23_FISHCHIEF_1,I think figuring out what's going on here is more important right now.,70
STR_DIALOGS_SL_D21_WL23_FISHCHIEF_2,Don't take your eye off those manuscripts.,42
STR_DIALOGS_SL_D21_WL23_FISHCHIEF_3,"So, please, if it's Baydral, tell us.",37
STR_DIALOGS_SL_D22_WL23_BAYDRAL_1,Meddlesome cretins!,19
STR_DIALOGS_SL_D22_WL23_BAYDRAL_2,You should stay in that beloved city of yours... While you still can...,71
STR_DIALOGS_SL_D22_WL23_BAYDRAL_3,Did you think we Fise would spend the rest of our existence in a world like this?,81
STR_DIALOGS_SL_D22_WL23_BAYDRAL_4,"You're just an naive as I was in the past, but you'd best start forgetting about your feeble structures. Now it'll be you who will have to adapt to my world.",157
STR_DIALOGS_SL_D22_WL23_BAYDRAL_5,Because soon there will be nothing but ruins under the raging storm of my revenge!,82
STR_DIALOGS_SL_D22_WL23_BAYDRAL_6,Muahahahaha...,14
STR_DIALOGS_SL_D23_WL23_MELIAN_1,"Hello again, soldier.",21
STR_DIALOGS_SL_D23_WL23_MELIAN_2,I was trying to help our friends find what they were looking for.,65
STR_DIALOGS_SL_D23_WL23_MELIAN_3,"But I don't understand a word of these writing, to tell you the truth...",72
